Gallurese	Gallurese	probability
ˈɛ_ɖː	ˈɛ	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈo_j	ˈu	1.0
ˈi_ɖː	ˈe	1.0
ˈi_#>	e_r_#>	1.0
ˈe_u	ˈi_o	1.0
ʧː	s	1.0
ʦ	s	1.0
ʤ	z	1.0
ʣ	z	1.0
ʃː	s	1.0
ɡ	ɡ	1.0
ɟː	-	1.0
ɖː_u	ɰ_o	1.0
ɖː_i	e	1.0
ɖː_a	a	1.0
ŋ	ŋ	1.0
z	z	1.0
w	ˈɔ	1.0
v	v	1.0
u_r	o_r	1.0
u_l	o_ɰ	1.0
u_#>	#>	1.0
tː	t	1.0
sː_u	s_o	1.0
sː	r_s	1.0
s	s	1.0
r_ˈa	r	1.0
r_u	r_o	1.0
r_a	r_a	1.0
r	r	1.0
p_u	p_o	1.0
p	p	1.0
o	o	1.0
nː	n	1.0
n_u_#>	ŋ_#>	1.0
n_i_#>	ŋ_#>	1.0
mː	m	1.0
l_t	r_t	1.0
l_i_#>	l_#>	1.0
kː	k	1.0
i_k	e_ɡ	1.0
i_#>	#>	1.0
f	f	1.0
e	e	1.0
cː	ʧ	1.0
c	ʧ	1.0
bː	-	1.0
a_p	a_v	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɟ	<#_z	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#	1.0
<#_a	<#	1.0
a	a	0.97
ˈa	ˈa	0.948
m	m	0.889
k	k	0.884
ˈo	ˈo	0.857
u	o	0.847
d	d	0.846
b	b	0.842
#>	r_#>	0.783
t	t	0.759
ˈɔ	ˈɔ	0.735
ɲː	ɲ	0.714
ˈi	ˈi	0.656
a_r	a_r	0.625
j	j	0.615
i	e	0.608
rː	r_n	0.6
ˈu	ˈu	0.567
n	n	0.562
ˈɛ	ˈɛ	0.5
ˈɛ	ˈe	0.5
ɖː	ˈi	0.5
ɖː	ʤ	0.5
ʧ	s	0.478
l	ɰ	0.475
ˈe	ˈe	0.455
n	ŋ	0.438
ʧ	z	0.435
rː	r	0.4
j	-	0.385
a_r	r	0.375
ˈu	ˈo	0.367
ɲː	-	0.286
ˈi	ˈe	0.281
l	l	0.275
t	-	0.241
ˈe	ˈɛ	0.227
ˈɔ	ˈo	0.206
l	r	0.2
i	i	0.196
b	v	0.158
d	-	0.154
ˈo	ˈɔ	0.143
ˈe	j_ˈɛ	0.136
#>	o_#>	0.13
m	ŋ	0.111
ˈe	ˈi	0.091
ˈe	e_r	0.091
ʧ	-	0.087
#>	ˈi_#>	0.087
i	v_e	0.078
i	-	0.078
k	k_w	0.07
ˈu	-	0.067
ˈi	-	0.062
ˈɔ	ˈo_v	0.059
u	e	0.059
ˈa	ˈɛ	0.052
