Northern Low Saxon	Swiss German	probability
aɪ̯	æ	1.0
b	b̥	0.702
b	f	0.189
b	p͡f	0.099
d	t	0.41
d	d̥	0.238
d	sː	0.147
d	s	0.06
f	f	0.793
f	b̥	0.207
h	h	1.0
i	i	1.0
j	ˈæi̯	1.0
k	k	1.0
kʰ	χ	0.985
l	l	0.915
m	m	0.609
m	-	0.313
m	mː	0.051
n	n	0.549
n	ə	0.254
n	-	0.177
p	p	0.528
p	fː	0.472
pʰ	p͡f	1.0
r	r	1.0
s	s	0.701
s	ʃ	0.182
s	χ_s	0.06
s	ʃ_t	0.057
t	t	0.556
t	d̥	0.188
t	ʦ	0.153
t	s	0.103
tʰ	ʦ	1.0
v	ʋ	0.938
x	χ	0.624
x	ɡ̊	0.376
z	s	1.0
ç	ɡ̊	0.454
ç	ɡ̊ː	0.177
ç	χ	0.155
ç	χ_t	0.154
ç	-	0.06
ŋ	ŋ	0.474
ŋ	ɡ̊_ə	0.29
ŋ	ŋ_ə	0.151
ŋ	ŋ_ɡ̊	0.085
ɐ	r	0.643
ɐ	ə_r	0.302
ə	ə	1.0
ɡ	ɡ̊	0.471
ɡ	χ	0.382
ɡ	ɡ̊ː	0.061
ɡ	k	0.059
ɪ	i	1.0
ʃ	ʃ	0.96
ʒ	j	0.916
ʒ	-	0.084
ˈa	ˈɒ	0.64
ˈa	ˈɒː	0.195
ˈa	ˈæ	0.1
ˈaɪ̯	ˈyː	0.257
ˈaɪ̯	ˈy	0.131
ˈaɪ̯	ˈɛi̯	0.131
ˈaɪ̯	ˈeː	0.129
ˈaɪ̯	ˈiə̯	0.121
ˈaɪ̯	ˈei̯	0.063
ˈaɪ̯	ˈøi̯	0.05
ˈaʊ̯	ˈuə̯	0.317
ˈaʊ̯	ˈoː	0.228
ˈaʊ̯	ˈɒ	0.103
ˈaʊ̯	ˈo	0.102
ˈaʊ̯	ˈau̯	0.082
ˈaʊ̯	ˈou̯	0.065
ˈaʊ̯	ˈeː	0.064
ˈaː	ˈɒ_r	0.378
ˈaː	ˈɒ_l	0.255
ˈaː	ˈæ	0.168
ˈaː	ˈi	0.114
ˈaː	ˈɒː	0.084
ˈeɪ̯	ˈæː	0.345
ˈeɪ̯	ˈyː	0.292
ˈeɪ̯	ˈeː	0.192
ˈeɪ̯	ˈei̯	0.17
ˈeː	ˈæ	0.287
ˈeː	ˈæː	0.229
ˈeː	ˈyː	0.138
ˈeː	ˈe	0.133
ˈeː	ˈɒ	0.094
ˈiː	ˈiː	0.732
ˈiː	ˈei̯	0.092
ˈiː	ˈi	0.08
ˈiː	ˈyː	0.054
ˈoː	ˈoː	0.347
ˈoː	ˈɒː	0.289
ˈoː	ˈo	0.156
ˈoː	ˈɒ	0.141
ˈuː	ˈuː	0.744
ˈuː	ˈuə̯	0.102
ˈuː	ˈau̯	0.077
ˈuː	ˈu	0.077
ˈyː	ˈyː	1.0
ˈø	ˈy	0.951
ˈøː	ˈi	0.443
ˈøː	ˈy	0.227
ˈøː	ˈɒ	0.153
ˈøː	ˈoː	0.127
ˈœ	ˈæ	0.504
ˈœ	ˈiː	0.248
ˈœ	ˈø	0.248
ˈœː	ˈø	0.525
ˈœː	ˈe	0.475
ˈɔ	ˈu	0.383
ˈɔ	ˈo	0.36
ˈɔ	ˈɒ	0.175
ˈɔ	ˈou̯	0.081
ˈɔʏ̯	ˈøː	0.42
ˈɔʏ̯	ˈyə̯	0.333
ˈɔʏ̯	ˈøi̯	0.073
ˈɔʏ̯	ˈo	0.068
ˈɔʏ̯	ˈuə̯	0.068
ˈɔː	ˈu	1.0
ˈɛ	ˈæ	0.679
ˈɛ	ˈɒː	0.196
ˈɛ	ˈi	0.089
ˈɛɪ̯	ˈei̯	0.463
ˈɛɪ̯	ˈæː	0.421
ˈɛɪ̯	ˈæ	0.116
ˈɛː	ˈi	1.0
ˈɪ	ˈi	0.71
ˈɪ	ˈe	0.066
ˈɪ	ˈæ	0.051
ˈʊ	ˈu	0.724
ˈʊ	ˈo	0.127
ˈʊ	ˈuː	0.078
ˈʊ	ˈøi̯	0.071
ˈʏ	ˈy	0.62
ˈʏ	ˈu	0.148
ˈʏ	ˈo	0.094
ˈʏ	ˈæ	0.059
