Piedmontese	Sicilian	probability
f	f	1.0
ɡ	ɡ	1.0
ˈa	ˈa	1.0
ˈy	ˈu	1.0
ˈø	ˈɔ	1.0
b	b	0.861
d	t	0.21
i	i	0.291
j	j	0.1
s	ɕ	0.171
u	a	0.071
ŋ	n	0.461
ɲ	ɲː	0.731
ˈe	ˈɛ	0.241
ˈɔ	ˈa	0.051
a	a	0.972
j	ɪ	0.092
l	ɖː	0.052
r	ɾ_ʊ	0.082
t	tː_ɪ	0.102
t	tː_ʊ	0.242
v	v	0.772
ŋ	n_ʊ	0.262
ˈu	ˈu	0.942
ˈɛ	ˈi	0.302
d	d	0.43
l	l_ʊ	0.093
s	ʦː	0.063
s	ʃː	0.163
t	t_ɪ	0.073
w	w	0.93
z	ɕ	0.063
ŋ	ŋ	0.153
e	ɪ	0.524
j	ɟː	0.24
l	l	0.624
t	t	0.564
k	k	0.945
r	ɽ	0.105
ŋ	nː	0.095
ʤ	ʤ	0.115
ʤ	j	0.885
d	-	0.36
ˈe	ˈi	0.36
ˈi	ˈi	0.976
n	n	0.957
p	p	0.957
r	r	0.127
s	ʃ	0.117
s	s	0.457
w	-	0.07
z	ɕ_ɪ	0.937
e	ɪ_ɾ	0.208
e	i	0.268
j	cː_ʊ	0.078
m	m	0.968
v	p	0.228
ˈu	ˈo	0.058
ˈɛ	ˈɛ	0.698
b	-	0.139
i	-	0.709
j	-	0.49
l	ɖː_ʊ	0.19
r	ɾ	0.579
u	u	0.929
ɲ	ɲː_ʊ	0.269
ˈe	ˈa_r	0.169
ˈe	ˈa_ɾ	0.189
ˈɔ	ˈɔ	0.949
