Polish	Lower Sorbian	probability
ˈɨ	ˈɨ	1.0
ˈɛ_w̃	ˈɪ	1.0
ˈɔ_ʐ	ˈɛ_rʲ	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈa_#>	1.0
ʨ_#>	ɕ_#>	1.0
ʨ	ʨ	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʥ	ʑ	1.0
ʑ_ˈɔ	z	1.0
ʐ	rʲ	1.0
ɲ_ʨ_#>	ɕ_#>	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ɨ_#>	ɨ_#>	1.0
ɛ_m	ɨ_m	1.0
ɛ_#>	ɔ_#>	1.0
ɕ	s	1.0
ɔ_#>	ɔ_#>	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ˈɔ	w_ˈɔ	1.0
w_#>	w_#>	1.0
v_j	vʲ	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m_j	mʲ	1.0
l_#>	l_#>	1.0
l	l	1.0
k_i	kʲ_i	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈa	ˈɪ	1.0
j	-	1.0
f	v	1.0
d	d	1.0
b_j	bʲ	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ʨ	<#_ɕ	1.0
<#_ʥ	<#_ʑ	1.0
<#_ʑ	<#_z	1.0
<#_ʐ	<#_ʐ	1.0
<#_ʈ͡ʂ	<#_ʦ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɕ	<#_s	1.0
<#_z	<#_z	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
w	w	0.857
r	r	0.812
ˈu	ˈɔ	0.778
ˈɔ	ˈɔ	0.667
<#_p	<#	0.667
ʂ	ʂ	0.6
<#_v	<#_vʲ	0.556
ˈa	ˈa	0.533
ɡ	ɡ	0.5
ɡ	-	0.5
ɔ	ˈɛ	0.5
ɔ	-	0.5
<#_ˈɔ	<#_ˈɔ	0.5
<#_ˈɔ	<#_v_ˈɛ	0.5
<#_v	<#	0.444
ɛ	ɛ	0.429
ʂ	ɕ	0.4
ɛ	e	0.357
ˈɛ	ˈe	0.333
ˈa	ˈɪ	0.333
<#_p	<#_p	0.333
ˈɛ	ˈa	0.222
ˈu	ˈu	0.222
ɛ	-	0.214
r	ʂ	0.188
ˈɔ	ˈɛ	0.167
ˈɔ	ˈu	0.167
ˈɛ	ˈɪ	0.148
w	-	0.143
ˈa	ˈɛ	0.133
ˈɛ	ˈɛ	0.111
ˈɛ	ˈɔ	0.111
ˈɛ	-	0.074
