Zeelandic	Zeelandic	probability
ˈʊə̯_d̥	ˈe_d	1.0
ˈɪ_k	ˈaː	1.0
ˈɛː_n	ˈeː	1.0
ˈɔ_ɫ	ˈuː	1.0
ˈɒː	-	1.0
ˈɑu̯	ˈɑː_l	1.0
ˈɑ_n	ˈø	1.0
ˈuːə̯	ˈøː	1.0
ˈoː	-	1.0
ˈiːə̯	ˈiː	1.0
ˈi_#>	ˈiː_#>	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z̥_#>	#>	1.0
z̥	s	1.0
z_ə	z	1.0
z	s	1.0
x_ə_#>	#>	1.0
x_#>	#>	1.0
w	-	1.0
v̥_#>	#>	1.0
v̥	f	1.0
v_ə	v	1.0
v	f	1.0
t	t	1.0
s_x	ʃ	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
j	j	1.0
iː	i	1.0
i_ŋ	e	1.0
d̥_#>	#>	1.0
d_ə	ə	1.0
b	b	1.0
<#_ˈɛː	<#_h_ˈeː	1.0
<#_ɾ	<#_r	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_k	<#_kʰ	1.0
<#	<#_h	1.0
ɾ	r	0.95
n	n	0.917
ɫ	l	0.892
ˈɪ	ˈɪ	0.867
ʋ	w	0.864
p	p	0.833
s	s	0.824
d̥	d	0.792
ˈyː	ˈu	0.75
ə	-	0.737
ˈøː	ˈɪ	0.667
ˈu	ˈʌ	0.6
d	d	0.593
ˈʏ	ˈɪ	0.571
k	k	0.55
ˈi	ˈɪ	0.545
ˈɪə̯	ˈe	0.5
ˈæi̯	ˈe	0.5
ˈæi̯	-	0.5
ˈeː	-	0.5
ˈi	ˈəi̯	0.455
ˈɔ	-	0.438
ˈʏ	-	0.429
ˈuː	ˈi	0.429
ˈiː	ˈiː	0.412
d	θ	0.407
ˈu	-	0.4
ˈɔ	ˈʌ	0.375
ˈʊə̯	ˈi	0.353
ˈɪə̯	-	0.333
ˈøː	-	0.333
x	ç	0.333
x	-	0.333
ˈæ	ˈɛ	0.308
ˈæ	-	0.308
ˈɑ	ˈɑː	0.3
k	-	0.3
ˈʊə̯	-	0.294
ˈɛː	ˈi	0.294
ˈɛː	ˈe	0.294
ˈuː	ˈø	0.286
ˈuː	-	0.286
x	x	0.267
ˈɑ	ˈa	0.25
ˈeː	ˈɪ	0.25
ˈeː	ˈi	0.25
ˈiː	ˈi	0.235
ˈiː	-	0.235
ˈæ	ˈeː	0.231
ə	ə	0.224
d̥	θ	0.208
ˈɑ	ˈɛ	0.2
ˈɔ	ˈo	0.188
ˈʊə̯	ˈo	0.176
ˈʊə̯	ˈiː	0.176
ˈɛː	ˈiː	0.176
s	ʃ	0.176
ˈɪə̯	ˈeː	0.167
ˈyː	ˈəi̯	0.167
p	pʰ	0.167
ˈæ	ˈɪ	0.154
ˈɑ	ˈɪ	0.15
k	ʧ	0.15
ʋ	ʍ	0.136
ˈɪ	-	0.133
ˈɛː	ˈʌ	0.118
ˈɛː	-	0.118
ˈiː	ə	0.118
ɫ	-	0.108
ˈɑ	ˈe	0.1
ˈyː	ˈaːɪ̯	0.083
n	-	0.083
x	ʤ	0.067
