Swedish	Swedish	probability
ˈʏ	ˈɪ	1.0
ˈɑː_d_#>	ˈɛːa̯_#>	1.0
ˈœː	ˈɔːi̯	1.0
ˈuː_d	ˈɔːu̯_w	1.0
ˈoː_r	ˈɔ̯aː_ɹ	1.0
ˈoː_n	n	1.0
ˈiː_#>	ˈɛːa̯_ɹ_#>	1.0
ʊ	ʊ	1.0
ʈː	ʈ	1.0
ʈ	t_ɪ	1.0
ʂ	s	1.0
ɳ	t͡n̥	1.0
ɪ	ɪ	1.0
ɖ	-	1.0
ɕ	ʧʰ	1.0
ɔ	a	1.0
ŋː	ŋ	1.0
ŋ	ŋ_ɡ̊	1.0
tː_ɛ	ʰt͡n̥	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s	s	1.0
rː	ɹ_ʊ	1.0
r_a	ɹ_a	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
nː	nː	1.0
m	m	1.0
lː	t͡l̥	1.0
kʰ	kʰ	1.0
jː	j	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_r	<#_ɹ	1.0
<#_j	<#	1.0
a	a	0.945
r	ɹ	0.894
v	v	0.868
l	l	0.86
ˈiː	ˈʊ̯iː	0.857
tː	ʰt	0.833
kː	ʰk	0.833
n	n	0.822
ɧ	ʃ	0.818
#>	ʊ_ɹ_#>	0.784
t	t	0.778
ˈɵ	ˈʊ	0.765
ˈɑː	ˈɛːa̯	0.75
k	k	0.737
ˈɪ	ˈɪ	0.733
mː	m	0.714
j	j	0.7
p	p	0.667
ˈoː	ˈɔ̯aː	0.643
d	d̥	0.632
ˈʊ	ˈʊ	0.6
ˈyː	ˈʊ̯iː	0.6
ˈa	ˈa	0.556
ˈʉː	ˈʉːu̯	0.5
ˈæː	ˈeː	0.5
ˈæː	ɹ	0.5
ɡː	ʤ̊ː	0.5
ɡː	ɡ̊ː	0.5
ɛ	ɪ	0.478
ˈɔ	ˈœ	0.429
ˈʊ	-	0.4
ˈøː	ˈɛːi̯	0.4
ˈøː	ˈøː	0.4
ˈyː	-	0.4
ˈœ	-	0.364
ˈoː	-	0.357
ˈeː	ˈai̯	0.357
ˈɛ	ˈɛ	0.348
ˈuː	ˈɔːu̯	0.333
ˈa	ˈɔ	0.333
ɡ	ɡ̊	0.333
p	ʰp	0.333
ɛ	ʊ	0.304
ˈɛː	ˈɛːa̯	0.3
ˈɛː	ˈeː	0.3
j	-	0.3
ˈɔ	ˈʊ	0.286
ˈɔ	ˈoː	0.286
mː	mː	0.286
ˈœ	ˈœ	0.273
ˈɪ	-	0.267
ɡ	-	0.267
ˈɑː	ˈa	0.25
ˈʉː	ˈɔːu̯	0.231
t	ʰt	0.222
ˈeː	ˈiː	0.214
ˈeː	ˈaːi̯	0.214
ˈeː	-	0.214
d	-	0.211
ˈɛː	ˈøː	0.2
ˈɛː	-	0.2
ˈøː	-	0.2
ɡ	w	0.2
ɡ	v̥	0.2
ˈœ	ˈɪ	0.182
ˈœ	ˈøː	0.182
ɧ	s	0.182
ˈɵ	ˈɔ	0.176
ˈuː	ˈɪ_ɡ̊	0.167
ˈuː	ˈɛ_ɡ̊	0.167
ˈuː	ˈɔːu̯_w	0.167
ˈuː	ˈɔ	0.167
tː	-	0.167
kː	ʰʧ	0.167
k	ʧ	0.158
ˈiː	ˈʊ_ʤ̊ː	0.143
ˈɛ	ˈiː	0.13
ˈɛ	ˈeː	0.13
ˈɛ	ˈa	0.13
ɛ	-	0.13
ˈʉː	ˈuː	0.115
ˈa	ˈœ	0.111
n	-	0.111
k	-	0.105
l	l̥	0.093
ˈɛ	ˈɔ	0.087
ˈɛ	ˈai̯	0.087
ˈɛ	-	0.087
ɛ	ɡ̊_ʊ	0.087
v	kʰ_v	0.079
ˈʉː	ˈɪ_ɡ̊	0.077
ˈʉː	-	0.077
#>	a_#>	0.068
n	n̥	0.067
r	ɪ_ɹ	0.064
ˈɵ	ɲ	0.059
#>	ɹ_#>	0.057
a	-	0.055
v	-	0.053
d	w	0.053
d	j_ʊ	0.053
d	j	0.053
