Portuguese	Latin	probability
f	f	1.0
ĩ	iː	1.0
õ	ɔ	1.0
ũ	ʊ	1.0
i	ɪ	0.131
j	ʊ	0.061
j̃	ɪ	0.201
l	ɫ	0.321
o	ɔ	0.221
s	s	0.501
t	n_t	0.161
u	ʊ̃ː	0.731
z	s	0.421
ɐ	ãː	0.601
ɣ	kʷ	0.121
ɾ	-	0.1
ʎ	lʲ	0.391
ʒ	d	0.091
ˈe	ɛ	0.351
ˈĩ	ŋ	0.411
ˈĩ	iː	0.411
ˈo	ˈau̯	0.071
ˈõ	ˈoː	0.31
ˈɐ̃	ˈiː	0.061
ˈɐ̃	n	0.081
ˈɐ̃	ˈa	0.151
ˈɐ̃	ˈaː	0.351
d	d	0.882
u	oː	0.072
w	ɫ	0.112
ð	ɪ_t	0.2
ɔ	ˈo	0.12
ɣ	ɡ	0.122
ɫ	ɛ̃	0.062
ʒ	j	0.212
ˈɐ	ˈeː	0.152
ˈɔ	ˈʊ	0.062
j̃	ˈɛ̃ː	0.063
k	k	0.763
n	nː	0.073
n	n	0.893
t	tː	0.083
u	ɔ	0.053
v	b	0.323
v	w	0.593
z	-	0.123
ɔ	au̯	0.113
ɨ	ɛ̃	0.063
ʎ	ɫ	0.33
ʒ	ɡ	0.613
ˈẽ	n	0.143
ˈĩ	ˈiː	0.133
ˈũ	ˈʊ	0.193
ˈɐ	ˈɛ	0.273
ˈɐ̃	ˈoː	0.123
j	ɪ	0.054
j	k	0.184
j	-	0.204
t	t	0.684
z	rː	0.314
ɡ	ɡʷ	0.184
ɲ	n	0.834
ʁ	r	0.824
ʃ	k	0.214
ʒ	-	0.084
ˈi	ˈiː	0.724
ˈɐ	ˈɪ	0.084
ˈɐ	ˈaː	0.144
ˈɐ̃	-	0.054
ˈɐ̃	ŋ	0.144
β	k	0.054
β	p	0.834
ẽ	ɛ	0.325
ẽ	ŋ	0.675
i	ae̯	0.075
i	-	0.55
j̃	ɛ̃ː	0.075
j̃	n_ɛ̃ː	0.315
w	aː	0.125
w	-	0.125
w	ʊ	0.235
ɐ	-	0.085
ɐ̃	oː	0.35
ɨ	ɛ̃ː	0.495
ɾ	r	0.815
ˈa	ˈa	0.425
ˈe	ˈiː	0.075
ˈe	ˈɪ	0.175
ˈi	ˈyː	0.085
ˈõ	ˈʊ	0.255
ˈõ	ˈɔ	0.435
ˈɔ	ˈa	0.055
ˈɔ	ˈɔ	0.55
ˈɨ	ˈeː	0.325
ˈɨ	ˈɪ	0.675
i	iː	0.076
k	kː	0.136
l	l	0.176
l	lʲː	0.386
m	m	0.946
p	p	0.976
w	ɔ	0.116
w̃	ɛ̃ː	0.056
w̃	-	0.056
ð	t	0.676
ɐ	a	0.146
ɐ̃	-	0.096
ɡ	k	0.346
ɨ	ɪ	0.06
ɨ	ɛ	0.166
ˈu	ˈʊ	0.406
b	m_b	0.127
j̃	ɫ	0.167
u	-	0.057
w	ˈau̯	0.247
w̃	n	0.887
ɐ̃	ɛ	0.227
ɡ	ɡ	0.47
ɫ	ɫ	0.7
ʁ	rː	0.147
ʃ	s	0.587
ʎ	-	0.107
ˈe	ˈɛ	0.057
ˈu	ˈuː	0.537
ˈũ	ˈuː	0.807
ˈɐ	ˈa	0.227
b	b	0.858
j	ɡ	0.098
j	i	0.248
j̃	ɛ	0.18
k	kʷ	0.078
s	t	0.108
s	k	0.248
z	d	0.058
ɐ	aː	0.088
ɲ	-	0.108
ɾ	ɛ_r	0.068
ʎ	k_ʊ	0.088
ˈe	ˈeː	0.238
ˈẽ	ˈɛ	0.788
ˈo	ɫ_ˈoː	0.088
ˈɛ	ˈɛ	0.868
d	n	0.069
l	-	0.079
o	au̯	0.779
ɐ̃	a	0.079
ɐ̃	ɪ	0.249
ɔ	ɔ	0.719
ɣ	k	0.719
ɫ	lʲː	0.109
ɫ	ɪ	0.129
ˈa	ˈaː	0.509
ˈẽ	-	0.069
ˈo	ˈoː	0.109
ˈo	ˈʊ	0.159
ˈo	ˈɔ	0.489
ˈɐ	-	0.079
ˈɔ	ˈoː	0.229
ˈɛ	ˈɪ	0.059
β	b	0.069
