Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈaɪ̯	1.0
ˈɔu̯	ˈaː	1.0
ˈɒː	ˈoː	1.0
ˈɑː	ˈɒ	1.0
ˈœː	ˈʊ	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈyː	ˈɘ	1.0
ˈu	ˈuː	1.0
ʃ	ʃ	1.0
ʀ_d̥	ɐ_d̥	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ̊_#>	ɡ̊_#>	1.0
ɣ̊	x	1.0
ɣ_ʀ	ɡ̊_r	1.0
ɣ_ə	ŋ	1.0
ɡ	ˈoː	1.0
ə_ʀ	ɐ	1.0
ə_ɣ̊	ç	1.0
ə_v̥	f_a	1.0
ə_l	l	1.0
ŋ_k	ŋ	1.0
z̥	s	1.0
z_ˈɛ	s	1.0
w	l	1.0
v̥_#>	b̥_#>	1.0
v	f	1.0
t_ˈaː	t	1.0
s_t	ʃ_d̥	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
l	l	1.0
j_ə	ɾ	1.0
i	eː	1.0
d̥	d̥	1.0
d_ˈeː	d̥_ˈiː	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ˈɒ	1.0
n	n	0.906
m	m	0.897
ˈuː	ˈaʊ̯	0.818
ˈiː	ˈaɪ̯	0.818
ɣ	ɡ̊	0.818
ˈɛː	ˈaː	0.8
ˈæː	ˈɛ	0.8
ŋ	ŋ	0.75
z	s	0.727
ˈɑ	ˈɒ	0.692
ˈɪ	ˈɛ	0.667
p	b̥͡v̥	0.667
k	ɡ̊	0.656
ˈɔ	ˈɔ	0.636
x	ç	0.625
s	ʃ	0.619
ˈœ	ˈɪ	0.6
v_ə	m	0.6
t_ə	d̥	0.6
ˈɔː	ˈaː	0.571
#>	d̥_#>	0.571
ʀ	ɐ	0.565
ˈɛ	ˈɪ	0.5
ˈɛ	ˈɛ	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈoː	ˈuː	0.5
ˈeː	ˈiː	0.5
ʀ_ə	ɐ_n	0.5
ʀ_ə	ɐ	0.5
t	ʦ	0.469
ˈøː	ˈiː	0.444
ˈaː	ˈɒ	0.444
ə	n	0.441
ˈɔː	ˈɔ	0.429
#>	n_#>	0.429
ˈʊː	ˈʊ	0.409
ˈœ	ˈaː	0.4
ˈi	ˈiː	0.4
v_ə	β	0.4
t_ə	z̥	0.4
x	x_d̥	0.375
ə	-	0.353
t	s	0.344
ˈɪ	ˈɪ	0.333
ˈøː	-	0.333
p	v̥	0.333
ʀ	r	0.326
ˈi	ˈeː	0.3
ˈi	-	0.3
j	l	0.3
j	-	0.3
ˈaː	ˈoː	0.278
ˈʊː	ˈuː	0.273
z	ʃ	0.273
ˈoː	ˈʊ	0.25
ˈoː	ˈoː	0.25
ŋ	ç	0.25
ˈeː	ˈeː	0.231
ˈʊː	ˈɔ	0.227
ˈøː	ˈuː	0.222
ə	a	0.206
ˈɛː	ˈɪ	0.2
ˈæː	ˈa	0.2
j	j	0.2
j	d̥_n	0.2
k	x	0.188
ˈɔ	ˈʊ	0.182
ˈɔ	-	0.182
ˈuː	ˈuː	0.182
ˈiː	ˈiː	0.182
ɣ	-	0.182
ˈɑ	ˈɛ	0.154
ˈɑ	-	0.154
ˈeː	ˈɛ	0.154
s	ʃ_d̥	0.143
s	s	0.143
t	z̥	0.125
ˈeː	-	0.115
ˈaː	ˈɒ_l	0.111
ˈaː	-	0.111
m	m_a	0.103
s	ɡ̊_s	0.095
n	n_a	0.094
k	ç	0.094
ˈʊː	-	0.091
ʀ	ɾ_ɐ	0.065
t	d̥	0.062
k	ŋ	0.062
ˈaː	ˈɒː	0.056
