Aragonese	Aragonese	probability
ˈi_ɾ	ˈiː_r	1.0
ˈe_θ	k_ɛ̃ː	1.0
ˈe_ɾ	ɛ_r	1.0
ˈe_r	rː	1.0
ˈe_n	n_t	1.0
ˈe_j	ˈɛ_k	1.0
ʧ_w	j	1.0
ʧ	ɡ	1.0
ɾ_β	r_b	1.0
ɾ_ˈa	r_ˈaː	1.0
ɾ_o	r_ʊ̃ː	1.0
ɾ_m	r_m	1.0
ɾ_k	r_k	1.0
ɾ_e	ɛ̃ː	1.0
ŋ	ŋ	1.0
ð_ˈe	t_ˈeː	1.0
ð_a	t_ãː	1.0
z	s_ʊ	1.0
w_#>	w_ɛ̃ː_#>	1.0
s_#>	s_#>	1.0
p_ˈu	p_ˈʊ	1.0
p	p	1.0
o_ɾ	oː_r	1.0
m_b	m	1.0
m	m	1.0
l_#>	ɫ_ɛ̃ː_#>	1.0
k_ˈa	k_ˈa	1.0
k_ɾ	k	1.0
k_l	k_ɫ	1.0
k_a	k_a	1.0
j_ˈo	ˈe	1.0
j_ˈe	ˈɛ	1.0
e_n	ɛ_n	1.0
e_l	ɛ_ɫ	1.0
d	d	1.0
b_ɾ	ɪ	1.0
a_β	a_p	1.0
a_j	ˈa	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_e	<#	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
f	f	0.962
w_ˈe	ˈɔ	0.917
s	s	0.913
ɾ	r	0.896
t	t	0.872
n	n	0.868
l	ɫ	0.833
ˈi	ˈiː	0.806
e_#>	ɛ̃ː_#>	0.75
o	ʊ̃ː	0.737
<#_l	<#_ɫ	0.737
ˈu	ˈuː	0.731
ɣ	k	0.714
a	ãː	0.711
ɡ	ɡ	0.667
<#_a	<#_a	0.667
u	ʊ	0.6
b	w	0.576
ˈa	ˈaː	0.571
k	k	0.533
#>	ɛ_#>	0.52
ʃ	sː	0.5
ʃ	s_k	0.5
ð	d	0.5
θ	k	0.435
ð	t	0.429
w	ˈɔ	0.429
ˈo	ˈoː	0.412
ʝ	d	0.4
ʝ	-	0.4
ʎ	lʲː	0.4
u	-	0.4
ˈa	ˈa	0.397
i	ɛ	0.364
i	-	0.364
b	b	0.364
ˈe	ˈɪ	0.357
w	-	0.357
e	ɪ	0.345
ɲ	nː	0.333
k	kʷ	0.333
j	ˈɛ	0.333
<#_a	<#	0.333
#>	ɛ̃ː_#>	0.333
β	w	0.273
β	b	0.273
i	iː	0.273
ˈu	ˈʊ	0.269
<#_l	<#_lʲ	0.263
ˈe	ˈeː	0.262
θ	k_ɛ̃ː	0.261
e_#>	r_#>	0.25
e	-	0.241
ʎ	lʲ_i	0.24
β	p	0.227
ɲ	ɡ_n	0.222
ɲ	n_i	0.222
ɲ	n_e	0.222
w	w	0.214
ˈo	ˈʊ	0.206
ʝ	ˈɛ_ɡ	0.2
ʎ	k_ʊ	0.2
ˈe	ˈɛ	0.19
ˈo	ˈau̯	0.176
ɡ	ɡʷ	0.167
ɡ	k	0.167
j	-	0.167
ʎ	ɫ	0.16
ˈo	ˈɔ	0.147
ɣ	ɡ	0.143
ɣ	kʷ	0.143
e	ɛ	0.138
β	p_ɛ	0.136
k	kː	0.133
θ	t_i	0.13
t	tː	0.128
j	i	0.125
l	lʲː	0.111
e	eː	0.103
a	aː	0.1
a	a	0.1
#>	ʊ̃ː_#>	0.093
β	b_ʊ	0.091
o	oː	0.091
θ	t	0.087
θ	kʷ	0.087
w_ˈe	ˈʊ	0.083
j	ɫ	0.083
j	ɡ	0.083
j	t_r	0.083
j	k	0.083
ˈe	ˈa	0.071
ð	tʰ	0.071
o	ɔ	0.071
e	n_ɛ̃ː	0.069
e	a	0.069
a	ɫ_ãː	0.067
ˈi	ˈɪ	0.065
ˈi	ˈi	0.065
b	ɛ	0.061
ˈo	oː	0.059
n	ŋ_k	0.057
l	-	0.056
#>	ɛ̃_#>	0.053
