Old High German	Old High German	probability
ˈɛ	ˈɛ	1.0
ˈɑː	ˈɑː	1.0
ˈɑ	ˈɑ	1.0
ˈuː	ˈuː	1.0
ˈuo̯	ˈuo̯	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈou̯	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈiu̯	1.0
ˈio̯	ˈio̯	1.0
ˈie̯	ˈie̯	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈei̯	ˈei̯	1.0
ˈe	ˈe	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ɡ_r	ɡ_r	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ə	ə	1.0
ɑ_l	ɑ_l	1.0
ɑ	ɑ	1.0
ŋ	ŋ	1.0
xː	xː	1.0
x	x	1.0
w	w	1.0
v	v	1.0
u	u	1.0
tː	tː	1.0
t	t	1.0
s̻ː	s̻ː	1.0
s̻	s̻	1.0
s_ˈɑ	s_ˈɑ	1.0
s_l	s_l	1.0
s	s	1.0
rː	rː	1.0
r_ɑ	r_ɑ	1.0
r_n	r_n	1.0
r	r	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	oː	1.0
ou̯	ou̯	1.0
o	o	1.0
nː	nː	1.0
n_ˈɑ	n_ˈɑ	1.0
n_ˈo	n_ˈo	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_t	l_t	1.0
l	l	1.0
kː	kː	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
fː	fː	1.0
f	f	1.0
eː	eː	1.0
e	e	1.0
d	d	1.0
b	b	1.0
