Swedish	Northern Low Saxon	probability
a	n	0.757
a	-	0.215
b	b	0.96
d	d	0.875
d	-	0.125
e	l	1.0
f	f	0.984
h	h	0.971
j	-	0.314
j	ɡ	0.234
j	h	0.151
j	j	0.114
j	ˈɪ	0.055
j	x	0.052
jː	ŋ	1.0
k	ɡ	0.693
k	-	0.21
k	k	0.096
kʰ	kʰ	0.929
kʰ	-	0.071
kː	ɡ	0.928
kː	k	0.072
l	l	0.911
l	-	0.089
lː	l	1.0
m	m	0.882
m	f	0.118
mː	m	1.0
n	n	0.919
n	t	0.057
nː	n	0.875
nː	ˈuː	0.098
p	b	0.943
p	p	0.057
pː	b	1.0
r	ɐ	0.443
r	r	0.365
r	-	0.162
rː	ç	0.5
rː	ɐ	0.5
s	s	0.374
s	z	0.302
s	ʃ	0.291
sː	s	1.0
t	d	0.79
t	t	0.21
tʰ	d	0.513
tʰ	tʰ	0.423
tʰ	b	0.064
tː	d	0.558
tː	x	0.225
tː	ç	0.203
v	v	0.63
v	f	0.238
v	m	0.116
ŋ	n	0.318
ŋ	ŋ	0.232
ŋ	ç	0.164
ŋ	ɪ	0.164
ŋ	m	0.121
ŋː	ŋ	1.0
ɔ	aɪ̯	1.0
ɕ	kʰ	0.853
ɕ	d	0.147
ɖ	ɐ_d	0.824
ɖ	-	0.176
ɛ	ɐ	0.684
ɛ	-	0.261
ɛ	ə	0.055
ɡ	ɡ	0.545
ɡ	ç	0.249
ɡ	-	0.121
ɡ	x	0.085
ɡː	ɡ	0.525
ɡː	ç	0.302
ɡː	-	0.173
ɧ	ʃ	0.613
ɧ	z	0.387
ɪ	-	0.537
ɪ	ɪ	0.463
ɳ	ɐ	1.0
ɳː	ˈaʊ̯	1.0
ɵ	ɪ	0.822
ɵ	-	0.178
ʈː	d	1.0
ʊ	ˈaɪ̯	0.667
ʊ	ˈeː	0.333
ˈa	ˈa	0.559
ˈa	ˈaː	0.188
ˈa	ˈoː	0.12
ˈa	ˈeː	0.073
ˈeː	ˈaɪ̯	0.405
ˈeː	ˈɪ	0.359
ˈeː	ˈeː	0.177
ˈeː	ˈa	0.059
ˈiː	ˈiː	0.751
ˈiː	-	0.141
ˈiː	ˈɪ	0.074
ˈoː	ˈoː	0.646
ˈoː	ˈaʊ̯	0.111
ˈoː	ˈʏ	0.079
ˈoː	ˈøː	0.078
ˈoː	ˈa	0.054
ˈuː	ˈaʊ̯	0.776
ˈuː	ɐ	0.09
ˈuː	ˈøː	0.083
ˈuː	ˈuː	0.051
ˈyː	ˈyː	0.597
ˈyː	ˈaɪ̯	0.3
ˈyː	ˈiː	0.102
ˈæ	ˈa	1.0
ˈæː	ˈiː	0.599
ˈæː	ˈɛɪ̯	0.347
ˈæː	ˈeː	0.054
ˈøː	ˈaʊ̯	0.335
ˈøː	ˈɔʏ̯	0.227
ˈøː	ˈoː	0.148
ˈøː	ˈeː	0.126
ˈøː	ˈøː	0.07
ˈøː	ˈeɪ̯	0.061
ˈœ	ˈɔʏ̯	0.221
ˈœ	-	0.178
ˈœ	ˈaʊ̯	0.166
ˈœ	ˈʏ	0.114
ˈœ	ˈɔ	0.11
ˈœ	ˈɛ	0.082
ˈœ	ˈɪ	0.075
ˈœ	ˈyː	0.054
ˈœː	ˈaʊ̯	0.466
ˈœː	ˈøː	0.356
ˈœː	ˈɔʏ̯	0.178
ˈɑː	ˈoː	0.545
ˈɑː	ˈa	0.276
ˈɑː	-	0.107
ˈɑː	ˈɛ	0.072
ˈɔ	ˈɔ	0.234
ˈɔ	ˈoː	0.207
ˈɔ	ˈʊ	0.17
ˈɔ	ˈɔʏ̯	0.11
ˈɔ	ˈaʊ̯	0.099
ˈɔ	ˈa	0.079
ˈɔ	ˈɪ	0.057
ˈɛ	ˈiː	0.152
ˈɛ	ˈɛ	0.146
ˈɛ	ˈɪ	0.112
ˈɛ	ˈœ	0.099
ˈɛ	ˈɛɪ̯	0.094
ˈɛ	ˈa	0.083
ˈɛ	ˈʏ	0.069
ˈɛː	ˈɛ	0.531
ˈɛː	ˈaɪ̯	0.148
ˈɛː	ˈøː	0.109
ˈɛː	ˈaʊ̯	0.075
ˈɛː	ˈa	0.072
ˈɛː	ˈeː	0.065
ˈɪ	ˈɪ	0.825
ˈɪ	r	0.101
ˈɪ	ˈø	0.075
ˈɵ	ˈʊ	0.267
ˈɵ	ˈʏ	0.182
ˈɵ	v_ˈʊ	0.132
ˈɵ	ˈuː	0.095
ˈɵ	ˈoː	0.076
ˈɵ	ˈɔʏ̯	0.072
ˈɵ	ˈœː	0.071
ˈɵ	ˈɪ	0.071
ˈʉː	ˈaɪ̯	0.432
ˈʉː	ˈuː	0.281
ˈʉː	-	0.155
ˈʊ	ˈʊ	0.538
ˈʊ	ˈaʊ̯	0.263
ˈʊ	ˈɔː	0.199
ˈʏ	ˈʏ	0.558
ˈʏ	ˈaː	0.292
ˈʏ	ˈyː	0.15
