Westphalian	Westphalian	probability
ˈʏ	ˈu	1.0
ˈɪ_k	ˈe_k	1.0
ˈɛː	ˈe	1.0
ˈɒː	ˈɑ	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈu	1.0
ˈyə̯	nː	1.0
ˈoː	ˈɔː	1.0
ˈeː	ˈɑi̯	1.0
ˈaː	ˈɑ	1.0
ʃ_ʋ	s_w	1.0
ʃ_l	s_l	1.0
ɪ	ɑ	1.0
ɣ	-	1.0
ə_#>	#>	1.0
ç	ɣ	1.0
z	s	1.0
x_t	x_t	1.0
x	ɣ	1.0
v̥	β_ɑ̃	1.0
r	r	1.0
j	j	1.0
h	x	1.0
f	ɸ	1.0
d_ɐ	ð_ɛː	1.0
aɪ̯	e_x	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_x	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#	<#_x	1.0
l	l	0.917
b	b	0.917
ˈa	ˈɑ	0.909
k	k	0.9
m	m	0.875
s	s	0.833
p	p	0.833
n	n	0.824
ˈaʊ̯	ˈɑu̯	0.786
ˈuː	ˈuː	0.778
ˈɪ	ˈi	0.773
t	t	0.758
ˈøː	ˈɔː	0.75
ˈɪɛ̯	ˈe	0.727
ˈɔː	ˈɛː	0.667
ˈiː	ˈiː	0.667
ˈɛ	ˈɑ	0.636
ˈʊ	ˈu	0.625
ŋ	ɡ	0.615
ˈɪə̯	ˈe	0.6
ˈyː	ˈiu̯	0.6
ʋ	w	0.6
z̥	s_ɑ̃	0.6
v	w	0.586
ˈuːə̯	ˈu	0.571
ʃ	s	0.571
ɡ	ɣ	0.571
ˈaɪ̯	ˈeu̯	0.562
d	θ	0.531
ˈɔ	ˈu	0.5
ˈɔ	-	0.5
ˈuə̯	ˈu	0.5
ˈuə̯	-	0.5
ˈiɛ̯	ˈɑ	0.5
ˈiɛ̯	-	0.5
ˈaɪ̯	-	0.438
ˈuːə̯	ˈu_r	0.429
ʃ	s_k	0.429
ɡ	ɣ_j	0.429
d	d	0.406
ˈɪə̯	-	0.4
ˈyː	-	0.4
ʋ	β_ɑ	0.4
z̥	s	0.4
ˈɛ	ˈe	0.364
ɐ	r	0.364
#>	ɑ_z_#>	0.349
ˈɔː	-	0.333
ə	ɔ̃ː	0.333
#>	ɑ̃_#>	0.326
d̥	ð	0.321
ə	ɔːː	0.278
ˈɪɛ̯	-	0.273
ˈiː	ˈi	0.267
ˈøː	-	0.25
ˈuː	-	0.222
#>	z_#>	0.221
ˈaʊ̯	-	0.214
d̥	d	0.214
v	β	0.207
ˈʊ	ˈuː	0.188
ˈʊ	ˈu_ŋ	0.188
ˈɪ	ˈi_ŋ	0.182
d̥	θ	0.179
ə	-	0.167
p	pː	0.167
ŋ	ɣ	0.154
ŋ	ŋ	0.154
ɐ	r_ɑ	0.152
d̥	θ_ɑ̃	0.143
m	ɑ_n	0.125
ɐ	r_ɑ̃	0.121
t	t_ɑ	0.121
ə	ɔː	0.111
ə	i	0.111
k	ɑ	0.1
ˈa	ˈɑ_ŋ	0.091
ɐ	ɛː	0.091
ɐ	e_r	0.091
s	s_ˈe	0.083
s	n_s	0.083
l	lː	0.083
b	-	0.083
ŋ	ɡʷ	0.077
d̥	ð_i	0.071
d̥	d_u	0.071
v	β_ɑ	0.069
v	xʷ	0.069
v	w_ˈi	0.069
ˈiː	ˈeː	0.067
d	ð	0.062
ɐ	ɑ̃	0.061
ɐ	ɑ	0.061
ɐ	r_u	0.061
t	tː	0.061
t	-	0.061
