Northern Low Saxon	Scots	probability
aɪ̯	i	1.0
h	h	1.0
i	i	1.0
j	ɡ	1.0
k	k	1.0
p	p	1.0
pʰ	pʰ	1.0
r	r	1.0
tʰ	tʰ	1.0
ʒ	j	1.0
ˈœː	ə	1.0
ˈɔː	ˈɪ	1.0
ˈɛː	j	1.0
n	n	0.881
s	s	0.761
ç	x	0.31
ɡ	j	0.071
ɪ	e	0.31
ɪ	ŋ	0.31
ʃ	s	0.401
ˈaʊ̯	ˈɑː	0.051
ˈaʊ̯	ˈe	0.061
ˈeː	ˈɛ	0.411
ˈiː	ˈuː	0.061
ˈiː	ˈi	0.061
ˈøː	ˈɪ	0.241
ˈɔ	ˈɑː	0.161
ˈɔ	ˈo	0.511
ˈʊ	ˈʌ	0.681
ˈʏ	ˈi	0.091
s	k_s	0.062
v	ʍ	0.072
v	w	0.842
ə	ə	0.472
ɡ	-	0.082
ˈeː	ˈø	0.112
ˈoː	ˈʌ	0.172
ˈø	ˈu	0.912
ˈɔ	ˈoː	0.112
ˈɛɪ̯	ˈiː	0.382
b	b	0.643
n	-	0.103
z	s	0.933
ç	ç	0.333
ˈa	ˈɪ	0.113
ˈa	ˈa	0.323
ˈa	ˈɑː	0.33
ˈaɪ̯	ˈe	0.253
ˈeː	ˈʌ	0.053
ˈiː	ˈaɪ̯	0.083
ˈuː	ˈəi̯	0.073
ˈuː	-	0.073
ˈyː	ˈiː	0.093
ˈɔʏ̯	ˈe	0.053
ˈɛ	ˈɛ	0.363
ˈʏ	ˈɛ	0.073
b	tʰ	0.054
f	f	0.964
t	t	0.854
ɐ	ə	0.434
ɡ	ɡ	0.244
ˈa	ˈe	0.054
ˈa	ˈɛ	0.144
ˈaʊ̯	ˈɪ	0.144
ˈaː	ˈeː	0.44
ˈoː	ˈø	0.124
ˈyː	ˈi	0.084
ˈœ	ˈa	0.194
ˈɛ	ˈeː	0.384
ˈʏ	ˈiː	0.134
l	l	0.955
ɡ	ʤ	0.055
ˈaɪ̯	ˈi	0.065
ˈaɪ̯	ˈɛ	0.15
ˈaʊ̯	ˈeː	0.085
ˈaː	ˈɪ	0.075
ˈeɪ̯	ˈiː	0.435
ˈoː	ˈi	0.15
ˈuː	ˈu	0.65
ˈyː	ˈəi̯	0.555
ˈøː	ˈoː	0.075
ˈøː	ˈuː	0.115
kʰ	k	0.106
s	z	0.156
v	-	0.086
x	ç	0.436
ç	ɡ	0.356
ˈeː	ˈəi̯	0.176
ˈiː	ˈiː	0.196
ˈoː	ˈe	0.176
ˈøː	ˈʌu̯	0.156
ˈøː	ˈeː	0.336
ˈɛ	ˈɪ	0.116
ˈɪ	-	0.06
ˈʊ	ˈu	0.136
d	θ	0.17
d	t	0.307
d	d	0.467
kʰ	ʧ	0.267
x	x	0.217
x	-	0.347
ɡ	k	0.517
ˈaʊ̯	ˈo	0.087
ˈaʊ̯	ˈi	0.117
ˈaː	ˈʌ	0.177
ˈuː	ˈuː	0.137
ˈœ	r_ˈɪ	0.687
ˈʏ	ˈɪ	0.657
kʰ	kʰ	0.608
m	m	0.848
ŋ	ˈaɪ̯	0.098
ŋ	ŋ	0.858
ə	ˈuː	0.528
ˈaɪ̯	ˈɑː	0.08
ˈaʊ̯	ˈø	0.148
ˈaʊ̯	ˈiː	0.178
ˈaː	ˈɑː	0.308
ˈeɪ̯	ˈɛ	0.218
ˈeɪ̯	ˈɪ	0.218
ˈiː	ˈəi̯	0.528
ˈuː	ˈø	0.068
ˈyː	ˈɪ	0.268
ˈø	ˈa	0.088
ˈøː	ˈo	0.078
ˈɔ	ˈi	0.188
ˈɔʏ̯	ˈiː	0.158
ˈɛɪ̯	ˈa	0.198
ˈɪ	ˈɪ	0.788
b	p	0.29
m	v	0.139
t	θ	0.089
ɐ	r	0.519
ɪ	ɪ	0.19
ɪ	i	0.19
ʃ	ʃ	0.599
ˈaɪ̯	ˈiː	0.389
ˈeɪ̯	ˈɛː	0.129
ˈeː	ˈi	0.099
ˈeː	ˈɪ	0.099
ˈoː	ˈeː	0.29
ˈœ	ˈɛ	0.119
ˈɔʏ̯	ˈi	0.759
ˈɛ	ˈa	0.069
ˈɛ	ˈəi̯	0.069
ˈɛɪ̯	ˈe	0.419
ˈʊ	ˈɪ	0.119
