Friulian	Megleno-Romanian	probability
b	b	1.0
c	k	1.0
k	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
u	-	1.0
w	-	1.0
z	ʃ	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ˈaː	ˈa	1.0
ˈiː	ˈe	1.0
ˈoː	ˈu	1.0
ˈu	ˈu	1.0
ˈuː	ˈo	1.0
i	u	0.421
j	ʎ	0.191
l	k_ʎ	0.111
t	p_t	0.1
v	-	0.271
ʤ	ʒ	0.321
ʧ	ʦ	0.901
ˈe	ˈe	0.311
ˈo	ˈu	0.621
ˈɔ	ˈo	0.651
ˈɛ	e̯ˈa	0.111
ˈɛ	ˈe	0.41
e	ə	0.972
r	-	0.082
r	r	0.742
ŋ	-	0.052
ŋ	j_n	0.082
a	-	0.433
j	-	0.273
s	s	0.843
v	v	0.563
ˈeː	e̯ˈa	0.523
d	d	0.694
f	p	0.134
i	-	0.164
l	-	0.124
ʤ	z	0.244
ʤ	ɡ	0.434
ˈa	ˈɔ	0.504
l	ʎ	0.075
l	r	0.105
n	n	0.975
ˈo	i_#>	0.065
ˈo	ˈo	0.215
d	t	0.306
j	j	0.536
l	l	0.586
r	r_n	0.106
t	ʦ	0.16
ŋ	n	0.736
ˈe	ˈi	0.26
ˈo	o̯ˈa	0.076
a	i	0.567
i	i	0.367
r	r_i	0.07
s	ʃ	0.137
v	p	0.167
ˈa	-	0.067
ˈeː	ˈe	0.477
ˈi	ˈi	0.97
f	-	0.168
f	f	0.698
t	t_i	0.08
t	t	0.478
ˈa	ˈa	0.428
t	p_t_i	0.149
ŋ	m	0.099
ʧ	-	0.099
ˈe	e̯ˈa	0.429
ˈɔ	ˈu_k	0.349
ˈɛ	ˈa	0.369
