Mainland North Frisian	Danish	probability
ˈɛː	-	1.0
ˈɛi̯	-	1.0
ˈɒː_z	ˈɑː	1.0
ˈɒː	-	1.0
ˈœi̯	ˈoˀ	1.0
ˈyː_dʲ	ð̞ˠ	1.0
ˈyː	ˈœˀ	1.0
ˈiː_v̥	mˀ	1.0
ˈi_t	ˈiˀ_ð̞ˠ	1.0
ˈaː	-	1.0
ʀ_d̥	ɐˀ	1.0
ɣ̥	-	1.0
ɡ	ɡ̊	1.0
ɛi̯	ə	1.0
ə_ʀ	ɐ	1.0
ŋ_k	ɡ̊	1.0
ç	-	1.0
z̥	nˀ	1.0
w	w	1.0
v̥	w	1.0
v_ə	w	1.0
t_ˈiː	ʦʰ	1.0
t_ə	ð̞ˠ_ə	1.0
n_ˈɔː	n	1.0
lʲ	lˀ	1.0
l_ə	lˀ	1.0
f	f	1.0
d̥	ð̞ˠ	1.0
dʲ	ð̞ˠ	1.0
d_ə	ˈeˀ	1.0
b	b̥	1.0
m	m	0.976
s	s	0.968
p	b̥	0.867
v	ʋ	0.862
tʲ	ð̞ˠ	0.846
l	l	0.841
ə	ə	0.839
h	h	0.833
n	n	0.812
j	-	0.764
ʃ	s_ɡ̊	0.718
d	d̥	0.694
ˈɔː	-	0.63
ˈɔu̯	-	0.625
ˈeː	-	0.623
z	ð̞ˠ	0.62
ˈɔ	ˈo	0.6
nʲ	nˀ	0.6
x	d̥	0.581
k	kʰ	0.562
i	i	0.55
ŋ	ŋ	0.545
ˈʏ	-	0.523
t	ʦʰ	0.516
ˈai̯	ˈɛ	0.5
ˈai̯	-	0.5
ˈʊ	ˈu	0.461
ŋ	ŋˀ	0.455
i	e	0.45
ˈɛ	-	0.435
x	ɡ̊	0.419
ˈɔ	-	0.4
nʲ	n	0.4
z	s	0.38
ˈɔu̯	ˈɔː	0.375
ˈɛ	ˈɛ	0.367
t	d̥	0.358
ˈʏ	ˈuˀ	0.357
ʀ	ɐ	0.34
ˈœː	ˈuˀ	0.339
ˈœː	-	0.339
ˈiː	ˈeˀ	0.339
ˈɒ	ˈæ	0.331
ˈuː	-	0.33
ˈœː	ˈuː	0.323
ˈa	ɡ̊	0.319
ˈi	ˈiˀ	0.317
ˈa	-	0.314
d	-	0.306
ˈœ	ˈoˀ	0.303
ˈɒ	-	0.291
ˈɔː	ˈæ	0.285
ʃ	s	0.282
k	-	0.27
ʀ	ʁ	0.265
ˈœ	-	0.255
ˈʊ	-	0.247
ˈœ	ˈʌ	0.246
j	w	0.236
ˈuː	ˈo	0.232
ˈɒ	ˈɑ	0.231
ˈi	ˈe	0.215
ˈa	ˈɛ	0.21
ʀ	ɐˀ	0.21
ˈiː	-	0.201
ˈɛ	ˈøː	0.198
ˈœ	ˈæ	0.196
ˈuː	ˈøː	0.191
ˈeː	ˈɛ	0.188
ˈeː	ˈe	0.188
n	nˀ	0.188
ˈiː	ˈyː	0.171
k	ɡ̊	0.167
h	j	0.167
ˈʊ	ˈɑ	0.164
ˈa	ˈe	0.158
ˈi	-	0.154
tʲ	ʦʰ	0.154
ˈɒ	ˈœː	0.147
ˈuː	ˈæ	0.138
v	w	0.138
ˈiː	ˈyˀ	0.133
p	pʰ	0.133
ˈʊ	ˈø	0.128
ˈi	ˈiː	0.123
ˈʏ	ˈø	0.12
l	lˀ	0.113
ˈi	ˈɑ	0.11
ˈuː	ˈɒː	0.109
t	ð̞ˠ	0.107
ˈiː	ˈɛˀ	0.096
ə	w	0.086
ˈɔː	ˈoː	0.085
ˈi	ˈɛ	0.081
ʀ	ˈɑˀ	0.075
ə	jˀ	0.075
ʀ	ʁ_ˈœ	0.071
ˈiː	j	0.06
