Romansch	Logudorese	probability
b	b	1.0
i	u	1.0
j	-	1.0
k	k	1.0
p	p	1.0
ʧ	k	1.0
ˈa	ˈa	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈiə̯	ˈe	1.0
ˈo	ˈo	1.0
ˈɔː	ˈo	1.0
l	-	0.131
n	n	0.551
s	s	0.731
v	β	0.191
ɡ	ɡ	0.411
ʃ	s	0.531
ˈe	ˈi	0.81
ˈi	ˈi	0.701
d	d	0.52
l	l_u	0.122
u	o	0.512
w	-	0.482
ʎ	ʣ	0.692
ˈiː	ˈu	0.12
ˈɛ	ˈi	0.172
d	-	0.113
ˈuː	ˈo	0.863
ˈɔ	ˈo	0.293
ˈɛː	ˈe_ɖː	0.143
r	r_u	0.094
r	r_e	0.304
ʃ	ɣ_e	0.284
l	r	0.215
l	l	0.405
m	m_i	0.105
m	m	0.855
n	n_u	0.155
t	t	0.665
v	b	0.65
ŋ	m	0.345
ŋ	ŋ	0.655
ə	e	0.25
ʃ	-	0.185
ʥ	ɣ	0.455
ʥ	-	0.545
ˈu	ˈu	0.355
ˈu	ˈo	0.645
n	<#_i	0.116
r	r	0.476
t	ð	0.206
d	ð	0.367
l	ɖː	0.127
ˈuː	ˈu	0.137
ˈɔ	ˈa	0.707
ˈɛː	ˈe	0.857
f	f	0.958
n	n_e	0.078
t	t_e	0.088
u	ˈo	0.488
w	u	0.518
ə	a	0.738
ʎ	r	0.308
ˈiː	ˈi	0.88
ˈɛ	ˈo	0.148
ˈɛ	ˈe	0.68
n	-	0.059
s	z	0.269
v	-	0.159
ɡ	b	0.589
ʨ	k	0.939
ˈe	ˈe	0.19
ˈi	ˈu	0.299
