Hoisanese	Hoisanese	probability
ⁿd	n	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɔ_ŋ	ɒ̃	1.0
ɔ_n	æ̃	1.0
ŋ	ŋ	1.0
²¹_#>	#>	1.0
²¹	⁵³	1.0
²²	¹¹	1.0
²	-	1.0
w_ɔ_n	æ̃	1.0
v	x_w	1.0
u_j	y	1.0
t̚	ʔ	1.0
t	ʦ	1.0
s	s	1.0
pʰ	pʰ͡x	1.0
p	p	1.0
m̩	v_u	1.0
m	ŋ	1.0
l	l	1.0
k̚	ʔ	1.0
kʰ	ʨʰ	1.0
j_ɛ	ɤ	1.0
h_w	kʰ͡x	1.0
e_w	ə_w	1.0
a_ŋ	ɒ̃	1.0
a_n	æ̃	1.0
a_m	æ̃	1.0
a_j	i	1.0
<#_ᵑɡ	<#	1.0
<#_j	<#	1.0
<#	<#_t	1.0
#>	⁵³_#>	1.0
f	f	0.8
³³	¹¹	0.717
ɔ_j	j	0.714
a	a	0.679
ᵑɡ	ʐ	0.667
ɔ	-	0.667
ɬ	ɕ	0.625
n	ŋ	0.625
⁵⁵	⁵³	0.6
³²	⁴⁵	0.6
w	w	0.6
e_j	i	0.6
tʰ	ʨʰ	0.571
ɵ	ũ	0.538
ᵐb	v	0.5
ᵐb	m	0.5
k	ʨ	0.5
k	k	0.5
j	j	0.435
j	-	0.435
tʰ	ʦʰ	0.429
³²	²	0.4
e_j	z̩	0.4
ɬ	s	0.375
n	e	0.375
⁵⁵	²	0.371
h	tʰ͡x	0.353
ᵑɡ	n	0.333
ɔ	ɤ	0.333
e	ə	0.333
e	j	0.333
h	x	0.294
ɔ_j	a_j	0.286
i	ə	0.286
u	ɥ	0.25
u	u	0.25
ɵ	ə	0.231
ɵ	w_ə	0.231
³³	⁴⁵	0.217
i	ĩ	0.214
i	-	0.214
f	kʰ͡x	0.2
h	ʨʰ	0.176
e	ĩ	0.167
e	e	0.167
w	a	0.16
u	ə̃	0.15
u	z̩	0.15
i	ə̃	0.143
i	j_ə	0.143
j	ɻ	0.13
w	ɣ	0.12
h	kʰ͡x	0.118
a	ə̃	0.107
u	ə	0.1
u	w	0.1
w	-	0.08
a	ə	0.071
a	j_ə	0.071
a	i	0.071
³³	²	0.065
h	h	0.059
