Scots	Saterland Frisian	probability
b	b	1.0
d	d	0.923
d	-	0.072
d_r	d	1.0
e	-	0.392
e	j	0.392
e	ɪ	0.133
f	f	0.959
f	x	0.047
h	h	1.0
i	ɪ	0.508
j	j	0.613
j	ˈɛɪ̯	0.386
k	k	0.91
k	s	0.09
kʰ	k	1.0
l	l	0.972
l	l_j	0.04
m	m	0.987
m	-	0.038
n	n	1.0
p	p	1.0
pʰ	p	1.0
r	r	0.877
r	-	0.061
r	d_ə	0.045
r_d	d	0.508
s	s	0.952
t	t	1.0
tʰ	t	0.91
tʰ	b	0.081
v	v	0.389
v	w	0.283
v	ɣ	0.162
w	v	0.952
w	w	0.053
x	x	1.0
z	z	0.561
z	s	0.425
ç	x	1.0
ð	d	0.629
ð	-	0.361
ŋ	ŋ	0.923
ŋ	ɪ	0.074
ŋ_ɡ	ŋ	0.508
ə	ə	0.639
ə	-	0.305
ə	ˈa	0.056
əi̯	ə	0.594
əi̯	-	0.297
əi̯	ɪ	0.075
ɡ	ɣ	0.638
ɡ	-	0.214
ɡ	x	0.082
ɡ	ɡ	0.066
ɪ	ə	1.0
ɫ	l	0.813
ɫ	ɫ	0.12
ɹ	r	1.0
ʃ	s_k	1.0
ʍ	v	0.822
ʍ	j	0.119
ʧ	s	0.667
ʧ	k	0.333
ˈa	ˈeː	0.258
ˈaːɪ̯	ˈiː	0.335
ˈaːɪ̯	ˈɛɪ̯	0.335
ˈe	ˈeː	0.204
ˈe	ˈɔː	0.176
ˈe	ˈoː	0.133
ˈe	ˈiː	0.07
ˈe	j	0.052
ˈei̯	ˈoː	0.55
ˈei̯	ˈɔː	0.1
ˈei̯	ˈɛ	0.066
ˈei̯	ˈeː	0.066
ˈei̯	-	0.058
ˈeː	ˈaːi̯	0.216
ˈeː	ˈɔː	0.199
ˈeː	ˈoː	0.199
ˈeː	ˈɛ	0.137
ˈi	ˈi	0.216
ˈi	ˈɛɪ̯	0.137
ˈi	ˈoː	0.137
ˈi	ˈɪ	0.126
ˈi	ˈeː	0.058
ˈiː	ˈɛɪ̯	0.305
ˈiː	ˈoː	0.184
ˈiː	ˈi	0.121
ˈiː	ˈeː	0.098
ˈiː	j_ˈoː	0.065
ˈoe̯	ˈɛ	1.0
ˈø	ˈoːu̯	1.0
ˈɑ	ˈɔ	0.331
ˈɑ	ˈɛ	0.245
ˈɑ	ˈɔː	0.171
ˈɑ	ˈɛɪ̯	0.13
ˈɑ	ˈoːu̯	0.094
ˈɑː	ˈoː	0.333
ˈɑː	ˈoːu̯	0.246
ˈɑː	ˈeː	0.159
ˈɑː	ˈɛɪ̯	0.105
ˈɑː	ˈaː	0.083
ˈɔ	ˈoːu̯	0.289
ˈɔ	ˈʊ	0.214
ˈɔ	ˈɔː	0.158
ˈɔ	ˈɔ	0.138
ˈɔ	ˈuː	0.082
ˈɔ_r	ˈoːu̯	1.0
ˈəi̯	ˈiː	0.328
ˈəi̯	ˈi	0.309
ˈəi̯	j_ˈuː	0.174
ˈəi̯	ˈuː	0.1
ˈəi̯	ˈaːi̯	0.082
ˈɛ	ˈiː	0.17
ˈɛ	ˈeː	0.17
ˈɛ	ˈɛɪ̯	0.148
ˈɛ	ˈɛː	0.11
ˈɛ	ˈaː	0.101
ˈɪ	ˈɪ	0.283
ˈɪ	ˈi	0.094
ˈɪ	ˈʊ	0.094
ˈɪ	ˈɛː	0.087
ˈɪ	j_ˈʊ	0.064
ˈɪ_ð	ˈuː	1.0
ˈʉ	ˈuː	0.662
ˈʉ	ˈu	0.123
ˈʉ	ˈʊ	0.123
ˈʉ	-	0.081
ˈʌ	ˈuː	0.392
ˈʌ	ˈʊ	0.216
ˈʌ	ˈɔ	0.151
ˈʌ	ˈiː	0.101
ˈʌʉ̯	ˈoːu̯_l	0.517
ˈʌʉ̯	ˈuː	0.297
ˈʌʉ̯	ˈaːu̯	0.119
θ	t	0.643
θ	d	0.349
