Kashubian	Bulgarian	probability
ˈu_r	rʲ	1.0
ˈõ	ˈɤ	1.0
ˈa_r	r_ˈa	1.0
ˈa	ˈa	1.0
ʧ_i	ɐ_k	1.0
ʤ	ɡ	1.0
ʣ_e	dʲ	1.0
ʣ	d	1.0
ʒ	ʒ	1.0
ɾ	i	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_r	ɐ_r	1.0
ə	ˈi	1.0
x	x	1.0
w_ˈʉ	u	1.0
w_ˈɔ	ɫ_ˈa	1.0
u	-	1.0
t	t	1.0
s	s	1.0
r̝_ˈe	r	1.0
r̝	r	1.0
p_j	pʲ	1.0
õ	-	1.0
n_i	ɛ_n	1.0
n	n	1.0
m_ə	ɛ_m	1.0
m_j	mʲ	1.0
m	m	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
f	f	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
d	d	1.0
b̥	b̥	1.0
b_j	bʲ	1.0
b	b	1.0
ã	-	1.0
v	v	0.863
ˈã	-	0.833
w	ɫ	0.824
ɔ	o	0.778
p	p	0.773
ɲ	n	0.756
ˈi	ˈi	0.743
r	r	0.732
z	z	0.713
a	ˈa	0.713
l	lʲ	0.708
ˈə	ˈi	0.667
u̯ˈɛ	o	0.633
ʧ	-	0.616
ʃ	-	0.608
ˈu	-	0.579
ˈɞ	ˈa	0.533
ˈe	ˈa	0.529
ɛ	ɛ	0.523
ʦ	t	0.483
ˈe	ˈɛ	0.471
ˈu	ˈɔ	0.421
ʃ	ʧ	0.392
ʧ	ʧ	0.384
u̯ˈɛ	ˈɔ	0.367
ˈɔ	-	0.356
j	ɛ	0.339
ɛ	-	0.316
ˈɔ	ˈɔ	0.295
l	l	0.292
z	-	0.287
a	ɐ	0.287
ˈɛ	ˈɤ	0.286
ˈɞ	-	0.278
ˈɛ	-	0.273
ˈi	-	0.257
ʦ	ʦ	0.253
ɲ	nʲ	0.244
j	ˈɛ	0.239
ˈɛ	ˈɛ	0.234
p	-	0.227
ɔ	ˈɔ	0.222
ˈɛ	ɛ	0.207
ˈə	-	0.195
ˈɞ	ˈɤ	0.189
ˈɔ	o	0.186
r	ɐ_r	0.183
w	-	0.176
ˈã	ˈɤ	0.167
ˈɔ	ɛ	0.164
ɛ	ˈɛ	0.16
j	j	0.159
ˈə	ˈu	0.138
v	-	0.137
j	ˈa	0.131
j	-	0.131
ʦ	j_ɐ	0.112
r	r_ˈa	0.085
ʦ	ʦʲ	0.054
ʦ	tʲ	0.054
