Proto-Slavic	Lower Sorbian	probability
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ_ĭ	ʂ	1.0
ʒ	ʐ	1.0
ɨ̌	ˈɨ	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̌	ˈɪ	1.0
ɛ̂ː	ˈɪ	1.0
ɛː	ˈɪ	1.0
ɛˀ	ˈɪ	1.0
z	z	1.0
ŭ̂	-	1.0
ŭ_#>	#>	1.0
ûː	ˈu	1.0
t_o	t_ɔ	1.0
t_i	ɕ	1.0
s	s	1.0
ǒ_#>	ɔ_#>	1.0
ôː	ˈɔ	1.0
oˀ	r	1.0
l_ŭ	w	1.0
ǐ	ˈi	1.0
ĭ̌	ˈa	1.0
ĭ_#>	#>	1.0
i	ˈi	1.0
ẽ̂ː	ˈɪ	1.0
ê	ˈa	1.0
d_ŭ	t	1.0
ǎ	a	1.0
aˀ	ˈa	1.0
a	a	1.0
<#_v	<#	1.0
<#_t	<#_ɕ	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
n	n	0.8
k	k	0.75
x	x	0.714
ô	ˈɔ	0.7
ŭ	ɨ	0.696
<#	<#_j	0.667
d	d	0.643
ẽ	ˈɪ	0.6
ǒ	ˈɔ	0.571
m	m	0.571
o	ɔ	0.562
t	t	0.545
v	vʲ	0.524
p	pʲ	0.5
p	p	0.5
v	v	0.476
l	w	0.467
r	r	0.464
ǒ	ˈɛ	0.429
m	mʲ	0.429
ĭ	-	0.429
ẽ	e	0.4
b	p	0.375
b	b	0.375
d	ʑ	0.357
l	l	0.333
<#	<#_v	0.333
t	ɕ	0.318
o	ˈɛ	0.312
ô	ˈɛ	0.3
x	k	0.286
ĭ	ˈe	0.286
ĭ	ɲ	0.286
k	kʲ	0.25
e	ˈe	0.25
e	ɔ	0.25
b	bʲ	0.25
r	rʲ	0.214
n	ɲ	0.2
ŭ	-	0.174
e	ˈɔ	0.167
e	ɛ	0.167
e	-	0.167
t	ʨ	0.136
l	ˈɔ	0.133
ŭ	i	0.13
o	ˈɔ	0.125
r	ˈɔ	0.107
r	ʂ	0.107
r	ɕ	0.107
l	-	0.067
