Swedish	Swedish	probability
ˈɛ_tː	x	1.0
ˈœː	-	1.0
ˈøː_#>	ˈi_#>	1.0
ˈæː	ˈeː	1.0
ˈæ	-	1.0
ˈoː_#>	ˈʊː_n_#>	1.0
ˈa_l	ˈaː	1.0
ʈː	ʀ_t	1.0
ʈ	s	1.0
ʂ	ʀ	1.0
ɵ	-	1.0
ɳː	ʀ	1.0
ɳ	ʀ_ə	1.0
ɪ	-	1.0
ɡ_#>	ɣ̊_#>	1.0
ɛ_r	ʀ	1.0
ɛ_n	ə	1.0
ɖ	ʀ_d̥	1.0
ɕ_ˈʏ	k	1.0
ɔ	i	1.0
ŋː	ŋ	1.0
v_ɛ	v_ə	1.0
v_#>	v̥_#>	1.0
tʰ_ˈɵ	d	1.0
tʰ	d	1.0
t	t	1.0
s_t	s	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
lː	l	1.0
kʰ	k	1.0
k_t	x	1.0
k	k	1.0
jː	ɡ	1.0
j_ˈʉː	ˈeː	1.0
j_#>	ə_ɣ̊_#>	1.0
h	ɦ	1.0
f	v	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_d	<#_d	1.0
r	ʀ	0.958
n	n	0.881
ˈœ	-	0.8
m	m	0.789
v	β	0.778
tː	t	0.778
ɡ	ɣ	0.765
ˈɔ	-	0.714
s_k	s	0.714
s_#>	z̥_#>	0.714
nː	n	0.714
ɛ	ə	0.706
l	l	0.7
d	d̥	0.7
<#	<#_β	0.7
s	z	0.69
a	ə	0.685
ˈuː	ˈʊː	0.667
kː	k	0.667
ˈiː	ˈiː	0.615
ˈeː	ˈɛː	0.6
ˈʏ	ˈœ	0.571
ˈɛː	ˈeː	0.556
ˈɪ	ˈɪː	0.533
ˈɑː	ˈaː	0.533
ˈyː	ˈeː	0.5
ˈyː	-	0.5
ɧ	ʃ	0.5
ɧ	z	0.5
ɡː	k	0.5
ɡː	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
ˈɛː	-	0.444
ˈoː	ˈɒː	0.438
ˈʏ	-	0.429
ˈɵ	ˈʊː	0.417
ˈʊ	ˈʊː	0.4
ˈʊ	-	0.4
ˈeː	-	0.4
ˈʉː	ˈuː	0.391
ˈʉː	ˈeː	0.391
ˈɵ	-	0.333
ˈɑː	-	0.333
ˈøː	ˈu	0.333
ˈøː	-	0.333
kː	ŋ_k	0.333
#>	ə_#>	0.318
a	-	0.315
s	s	0.31
ˈa	ˈɑː	0.3
ˈa	ˈaː	0.3
<#	<#_d	0.3
ɛ	-	0.294
ˈɔ	ˈɔː	0.286
s_k	ʃ	0.286
s_#>	#>	0.286
nː	n_d	0.286
j	l	0.286
ˈɵ	ˈɔ	0.25
ˈiː	-	0.231
l	l_ə	0.225
ˈøː	ˈøː	0.222
tː	x	0.222
j	ˈeː	0.214
j	ɣ	0.214
m	ə_m	0.211
ˈʊ	ˈʊ	0.2
ˈɪ	-	0.2
ˈœ	ˈʊː	0.2
ˈa	ˈɑ	0.2
ˈɛ	ˈɛː	0.19
ˈɛ	ˈeː	0.19
ˈɛ	-	0.19
ˈoː	ˈi	0.188
#>	k_#>	0.182
#>	d̥_#>	0.182
ˈuː	ˈoː_j	0.167
ˈuː	ˈoː	0.167
ˈiː	ʀ	0.154
ˈɛ	ˈɛ	0.143
ˈɛ	ˈɑ	0.143
ˈɛ	ˈæː	0.143
j	ˈi	0.143
j	ɦ	0.143
#>	n_#>	0.136
ˈɪ	ˈɪ	0.133
ˈɪ	ˈɛ	0.133
ˈɑː	ˈɒː	0.133
d	j	0.133
ˈʉː	-	0.13
ˈoː	ˈʊː	0.125
ˈoː	ˈoː	0.125
ˈoː	ˈaː	0.125
ɡ	ɣ̊	0.118
ɡ	k	0.118
ˈøː	ˈʊː	0.111
ˈa	ˈæː	0.1
ˈa	ˈæ	0.1
d	d	0.1
#>	ʀ_#>	0.091
#>	z̥_#>	0.091
ˈʉː	ˈɔ	0.087
v	v̥	0.074
v	v	0.074
v	-	0.074
n	-	0.071
d	-	0.067
