Danish	Old Norse	probability
b̥	b	0.832
b̥	p	0.168
d̥	d	0.981
e	i	0.678
e	ɑ	0.322
f	f	1.0
h	h	0.965
i	i	0.678
i	ɑ	0.322
j	-	0.236
j	ɣ	0.22
j	k	0.196
j	ç	0.167
j	j	0.154
jˀ	ɣ	1.0
k	c	0.415
k	k	0.31
k	kː	0.182
k	cː	0.093
kʰ	kʰ	0.501
kʰ	cʰ	0.499
l	l	0.842
l	lː	0.089
l	l̥	0.069
lˀ	l	0.723
lˀ	lː	0.197
lˀ	rː	0.051
m	m	0.846
m	r_m	0.101
mˀ	m	0.592
mˀ	mː	0.408
n	n	0.703
n	nː	0.27
nˀ	n	0.497
nˀ	nː	0.37
nˀ	ð	0.133
p	p	0.735
p	pː	0.265
s	s	0.906
s	sː	0.05
t	t	0.498
t	tː	0.456
w	ɣ	0.333
w	a	0.149
w	v	0.147
w	v_ɑ	0.142
w	ˈɑu̯	0.099
w	ˈoː	0.073
wˀ	v	1.0
ð̞ˠ	t	0.538
ð̞ˠ	ð	0.46
ŋ	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	r	0.547
ɐ	rː	0.211
ɐ	i	0.188
ɐˀ	r	1.0
ə	ɑ	0.634
ə	a	0.154
ə	i	0.135
ɡ̊	ɡ	0.434
ɡ̊	ɟ	0.265
ɡ̊	ɡː	0.244
ɡ̊	ɟː	0.058
ʁ	r	0.867
ʁ	r̥	0.089
ʋ	v	0.703
ʋ	w	0.253
ʦʰ	θ	0.601
ʦʰ	tʰ	0.382
ʨ	θ	1.0
ˈa	ˈɑ	0.609
ˈa	ˈa	0.163
ˈa	ˈɔ	0.163
ˈa	ˈeː	0.065
ˈaː	ˈa	1.0
ˈe	ˈi	0.682
ˈe	ˈɛ	0.107
ˈe	ˈoː	0.098
ˈe	ˈe	0.072
ˈeˀ	ˈɛi̯	0.453
ˈeˀ	ˈi	0.154
ˈeˀ	ˈɛː	0.148
ˈeˀ	ˈeː	0.106
ˈeˀ	ˈɛ	0.1
ˈeː	ˈɑː	0.661
ˈeː	ˈɛ	0.339
ˈi	ˈeː	0.647
ˈi	ˈɛ	0.144
ˈi	ˈuː	0.14
ˈi	ˈyː	0.07
ˈiˀ	ˈiː	0.827
ˈiˀ	ˈyː	0.108
ˈiː	ˈiː	0.549
ˈiː	ˈoː	0.184
ˈiː	ˈe	0.138
ˈiː	ˈi	0.13
ˈo	ˈo	0.709
ˈo	ˈoː	0.213
ˈo	ˈɑ	0.078
ˈoˀ	ˈoː	0.555
ˈoˀ	ˈyː	0.157
ˈoˀ	ˈɔ	0.139
ˈoˀ	ˈɛi̯	0.092
ˈoˀ	ˈy	0.057
ˈoː	ˈɑː	0.312
ˈoː	ˈoː	0.296
ˈoː	ˈɔ	0.228
ˈoː	ˈy	0.164
ˈu	ˈu	0.9
ˈu	ˈuː	0.1
ˈuˀ	ˈuː	0.722
ˈuˀ	ˈu	0.083
ˈuˀ	ˈoː	0.079
ˈuˀ	ˈo	0.061
ˈuˀ	ˈeː	0.055
ˈuː	ˈuː	0.494
ˈuː	ˈi	0.318
ˈuː	ˈu	0.187
ˈy	ˈy	0.735
ˈy	ˈyː	0.265
ˈyˀ	j	0.615
ˈyˀ	ˈyː	0.385
ˈyː	ˈoː	0.57
ˈyː	ˈu	0.32
ˈyː	j	0.11
ˈæ	ˈɑ	0.552
ˈæ	ˈe	0.448
ˈæˀ	ˈɑ	1.0
ˈø	ˈu	0.5
ˈø	ˈy	0.5
ˈøː	ˈøː	0.336
ˈøː	ˈøy̯	0.276
ˈøː	ˈɑu̯	0.194
ˈøː	ˈɒu̯	0.194
ˈœ	ˈy	0.509
ˈœ	ˈøy̯	0.146
ˈœ	ˈøː	0.081
ˈœ	ˈɔ	0.069
ˈœ	ˈi	0.06
ˈœ	ˈo	0.06
ˈœ	ˈɒu̯	0.051
ˈœˀ	ˈɑu̯	0.46
ˈœˀ	ˈøː	0.338
ˈœˀ	ˈɒu̯	0.101
ˈœˀ	ˈɔ	0.056
ˈœː	ˈøː	1.0
ˈɑ	ˈɑ	0.419
ˈɑ	ˈe	0.366
ˈɑ	ˈɛ	0.126
ˈɑ	ˈi	0.089
ˈɑˀ	ˈɑ	0.783
ˈɑˀ	ˈe	0.217
ˈɑː	ˈe	0.5
ˈɑː	ˈɑ	0.5
ˈɒ	ˈo	1.0
ˈɒˀ	ˈɛː	0.678
ˈɒˀ	ˈɑː	0.322
ˈɒː	ˈo	1.0
ˈɔ	ˈu	1.0
ˈɔˀ	ˈɑː	0.853
ˈɔˀ	ˈo	0.109
ˈɔː	ˈɑː	1.0
ˈɛ	ˈɑ	0.405
ˈɛ	ˈa	0.137
ˈɛ	ˈe	0.097
ˈɛ	ˈɛ	0.096
ˈɛ	ˈi	0.08
ˈɛ	ˈeː	0.062
ˈɛˀ	ˈɛi̯	0.321
ˈɛˀ	ˈiː	0.164
ˈɛˀ	ˈɑ	0.164
ˈɛˀ	ˈe	0.117
ˈɛˀ	ˈeː	0.117
ˈɛˀ	ˈɛː	0.117
ˈɛː	ˈe	0.442
ˈɛː	ˈɑ	0.279
ˈɛː	ˈɛ	0.279
ˈʌ	ˈɔː	0.275
ˈʌ	ˈo	0.228
ˈʌ	ˈɑu̯	0.182
ˈʌ	ˈɔ	0.141
ˈʌ	ˈu	0.09
ˈʌ	ˈɑ	0.084
ˈʌˀ	ˈøy̯	0.5
ˈʌˀ	ˈɑː	0.5
