Provençal	Provençal	probability
ˈɔ	ˈø	1.0
ˈỹ	ˈy	1.0
ˈy	ˈy	1.0
ˈu_#>	ˈu_r_#>	1.0
ˈĩ	ˈi	1.0
ˈi_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈɛ_j_#>	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	t	1.0
ʀ	r	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈø	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ_#>	n_#>	1.0
y	-	1.0
w_ˈẽ	ˈu	1.0
w_t	w_t	1.0
v_ˈa	v_ˈa	1.0
v	v	1.0
ũ	u	1.0
t	t	1.0
s_ˈe	s_ˈɛ	1.0
s_e	s	1.0
p	p	1.0
n_ɔ	ŋ_a	1.0
n	n	1.0
mː	m	1.0
m_#>	m_#>	1.0
m	m	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_ɾ	dː	1.0
j_ɔ	j_a	1.0
j_s	s	1.0
j_#>	#>	1.0
ĩ	i	1.0
f	f	1.0
ẽ	a	1.0
b_ɾ	v_r	1.0
b_l	b_j	1.0
ã	a	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
s	s	0.962
b	b	0.905
a	a	0.875
ˈa	ˈa	0.857
ŋ	ŋ	0.841
s_#>	z_#>	0.778
u	u	0.765
ɾ	r	0.743
ˈu	ˈu	0.727
e_#>	#>	0.727
ˈɛ	ˈɛ	0.7
ˈũ	ˈu	0.667
ˈẽ	ˈɛ	0.667
ˈa_j	ˈa	0.667
ɡ	-	0.667
z	z	0.667
w_#>	l_#>	0.63
j_ˈe	ˈi	0.6
i	i	0.6
#>	t_#>	0.6
w_ˈe	ˈɔ	0.583
ʤ	ʤ	0.579
ɥ	ˈø	0.571
l	l	0.545
d	d	0.533
j	j	0.529
d	-	0.467
ˈe	ˈe	0.455
ɥ	-	0.429
j_ˈe	ˈe	0.4
i	j	0.4
e	e	0.395
l	j	0.364
j	-	0.353
e	-	0.342
ˈũ	-	0.333
ˈẽ	-	0.333
ˈa_j	ˈe	0.333
ɡ	ɡ	0.333
z	-	0.333
w	w	0.333
ˈe	ˈɛ	0.318
ˈɛ	ˈe	0.3
e_#>	r_#>	0.273
w	ˈɔ	0.25
w	l	0.25
s_#>	#>	0.222
w_ˈe	ˈø	0.208
w_ˈe	ˈu	0.208
ˈu	ˈy	0.182
w	-	0.167
ŋ	n	0.159
ʤ	z	0.158
ʤ	-	0.158
e	i	0.158
w_#>	v_#>	0.148
ˈe	j	0.136
#>	d_#>	0.133
a	u	0.125
u	ˈø	0.118
u	-	0.118
j	s	0.118
w_#>	j_#>	0.111
w_#>	#>	0.111
ʤ	d	0.105
#>	s_#>	0.1
#>	r_#>	0.1
b	v	0.095
ˈu	-	0.091
ˈe	ˈə	0.091
l	-	0.091
ˈa	w_ˈa	0.086
ɾ	ə	0.086
#>	e_#>	0.067
ˈa	ˈɔ	0.057
ɾ	j	0.057
ɾ	e	0.057
ɾ	-	0.057
e	u	0.053
e	i_k	0.053
