Bavarian	Nynorsk Norwegian	probability
ˈɒ	ˈɑ	1.0
ˈoɐ̯	ˈæɪ̯	1.0
ˈou̯	ˈæʉ̯	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈe_ɡ̊	ˈɛ	1.0
ˈe_j	l	1.0
ˈau̯	ˈʉː	1.0
ʋ_ˈo	ˈʉ	1.0
ʃ_ʋ	s	1.0
ʃ_d̥	s_t	1.0
ɡ̊_a	ɡː	1.0
ə	-	1.0
ɑ	n	1.0
ɐ_n	ɾ_n	1.0
ɐ	ɾ	1.0
ŋ_ɡ̊	ʰkː	1.0
ç	-	1.0
x_d̥	ʰtː	1.0
sː	t	1.0
s_n	t_ɑ	1.0
r	ɾ	1.0
n_s	sː	1.0
n_i	ŋ	1.0
n_d̥	nː	1.0
j_d̥	lː	1.0
i	-	1.0
h	h	1.0
fː	p	1.0
eː	e_n	1.0
b̥͡v̥	pʰ	1.0
b̥_d̥	ʉ	1.0
b̥	b	1.0
l	l	0.906
m	m	0.893
f	f	0.802
a	ɑ	0.802
ˈoː	ˈoː	0.801
ˈuɐ̯	ˈuː	0.8
x	k	0.762
kʰ	kʰ	0.757
ɡ̊	ɡ	0.747
j	l	0.672
ˈɛ	-	0.667
ʋ	ʋ	0.662
s	s	0.603
ˈɑ	-	0.601
ʦ	tʰ	0.587
ˈai̯	ˈiː	0.586
ˈa	ˈɑ	0.578
ˈɑː	ˈɑ	0.576
ˈaː	-	0.574
ˈe	ˈɛ	0.546
ˈɒː	ˈɑː	0.536
β	ʋ_e	0.5
β	ʋ	0.5
n	n	0.472
ˈɒː	-	0.464
ˈeː	ˈøː	0.459
ˈo	ˈɑ	0.458
ˈiɐ̯	ˈʉː	0.45
ˈaː	ˈæʉ̯	0.426
ˈɑː	ˈɑː	0.424
ˈa	-	0.422
ˈɑ	ˈoː	0.399
ˈiɐ̯	ˈyː	0.394
ŋ	ŋː	0.392
ˈu	-	0.388
ˈeː	ˈeː	0.385
ʃ	s	0.383
ˈi	ˈɪ	0.369
ʃ	ʂ	0.352
d̥	-	0.352
ˈu	ˈʉ	0.347
ˈɛ	ˈæ	0.333
n	nː	0.296
d̥	tʰ	0.29
s	t	0.284
ʃ	s_k	0.265
d̥	d	0.264
ŋ	ɡ_ɑ	0.253
kʰ	ç	0.243
j	lː	0.239
x	-	0.238
ˈai̯	ˈyː	0.234
ˈe	-	0.223
ʦ	-	0.213
ˈi	ˈʏ	0.209
ʦ	tː	0.201
ˈuɐ̯	ˈøː	0.2
ˈoː	-	0.199
f	-	0.198
a	e	0.198
ˈo	ˈʉ	0.188
ˈai̯	ˈɛ	0.181
ˈu	ˈʏ	0.175
n	ɑ	0.159
ˈiɐ̯	ˈøː	0.156
ˈeː	-	0.156
ɡ̊	ɡː	0.144
ŋ	ɲ	0.14
ŋ	j_ɑ	0.134
ʋ	-	0.127
ˈi	-	0.125
ˈe	ˈæː	0.119
ˈo	-	0.113
s	ʂ	0.113
ˈe	ˈeː	0.112
ɡ̊	j	0.109
ˈi	ˈiː	0.107
ʋ	v	0.105
ʋ	kʰ_ʋ	0.105
ˈi	ˈeː	0.101
ˈo	ˈʊ	0.1
l	j	0.094
ˈi	ˈɛ	0.09
ˈu	ˈɔ	0.089
j	-	0.089
ŋ	jː	0.08
ˈo	ˈɔ	0.077
n	-	0.073
m	ʋ_ɑ	0.073
ˈo	ˈuː	0.064
d̥	ç	0.054
