Asturian	Asturian	probability
β_ˈa	ˈa	1.0
β_u	u	1.0
β_e	ɛ	1.0
ˈu	ˈu	1.0
ˈe_θ	ɣ_ɛ	1.0
ˈe_ʝ	j	1.0
ˈe_ʎ	ɖː	1.0
ˈe_ɲ	ˈi_nː	1.0
ˈe_s	s	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_j	ˈɛ_ɣ	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʎ_e	l_ɛ	1.0
ɾ_ð	ɾ_d	1.0
ɾ_n	r	1.0
ɾ_m	ɾ_m	1.0
ŋ_ɡ	m_b	1.0
ð	ð	1.0
t_e	t_ɛ	1.0
s_#>	z_ɔ̆_#>	1.0
r	r	1.0
p	p	1.0
m_o	m_ˈɔ	1.0
m	m	1.0
l_s	ɾ_ʦ	1.0
i	i	1.0
f	f	1.0
b_ˈe	b_ˈi	1.0
<#_θ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_e	<#_i	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
k	k	0.946
b	b	0.926
#>	ɛ_#>	0.881
n	n	0.857
d	d	0.857
u	u	0.853
l	l	0.842
a	a	0.829
ˈe_ɾ	ɛ_ɾ	0.8
ɾ	ɾ	0.781
ˈi	ˈi	0.759
t	t	0.75
ʎ	l	0.731
ɾ_a	ɾ_a	0.714
ɲ	n_ʣ	0.714
w_ˈe	ˈɔ	0.692
ɾ_u	ɾ_u	0.667
ɣ	ɣ	0.667
s	s	0.667
ŋ	n_ɛ	0.636
j_ˈe	ˈɛ	0.625
ɡ	-	0.6
ʝ	ʣ	0.5
ʝ	-	0.5
o	ɔ	0.474
θ	ɣ	0.471
w	ˈo	0.462
ʃ	ʣ	0.4
ɡ	b	0.4
β	β	0.385
ˈe	ˈi	0.382
ˈo	ˈɔ	0.381
j_ˈe	ˈe	0.375
j	ˈe	0.364
j	-	0.364
θ	-	0.353
ɾ_u	u	0.333
ɣ	-	0.333
β	-	0.308
w_ˈe	ˈo	0.308
ʃ	b	0.3
ʃ	-	0.3
ˈo	ˈu	0.286
ɾ_a	a	0.286
ɲ	-	0.286
j	ˈɛ	0.273
e	ɛ	0.268
s	z	0.259
w	ˈu	0.231
o	ˈɔ	0.211
ˈe	ˈe	0.206
ˈe_ɾ	ɾ	0.2
e	i	0.195
ˈo	ˈo	0.19
ŋ	m	0.182
ŋ	-	0.182
θ	k	0.176
ˈe	ˈɛ	0.176
l	ɛ	0.158
β	ɛ	0.154
β	b	0.154
w	ˈɔ	0.154
w	-	0.154
n	nː	0.143
d	-	0.143
e	a	0.122
#>	u_#>	0.119
ʎ	ɾ	0.115
t	t_ɛ	0.107
o	o_j	0.105
o	o	0.105
o	-	0.105
ˈi	ˈi_ʣ	0.103
e	u	0.098
e	e	0.098
e	-	0.098
ˈo	ˈa	0.095
a	-	0.092
ˈe	ɛ	0.088
ˈe	-	0.088
a	ˈa	0.079
ʎ	ɖː	0.077
ʎ	k_ɾ	0.077
s	z_ɛ̆	0.074
b	b_ˈi	0.074
e	ˈɛ	0.073
t	ʦ	0.071
t	-	0.071
ˈi	i	0.069
ˈi	-	0.069
ɾ	-	0.062
ˈe	ɣ	0.059
k	b	0.054
