Alsatian	Alsatian	probability
ˈɛ	ˈɛ	1.0
ˈɔi̯	ˈɔː	1.0
ˈœ	ˈɔː_ɡ̊	1.0
ˈøː	-	1.0
ˈø	ˈɔ_ɣ	1.0
ˈyː	ˈaʊ̯	1.0
ˈo_ʁ	ˈaː	1.0
ˈo	ˈɔ	1.0
ˈiː_t	ˈaɪ̯_d̥	1.0
ˈi_n	n	1.0
ˈeː_n	ˈeː	1.0
ˈaː	-	1.0
ˈai̯	ˈɔː	1.0
ə_ʁ	ɑ	1.0
ə	ə	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	x	1.0
w	ʋ	1.0
s	s	1.0
p͡f	p	1.0
p	p	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
e	-	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
<#_ʁ	<#_ɾ	1.0
#>	ɡ̊_#>	1.0
n	n	0.951
ˈɒ	ˈa	0.923
ʋ	ʋ	0.92
ˈəi̯	ˈeː	0.889
ˈoː	ˈoː	0.867
ʦ	ʦ	0.857
ɡ̊	ɡ	0.846
ˈe	ˈɛ	0.833
ˈi	ˈɪ	0.769
ʃ	ʃ	0.767
ˈeː	ˈeː	0.75
ˈʊː	ˈuː	0.727
ˈu	ˈʊ	0.696
ˈæ	ˈɛ	0.667
d̥	d	0.655
ˈɒː	ˈɔː	0.6
ˈæː	ˈɛː	0.6
ˈei̯	ˈaɪ̯	0.6
ʁ	ɾ	0.595
j	j	0.571
i	ɪ	0.571
ˈiː	ˈiː	0.474
j	-	0.429
i	ɪ_ç	0.429
ˈiː	ˈaɪ̯	0.421
ˈɒː	-	0.4
ˈæː	ˈeː	0.4
ˈei̯	ˈeː	0.4
t	d̥	0.359
t	d	0.359
d̥	d̥	0.345
ˈæ	-	0.333
ʁ	ɑ	0.333
ˈʊː	ˈɔː	0.273
ˈeː	-	0.25
ʃ	ç	0.233
ˈi	ˈaɪ̯	0.231
t	t	0.231
ˈu	ˈɪ	0.174
ˈe	-	0.167
ɡ̊	-	0.154
ʦ	s	0.143
ˈoː	ˈɔː	0.133
ˈu	-	0.13
ˈəi̯	ˈɔɪ̯	0.111
ˈiː	-	0.105
ʋ	ɣ	0.08
ˈɒ	ˈɔː	0.077
ʁ	ˈaː	0.071
t	-	0.051
