Insular North Frisian	Swiss German	probability
ˈɛː	ˈæ	1.0
ˈiː_n	ˈæi̯	1.0
ˈaʊ̯	-	1.0
ɪ_ç	ɡ̊	1.0
ɪ	i	1.0
ə_f	f	1.0
ɐ_x	r	1.0
z	z̥_i	1.0
x_t	t	1.0
v_ˈʊ	ʋ	1.0
tʲ	d̥	1.0
r_ˈɪ	r_ˈy	1.0
r_ə	r	1.0
r	r	1.0
pʰ	p͡f	1.0
nʲ	n_d̥	1.0
m	m	1.0
lʲ	l_d̥	1.0
kʰ	ɣ̊	1.0
h	h	1.0
e	-	1.0
b	b̥	1.0
aɪ̯	ˈiː_ʦ	1.0
l	l	0.967
f	v̥	0.937
n	n	0.914
v	ʋ	0.898
ɡ	ɡ̊	0.805
d	d̥	0.696
ˈaɪ̯	-	0.683
ˈøː	-	0.667
ʃ	ʒ̊	0.648
j	-	0.633
x	χ	0.631
ŋ	ŋ	0.613
tʰ	d̥	0.603
ɐ	r	0.6
ˈa	ˈɒ	0.596
p	f	0.586
ˈɪ	ˈi	0.565
ˈeː	-	0.553
ə	ə	0.54
ɾ	t	0.529
t	t	0.527
ˈɔa̯	ˈoː	0.51
s	z̥	0.469
ˈoː	ˈau̯	0.466
ˈyː	ˈyː	0.463
ə	-	0.46
ç	ɡ̊	0.437
ˈuː	ˈo	0.432
s_k	ʒ̊	0.429
ˈuː	-	0.423
ˈʏ	ˈuː	0.406
ɐ	ə_r	0.4
s_k	ʃː	0.4
tʰ	ʦ	0.397
ˈɔː	ˈɒː	0.391
k	χ	0.39
ˈiː	-	0.377
ˈɔ	ˈu	0.376
ˈʊ	ˈu	0.371
x	r	0.369
j	j	0.367
ˈœ	ˈu	0.366
ʃ	z̥	0.352
ˈøː	ˈyː	0.333
ˈœ	-	0.331
ˈɔː	ˈɒ	0.328
k	k͡χ	0.323
ɾ	d̥	0.322
ˈaɪ̯	ˈæi̯	0.317
ˈiː	ˈyː	0.315
d	sː	0.304
ˈɪ	ˈiː	0.301
ˈɔa̯	-	0.301
ˈoː	ˈuə̯	0.298
ˈyː	-	0.297
k	χː	0.287
ˈɔː	-	0.281
ˈa	ˈɒː	0.273
p	fː	0.271
ˈɛ	ˈæ	0.25
ˈyː	ˈuː	0.24
ˈoː	-	0.235
ˈɔ	ˈuə̯	0.234
ˈɔ	ˈo	0.234
t	sː	0.233
ŋ	ɡ̊	0.231
s	ʒ̊	0.231
ˈʏ	-	0.23
ˈʏ	ˈu	0.225
ç	ɡ̊ː	0.215
s	ʃ	0.21
ˈʊ	ˈi	0.202
ˈɛ	-	0.201
ˈʊ	-	0.198
ç	χ	0.198
ɡ	-	0.195
t	ʦ	0.19
ˈɔa̯	ˈɒ	0.189
ˈeː	ˈæ	0.176
ˈœ	ˈɒ	0.171
s_k	ʃ	0.171
ˈiː	ˈiː	0.157
ˈɔ	ˈæ	0.156
ŋ	ŋ_ɡ̊	0.156
ˈʊ	ˈuə̯	0.153
ˈiː	ˈiə̯	0.151
ç	-	0.15
ɾ	tː	0.149
ˈuː	ʋ	0.145
p	p͡f	0.143
ˈɛ	ˈi	0.142
ˈeː	ˈæi̯	0.14
ˈɪ	-	0.135
ˈɛ	ˈy	0.133
ˈœ	ˈo	0.133
ˈeː	ˈɒ	0.131
ˈa	ˈæ	0.131
ˈɛ	ˈø	0.108
v	-	0.102
s	s	0.09
ˈɛ	ˈiə̯	0.081
ˈʊ	ˈo	0.077
ˈʏ	ˈyː	0.07
ˈʏ	ˈy	0.07
f	f	0.063
t	d̥	0.05
