Palatine German	Afrikaans	probability
ˈɛ̃ː	-	1.0
ˈɛ_r	ˈɪə̯	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈəɪ̯_n	1.0
ˈɑ_l	ˈœu̯	1.0
ˈõː	ˈɪø̯	1.0
ˈoː_d̥	ˈoː	1.0
ˈo	ˈɑː	1.0
ˈĩː	ˈu_n	1.0
ˈi	ˈi	1.0
ˈẽː	-	1.0
ˈau̯	ˈœɪ̯	1.0
ʣ̥	t	1.0
ʃ_l	s_ɫ	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɡ̊_ə	k	1.0
ɡ̊_s	s	1.0
ɡ̊_r	χ_r	1.0
ɑ	-	1.0
ɐ_ʣ̥	r_t	1.0
ŋ	ŋ	1.0
s_ə	t	1.0
r_ə	d̥	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
h	ɦ	1.0
f_ə	p	1.0
eː	i	1.0
d̥_r	d_r	1.0
f	v̥	0.959
r	r	0.92
β	v	0.879
n	n	0.843
ˈiː	ˈi	0.83
ə	-	0.83
b̥	b	0.815
ˈu	ˈɔ	0.792
ˈuː	ˈu	0.765
ˈɑ	ˈa	0.762
ɡ̊	χ	0.734
s	s	0.721
x	k	0.714
j	χ	0.703
ˈɔ	ˈɔ	0.665
ˈɪ	ˈə	0.648
ɐ	r	0.645
n_ə	n	0.6
ˈoː	ˈɑː	0.565
ˈɛː	ˈɪə̯	0.53
ˈaɪ̯	ˈəɪ̯	0.521
x_d̥	χ_t	0.5
x_d̥	χ	0.5
d̥	d	0.459
ˈoː	ˈʊə̯	0.435
ʃ_d̥	s_t	0.407
n_ə	n_d̥	0.4
d̥	d̥	0.393
ʃ	s	0.389
ˈeː	ˈʊə̯	0.376
ˈɑː	ˈʊə̯	0.372
ʃ_d̥	χ	0.323
ˈɑː	ˈa	0.316
j	j	0.297
x	χ	0.286
s	t	0.279
ʃ_d̥	s	0.271
ˈɛ	ˈæ	0.27
ɐ	ə_r	0.263
ˈɛ	ˈɛ	0.238
ˈuː	ˈu_j	0.235
ˈeː	ˈi	0.232
ˈɑː	ˈɑː	0.231
ʃ	k	0.211
ˈɛ	ˈa	0.208
b̥	p	0.185
ʃ	χ	0.179
ˈaɪ̯	ˈi	0.178
ˈɑ	ˈɑː	0.17
ˈiː	-	0.17
ə	ə	0.17
ˈeː	ˈɑː	0.168
ˈɔ	ˈʊə̯_r	0.167
ˈɔ	-	0.167
ˈɛː	ˈəɪ̯	0.164
ˈeː	ˈɪə̯	0.164
ʃ	s_k	0.164
ɡ̊	k	0.156
ˈɛː	-	0.154
ˈɛ	ˈɪə̯	0.154
ˈɛː	ˈɑː	0.153
ˈaɪ̯	ˈœɪ̯	0.142
ˈɪ	ˈœ	0.13
β	-	0.121
ɡ̊	-	0.111
ˈu	ˈʊə̯	0.108
ˈu	-	0.099
d̥	t	0.093
ɐ	ə	0.091
ˈaɪ̯	ˈə	0.09
ˈɪ	ˈɛ	0.08
ˈɑː	-	0.08
r	d	0.08
ˈaɪ̯	ˈyː	0.07
ˈɑ	-	0.068
ˈɛ	ˈɑː	0.066
ˈɛ	ˈæː	0.063
n	n_d	0.063
ˈɪ	-	0.062
ˈeː	w	0.06
ʃ	ŋ	0.058
n	ŋ	0.057
d̥	-	0.055
