Neapolitan	Neapolitan	probability
ˈɛ_n	ˈe	1.0
ˈu_tː	ˈø_t	1.0
ˈu_n	ˈu	1.0
ˈi_ɾ	ˈe_r	1.0
ˈi_ə	ˈi_a	1.0
ˈi_ŋ	ˈi	1.0
ˈi_n_ə_#>	ˈi_#>	1.0
ˈi_l	ˈe_l	1.0
ˈa_ɾ	ˈa_r	1.0
ˈa_tː	ˈa_t	1.0
ˈa_n	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ	s	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤː	-	1.0
ʤ	z	1.0
ʎː	j	1.0
ʃː	s	1.0
ʃ_k	s_k	1.0
ɾ_ə_#>	#>	1.0
ɲ	ɲ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
v_ə_#>	f_#>	1.0
sː	s	1.0
s_t	s_t	1.0
rː	r	1.0
r	r	1.0
p_ˈu	p_ˈo	1.0
mː	m	1.0
l	l	1.0
kː_ə	k_a	1.0
kː_j	ʧ	1.0
kː	-	1.0
k_ɾ	k_r	1.0
k_ə_#>	k_#>	1.0
j_ˈɛ	ˈɛ	1.0
j_ə_#>	#>	1.0
f	f	1.0
e	-	1.0
dː	ʧ	1.0
d	d	1.0
bː	-	1.0
b	b	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_z	1.0
#>	o_#>	1.0
m	m	0.909
s	s	0.9
k	k	0.865
p	p	0.848
lː	l	0.846
ʃ	s	0.786
a	a	0.778
v	b	0.75
n	n	0.733
ə	a	0.722
t	t	0.722
ɾ	r	0.698
ˈo	ˈu	0.692
ɡ	ɡ	0.667
nː	n	0.667
<#_a	<#_a	0.667
w_ˈɔ	ˈɔ	0.636
ɲː	ɲ	0.6
ə_ɾ	e_r	0.6
o	-	0.6
k_j	p_j	0.6
<#_ˈa	<#_ˈa	0.6
ˈɛ	ˈɛ	0.556
w	-	0.545
ˈe	ˈɛ	0.5
tː	ʧ	0.5
tː	t	0.5
j	-	0.5
w	w	0.455
ˈɛ	ˈe	0.444
ˈi	ˈi	0.44
u	o	0.417
ə_ɾ	r	0.4
o	o	0.4
k_j	ʧ	0.4
w_ˈɔ	ˈø	0.364
ˈɔ	ˈɔ	0.36
i	-	0.35
ˈu	ˈy	0.333
ɡ	k	0.333
u	-	0.333
nː	ŋ	0.333
<#_a	<#	0.333
ˈɔ	ˈo	0.32
ˈo	ˈɔ	0.308
ˈe	ˈi	0.3
j	j	0.3
i	i	0.3
t	d	0.278
ˈu	ˈø	0.273
v	-	0.25
i	e	0.25
ˈu	ˈu	0.242
ˈɔ	ˈø	0.24
ˈi	ˈɛ	0.24
ˈi	ˈe	0.2
ˈe	ˈe	0.2
ɲː	n_ʤ	0.2
ɲː	n	0.2
j	ʤ	0.2
<#_ˈa	<#_ˈɛ	0.2
<#_ˈa	<#	0.2
ə	e	0.177
u	u	0.167
n	-	0.167
lː	-	0.154
ˈu	ˈo	0.152
p	-	0.152
k	ɡ	0.135
ˈi	-	0.12
ɾ	d	0.116
ɾ	-	0.116
a	e	0.111
a	-	0.111
ʃ	z	0.107
ʃ	f_j	0.107
s	-	0.1
n	ɲ	0.1
i	ˈi	0.1
m	-	0.091
u	y	0.083
ˈɔ	ˈu	0.08
ɾ	e	0.07
