Upper Sorbian	Russian	probability
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_n	<#_n	1.0
<#_pʲ	<#_pʲ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_zʲ	1.0
<#_ɥ	<#_vʲ	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʀ	<#_r	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʤ	<#_dʲ	1.0
bʲ	bʲ	1.0
d_w	ɫ	1.0
e	ˈe	1.0
i	ɪ_j	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ	kʲ	1.0
l_#>	lʲ_#>	1.0
m	mʲ	1.0
n	n	1.0
p	p	1.0
p_#>	p_#>	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
w	ɫ	1.0
w_#>	ɫ_#>	1.0
x_#>	k_#>	1.0
z	<#_z	1.0
ɥ	vʲ	1.0
ɦ	ɡ	1.0
ɪ	ɨ_j	1.0
ɲ	nʲ	1.0
ɲ_#>	nʲ_#>	1.0
ʀ	r	1.0
ʀʲ	rʲ	1.0
ʃ	ʂ	1.0
ʤ	dʲ	1.0
ʦ	ʦ	1.0
ʦ_#>	ʨ_#>	1.0
ʧ_#>	tʲ_#>	1.0
ˈa	ˈa	1.0
ˈa_z	ɪ_z	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈɔ_w	ˈo_ɫ	1.0
ˈɔ_ʀ	ˈɵ_r	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
<#_p	<#_p	0.571
t	tʲ	0.2
ˈo	ə	0.2
a_#>	ə_#>	0.353
s	sʲ	0.533
ɔ_#>	ə_#>	0.833
ɛ	ˈe	0.333
ˈɔ	ˈe	0.13
ˈɛ	ˈe	0.273
ˈɛ	ˈo	0.273
<#_ʧ	<#_tʲ	0.714
d	d	0.714
l	ɫ	0.444
<#_j	<#	0.5
<#_j	<#_j	0.5
<#_β	<#_v	0.5
<#_β	<#	0.5
x	x	0.5
x	ə	0.5
ɔ	ɐ	0.5
ɔ	-	0.5
ˈɛ	ɪ	0.455
<#_ʧ	<#_ʨ	0.286
d	dʲ	0.286
l	lʲ	0.556
a_#>	ˈa_#>	0.647
s	s	0.467
ɔ_#>	ˈo_#>	0.167
ɛ	ɪ	0.667
ˈe	ɪ	0.167
ˈe	ˈo	0.167
ˈe	ˈe	0.667
ˈɔ	ˈɵ	0.087
ˈɔ	ɪ	0.087
t	t	0.8
ˈo	ˈo	0.8
ˈɔ	ɐ	0.348
ˈɔ	ˈo	0.348
<#_p	<#_pʲ	0.429
