Štokavian	Štokavian	probability
̌_ʋ	v	1.0
̌_d	d	1.0
̌	-	1.0
̂_ɡ	ɣʲ	1.0
̂_x	xʲ	1.0
̂	-	1.0
ʧ	ʧ	1.0
ʎ_#>	lʲ_#>	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_a	1.0
ʋ_#>	w_#>	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ̊	x	1.0
ɡ_#>	x_#>	1.0
ɡ	ɣ	1.0
x	x	1.0
u_̂	v_u	1.0
u	w	1.0
t_i	ʦʲ	1.0
s_#>	s_#>	1.0
r̩ː_̂	ɵ_ˈ	1.0
r̩_̂	r	1.0
r_#>	r_#>	1.0
oː_̂	o_ˈ	1.0
o_̌	a	1.0
m_j	mʲ	1.0
iː_̂	ɨ_ˈ	1.0
eː	æ	1.0
e_̌	æ	1.0
e_#>	a_#>	1.0
d̥	d̥ʲ	1.0
d_#>	d̥_#>	1.0
b_#>	b̥_#>	1.0
aː	a	1.0
a_̌	a_ˈ	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
<#_x	<#_x	1.0
<#_t	<#_ʦʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_b	<#_bʲ	1.0
l	ɫ	0.826
r	r	0.824
b	b	0.778
uː	u	0.75
k	k	0.75
<#_j	<#_j	0.75
o_#>	a_#>	0.733
e_̂	e_ˈ	0.727
ʦ	ʦ	0.714
i_̂	ɨ_ˈ	0.714
#>	ˈ_#>	0.706
o_̂	o_ˈ	0.7
n	n	0.688
m	m	0.684
s	s	0.667
j	-	0.636
t	t	0.63
ʒ	ʐ	0.625
o	a	0.6
eː_̌	æ	0.571
p	p	0.545
d	ʣʲ	0.533
uː_̂	u	0.5
uː_̂	o	0.5
iː	ɨ	0.5
iː	i	0.5
i	ɨ_ˈ	0.5
i	i_ˈ	0.5
aː_̂	a	0.5
a_̂	o	0.5
a_̂	a_ˈ	0.5
ʋ	v	0.471
z	z	0.471
p	pʲ	0.455
eː_̌	a	0.429
ʋ	vʲ	0.412
z	zʲ	0.412
o	o	0.4
d	d	0.4
a	a_ˈ	0.4
ʒ	ʐ̊	0.375
t	ʦʲ	0.37
j	e	0.364
s	sʲ	0.333
eː_̂	ˈ	0.333
m	mʲ	0.316
n	nʲ	0.312
o_̂	v_o	0.3
#>	ɨ_#>	0.294
ʦ	-	0.286
i_̂	i_ˈ	0.286
e	e_ˈ	0.278
e_̂	ˈ	0.273
uː	ʉ	0.25
aː_̂	ˈ	0.25
aː_̂	o	0.25
<#_j	<#	0.25
e	a	0.222
e	-	0.222
b	bʲ	0.222
a	a	0.2
a	-	0.18
r	a_r	0.176
l	lʲ	0.174
eː_̂	ɵ_ˈ	0.167
eː_̂	ɛ	0.167
eː_̂	æ	0.167
eː_̂	e_ˈ	0.167
e	e	0.167
o_#>	ɫ_#>	0.133
o_#>	#>	0.133
k	kʲ_i	0.125
k	-	0.125
ʋ	v_ɨ	0.118
z	z̥	0.118
e	æ	0.111
a	e	0.08
d	ʤ̥	0.067
a	o_ˈ	0.06
