Emilian	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ð	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ˈo	<#_ˈy	1.0
<#_θ	<#_s	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_r	e_r	1.0
b	β	1.0
b_j	β_l	1.0
d_#>	t_#>	1.0
d_i	ʤ_e	1.0
e_n	e	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
p	s	1.0
r_e_n	r_#>	1.0
s_#>	s_#>	1.0
s_e	j_s	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_e	t_ɾ	1.0
u_l	u_l	1.0
v_#>	w_#>	1.0
v_e	w_ɾ	1.0
w_ˈaː	ˈa	1.0
z_#>	ʦ_#>	1.0
ŋ_t	n_t	1.0
ŋ_t_#>	n_#>	1.0
ɡ_#>	k_#>	1.0
ɲ_#>	ɲ_ɔ	1.0
ʤ	ɡ_l	1.0
ˈa_ŋ	ˈa	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈaː_ɲ	ˈa_ɲ	1.0
ˈe_ŋ	ˈi	1.0
ˈi	ˈi	1.0
ˈiː_r_#>	ˈi_#>	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔː_r	ˈɔ_r	1.0
ˈɛ_#>	ˈa_t	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_r_#>	ˈa_#>	1.0
ˈɛ_ɡ	ˈa_ɣ	1.0
ˈɛː	ˈɛ	1.0
ˈʌ	ˈu	1.0
ˈʌ_ŋ_#>	ˈu_#>	1.0
ˈʌu̯	ˈu	1.0
θ	s	1.0
θ_#>	#>	1.0
<#	<#_e	0.571
u	a	0.231
ˈæ	ˈɛ	0.571
d	z	0.222
v	-	0.2
ʧ	ʎ	0.222
ˈuː	ɥ_ˈɔ	0.182
<#	<#_k	0.143
e_r	ˈi	0.333
j	-	0.133
j	ʎ	0.333
j	l	0.533
r_#>	#>	0.393
z	ɾ	0.333
ŋ	ŋ	0.353
ˈa	ˈe_j	0.143
ˈa	ˈe	0.333
ˈa	ˈa	0.333
ˈiː	ˈi	0.333
ˈiː	ˈe	0.333
ˈiː	ˈɛ	0.333
<#_ˈɔ	<#_ɥ	0.4
d_e	d_ɾ	0.4
e	e	0.714
i	i	0.714
r	ɾ	0.694
t	t	0.714
u	y	0.154
ŋ	-	0.294
ˈuː	ˈu	0.364
ˈɛ	ˈa_j	0.114
ˈɛ	j_ˈɛ	0.114
ˈɛ	ˈɛ	0.314
ˈɛ	ˈa	0.4
a	-	0.125
a	a	0.875
l	-	0.25
l	l	0.75
r	r	0.25
t_#>	t_#>	0.5
t_#>	ʧ_#>	0.5
u	u	0.615
ð	ʤ	0.5
ð	-	0.5
ŋ	n	0.235
ɡ	-	0.25
ɡ	ɣ	0.75
ɲ	n	0.5
ɲ	ɲ	0.5
ˈa_j	ˈɛ	0.25
ˈa_j	ˈe	0.75
ˈe	ˈe	0.25
ˈe	ˈi	0.75
ˈo	ˈu	0.455
ˈo	ˈy	0.545
ˈuː	ˈy	0.455
ˈɔ	ˈɔ	0.5
ˈɔ	ˈu	0.5
ˈɔː	ˈɔ	0.5
<#	<#_ˈa	0.286
<#_ˈɔ	<#_ˈɔ	0.6
d_e	ɾ	0.6
e	-	0.286
i	e	0.286
r	-	0.056
t	ð	0.286
e_r	ɾ_e	0.667
r_#>	e_#>	0.607
z	s	0.667
ˈɔː	ˈu	0.167
ˈɔː	ˈa_w	0.167
ˈɔː	w	0.167
ˈɛ	w	0.057
d	ð	0.778
v	β	0.8
ŋ	m	0.118
ʧ	l	0.778
ˈa	ˈɛ	0.19
ˈæ	ˈe	0.429
