Aragonese	Aragonese	probability
θ_#>	#>	1.0
ˈu	ˈu	1.0
ˈe_ɾ	i_r	1.0
ˈe_w	w_ə	1.0
ˈa_t	j	1.0
ʎ_o_#>	l_#>	1.0
ʃ	ʃ_t	1.0
ɾ_o	r_u	1.0
ɾ_n	r_n	1.0
ɲ	n	1.0
u_s	ˈo	1.0
u	u	1.0
s_#>	#>	1.0
p_o	p_u	1.0
p_j	k_e̯ˈa	1.0
o_s	i	1.0
o_#>	#>	1.0
n_o_#>	n_#>	1.0
n_#>	#>	1.0
m_b	m	1.0
l_o_#>	r_#>	1.0
l_a	ʎ_i	1.0
b_ɾ	i	1.0
b_w	b	1.0
b_j	j	1.0
b_e	j_i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	i_#>	0.922
k	k	0.906
p	p	0.889
ɾ	r	0.83
w_ˈe	ˈo	0.818
ɣ	k	0.8
m	m	0.778
t	t	0.762
n	n	0.76
θ	ʦ	0.75
ˈi	ˈi	0.739
o	u	0.71
a	ə	0.706
ˈe_n	ˈu_n	0.667
<#_a	<#_a	0.667
f	f	0.643
ɡ	-	0.625
s	s	0.625
ʎ	ʎ	0.615
ŋ	n	0.6
ð	t	0.6
<#	<#_a	0.6
d	d	0.583
l	l	0.55
ˈa	ˈa	0.535
β	-	0.5
ʧ	ʤ	0.5
ʧ	ʣ	0.5
ʝ	-	0.5
b	v	0.5
b	b	0.5
e	-	0.483
e	i	0.448
j_ˈe	ˈe	0.444
d	ʣ	0.417
ŋ	ŋ	0.4
<#	<#_m	0.4
ɡ	ɡ	0.375
f	ç	0.357
ˈe_n	n_t	0.333
r	r	0.333
r	a_r	0.333
r	a	0.333
j_ˈe	ˈa	0.333
i	ˈi	0.333
i	i	0.333
i	-	0.333
<#_a	<#	0.333
j	-	0.312
w	o̯ˈa	0.3
w	-	0.3
l	r	0.3
ˈo	ˈu	0.294
ˈo	ˈo	0.294
ˈo	o̯ˈa	0.294
ð	d	0.267
β	p	0.25
ʝ	j	0.25
ʝ	d	0.25
s	ʃ	0.25
ʎ	k_ʎ	0.231
ˈe	ˈe	0.224
ˈe	e̯ˈa	0.224
j_ˈe	ˈi	0.222
ˈa	ˈɨ	0.209
ɣ	ɡ	0.2
w	ˈu	0.2
w	ˈo	0.2
j	i	0.188
w_ˈe	ˈu	0.182
ˈe	ˈi	0.163
o	-	0.161
ʎ	-	0.154
l	ʎ	0.15
m	ɲ	0.148
t	-	0.143
a	-	0.137
ð	ʤ	0.133
ˈi	ˈu	0.13
ˈi	i	0.13
θ	ʧ	0.125
θ	-	0.125
β	r	0.125
β	b	0.125
j	ˈi	0.125
j	ˈa	0.125
j	l	0.125
j	j	0.125
ˈe	ˈa	0.122
ˈe	-	0.122
ˈo	ˈa_v	0.118
a	i	0.118
p	k	0.111
t	p_t	0.095
ɾ	-	0.094
k	ʦ	0.094
ˈa	-	0.093
ˈe	k	0.082
n	ɲ	0.08
n	r	0.08
n	-	0.08
#>	e_#>	0.078
m	-	0.074
ˈa	e̯ˈa	0.07
e	e̯ˈa	0.069
o	r	0.065
o	i	0.065
s	j	0.062
s	-	0.062
ˈe	w	0.061
