Neapolitan	Gallurese	probability
ˈɔ	ˈɔ	1.0
ˈi_ɾ	ˈe_r	1.0
ˈi_n	ˈe_n	1.0
ˈe_v	ˈi	1.0
ʧː	ʦː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤː	ɟː	1.0
ʤ_ˈi	ʤ	1.0
ʃ_ə	ʧ_i	1.0
ɾ_v	l_b	1.0
ɾ_n	rː	1.0
ɲː	ɲː	1.0
ɡ	ɡ	1.0
ə_ɾ	a_r	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
v_ə	i	1.0
v_j	v	1.0
u	u	1.0
tː	tː	1.0
sː	sː	1.0
rː	rː	1.0
o	u	1.0
m_j	m	1.0
m	m	1.0
lː	ɖː	1.0
l_ə	l_u	1.0
l	l	1.0
kː_j	cː	1.0
k_w	k	1.0
k_j	c	1.0
j_ˈɛ	ˈɛ	1.0
j_ə	j	1.0
fː	fː	1.0
f	f	1.0
dː	tː	1.0
d	d	1.0
bː	bː	1.0
b_w	b	1.0
b	b	1.0
a_t	a_t	1.0
a	a	1.0
p	p	0.992
ˈa	ˈa	0.98
n	n	0.967
s	s	0.885
k	k	0.843
ˈi	ˈi	0.808
i	i	0.798
t	t	0.793
ʃ	ʧ	0.764
e	i	0.725
mː	m	0.719
ˈu	ˈu	0.702
ɾ_ə	r_i	0.697
ˈo	ˈo	0.679
r	r	0.679
ʤ	-	0.65
nː	nː	0.648
kː	cː	0.636
ʎː	ɖː	0.629
ʦː	ʦː	0.614
ˈɛ	ˈɛ	0.604
w	l	0.587
j	j	0.584
ʃː	ʃː	0.54
v	v	0.533
ə	u	0.496
ˈe	ˈe	0.47
ʃː	ʧː	0.46
j	ɟː	0.416
w	-	0.413
ɾ	r	0.391
ʦː	ʣ	0.386
ʎː	-	0.371
kː	kː	0.364
nː	n_d	0.352
ˈe	ˈɛ	0.35
ʤ	ɟ	0.35
r	-	0.321
ə	a	0.312
ɾ	d	0.305
ɾ_ə	i	0.303
mː	mː	0.281
e	-	0.275
v	-	0.271
ˈu	ˈo	0.246
i	ˈi	0.202
ˈɛ	ˈe	0.2
v	b	0.196
ə	i	0.19
ˈe	ˈi	0.18
ˈo	ˈɔ	0.164
ʃ	s	0.16
ɾ	l	0.16
ˈo	-	0.157
ˈi	-	0.155
t	-	0.141
ˈɛ	ˈa	0.136
s	z	0.115
k	ɡ	0.106
ɾ	-	0.105
ʃ	f_j	0.077
t	d	0.066
ˈɛ	-	0.059
ˈu	ˈɔ	0.052
k	p	0.051
