Standard German	Standard German	probability
ˈɛː	-	1.0
ˈœ	-	1.0
ˈa_ɐ	ˈɑˀ	1.0
ʃ_l	s_l	1.0
ʁ_ə	ɐ	1.0
ɡ_n	ə	1.0
ɐ_ʦ	ɐ_d̥	1.0
ɐ_#>	#>	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z_ˈeː	ɕ	1.0
z	s	1.0
x_t	d̥	1.0
x_#>	j_#>	1.0
v_ˈɪ	ʋ	1.0
tʰ	d̥	1.0
t_n	ð̞ˠ_ə	1.0
s_t	s_d̥	1.0
s	ð̞ˠ	1.0
p͡f	pʰ	1.0
p	-	1.0
n_ə	n_ə	1.0
n_d̥	nˀ	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
eː	-	1.0
d̥_#>	#>	1.0
d̥	ð̞ˠ	1.0
b_n	w_ə	1.0
a	-	1.0
<#_ˈaʊ̯	<#_ˈʌ	1.0
<#_ˈaɪ̯	<#_ˈeˀ	1.0
<#_ˈa	<#	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	ə_#>	1.0
ʁ	ʁ	0.926
h	h	0.864
v	ʋ	0.857
b	b̥	0.833
f	f	0.826
l	l	0.73
ˈeː	-	0.7
ˈɔʏ̯	-	0.667
ˈyː	-	0.667
ˈoː	-	0.667
f_#>	b̥_#>	0.667
ˈuː	ˈoˀ	0.636
ʦ	ʦʰ	0.636
d	ʦʰ	0.632
ɡ	ɡ̊	0.619
ə	ə	0.605
ɡ̊	w	0.6
x	-	0.6
b̥	-	0.6
ɐ	ɐ	0.579
ˈɪ	ˈe	0.565
ʃ	s	0.542
ˈʏ	ˈœ	0.5
ˈʊ	-	0.5
ˈøː	ˈøː	0.5
ˈøː	-	0.5
ˈaː	-	0.5
ɪ	i	0.5
ɪ	-	0.5
ŋ	ŋˀ	0.5
ʃ	s_ɡ̊	0.458
ˈaʊ̯	ˈuˀ	0.438
ˈaʊ̯	-	0.438
ɡ̊	ˈɑˀ_j	0.4
x	w	0.4
t	ð̞ˠ	0.4
b̥	w	0.4
n	n	0.393
ʦ	d̥	0.364
ç	j	0.364
ç	-	0.364
ˈʊ	ˈɔ	0.357
ˈɔ	ˈu	0.357
ˈɛ	-	0.35
ə	-	0.342
ˈʏ	ˈø	0.333
ˈɔʏ̯	ˈyˀ	0.333
ˈyː	ˈœˀ	0.333
ˈoː	ˈœˀ	0.333
f_#>	#>	0.333
d	-	0.316
ˈiː	ˈyˀ	0.312
ˈiː	-	0.312
ˈa	ˈa	0.31
ˈaɪ̯	ˈiˀ	0.304
n	ə	0.304
ˈɛ	ˈɛ	0.3
ˈeː	ˈeˀ	0.3
ŋ	ŋ	0.3
ˈɔ	ˈo	0.286
ç	ɡ̊	0.273
l	lˀ	0.27
t	d̥	0.267
t	-	0.267
ˈɪ	-	0.261
ˈaɪ̯	ˈeˀ	0.261
ˈiː	ˈyː	0.25
ˈaː	ˈɔˀ	0.25
ɐ	ɐˀ	0.237
ˈaɪ̯	-	0.217
ˈɔ	-	0.214
ˈa	ˈɛ	0.207
ˈɛ	ˈe	0.2
ˈaː	ˈa	0.2
ŋ	-	0.2
ɡ	-	0.19
ˈuː	ˈøː	0.182
ˈuː	-	0.182
f	b̥	0.174
ˈa	ˈɑ	0.172
ˈʏ	ˈɶˀ	0.167
ˈʊ	ˈu	0.143
ˈɔ	ˈʌ	0.143
v	-	0.143
h	j	0.136
ɐ	ʌ	0.132
ˈaɪ̯	ˈiː	0.13
ˈiː	ˈiˀ	0.125
ˈaʊ̯	ˈœˀ	0.125
n	nˀ	0.125
ˈa	ˈʌ	0.103
ˈa	-	0.103
ˈɛ	j	0.1
ɡ	w	0.095
ɡ	jˀ	0.095
ˈɪ	ˈɑ	0.087
ˈɪ	ˈi	0.087
ˈaɪ̯	ˈɛˀ	0.087
b	w	0.083
b	-	0.083
ʁ	-	0.074
n	n_ə	0.071
ˈa	ˈɔˀ	0.069
t	s	0.067
n	ˈiˀ	0.054
n	-	0.054
ə	ɐ	0.053
ɐ	-	0.053
d	ʨ	0.053
