Saterland Frisian	Palatine German	probability
ˈɛɪ̯_n	ˈĩː	1.0
ˈɔːɪ̯	ˈɑːɪ̯	1.0
ˈɔː_r	ɐ	1.0
ˈœː	ˈeː	1.0
ˈøː	ˈau̯	1.0
ˈyː	-	1.0
ˈuː_n	ˈõː	1.0
ˈu	-	1.0
ˈoː_ɣ	j	1.0
ˈoː_l	ˈɑ_l	1.0
ˈoː_f	b̥	1.0
ˈiːu̯	ˈɛ	1.0
ˈiː_r	ˈoː_ɐ	1.0
ˈeːu̯	ˈɛ	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɑː_ɣ̊	1.0
ɣ_ə	ɣ̊	1.0
ɣ	ɡ̊	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
z_ə	s	1.0
w	β	1.0
t_ə	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
p_ə	f	1.0
n_d	n	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
k_ˈeː	ˈẽː	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈiː	1.0
j_ə	ə	1.0
i	eː	1.0
h	h	1.0
f	f	1.0
d_ˈoː	d̥_ˈoː	1.0
d_r	d̥_r	1.0
b	b̥	1.0
a	-	1.0
v	β	0.907
ˈɪ	ˈɪ	0.87
n	n	0.819
d	d̥	0.807
k	ɡ̊	0.735
ˈa	ˈɛ	0.61
ˈɔː	ˈɑ	0.603
ɪ	ɪ	0.6
ə	ə	0.587
d_ə	ɐ	0.582
ˈʊ	ˈu	0.58
p	f	0.529
ˈoː	ˈɑː	0.517
j	ˈiː	0.5
r	ɐ	0.495
ˈi	ˈaɪ̯	0.492
s	s	0.475
p	b̥	0.471
s	ʃ	0.47
ˈɛ	ˈɛ	0.449
r	r	0.443
ˈeː	ˈɛː	0.441
d_ə	ə	0.418
ˈɔ	-	0.417
ˈiː	ˈɪ	0.411
ˈeː	ˈeː	0.408
x	ʃ	0.402
ɪ	-	0.4
j	ɡ̊	0.392
ˈa	ˈɑ	0.39
ˈaː	ˈɑ	0.378
ˈaː	ˈɛː	0.37
ˈɛː	-	0.363
ˈuː	ˈau̯	0.357
ˈɔ	ˈɑ	0.354
t	d̥	0.353
ˈɛː	ˈɪ	0.349
ˈuː	ˈu	0.347
ə	-	0.334
t	s	0.323
ˈoːu̯	ˈɑ	0.301
ˈi	ˈiː	0.296
ˈoːu̯	ˈuː	0.295
x	x	0.291
ˈɛː	ˈɛ	0.287
ˈʊ	ˈɔ	0.285
ˈɛ	-	0.277
t	ʣ̥	0.273
k	x	0.265
ˈoːu̯	ˈɔ	0.254
ˈoː	ˈoː	0.253
ˈaː	-	0.252
ˈɛɪ̯	ˈoː	0.232
ˈɔ	ˈɔ	0.228
ˈiː	ˈɛ	0.224
ˈɛɪ̯	ˈiː	0.218
ˈɔː	ˈɛ	0.212
ˈi	-	0.211
ˈiː	ˈiː	0.209
ˈɛɪ̯	-	0.193
ˈɔː	-	0.185
ˈɛ	ˈaɪ̯	0.184
n	-	0.181
ˈiː	ˈaɪ̯	0.156
ˈeː	ˈɛ	0.151
ˈoːu̯	ˈoː	0.15
ˈɛɪ̯	ˈɛː	0.145
ˈɛɪ̯	ˈuː	0.145
x	ɡ̊	0.143
ˈʊ	ˈɛ	0.136
ˈɪ	-	0.13
ˈuː	ˈuː	0.118
ˈoː	ˈeː	0.118
x	-	0.117
ˈoː	ˈɛː	0.112
d	r	0.11
j	ˈi	0.108
ˈuː	ˈoː	0.103
v	-	0.093
ˈɛ	ˈo	0.089
d	ˈɑː_d̥	0.083
ə	ɐ	0.079
ˈuː	ˈaɪ̯	0.075
ˈɛɪ̯	ˈau̯̯	0.068
r	r_ɐ	0.062
s	kʰ	0.055
t	ɐ_ʣ̥	0.051
