Gothic	Middle High German	probability
θ_u	d̥	1.0
θ_s	t	1.0
β	b	1.0
ˈɛː_w	ˈeː	1.0
ˈɛː	ˈei̯	1.0
ˈɛ	ˈɛ	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈi_l	ˈɛ_l	1.0
ˈeː	ˈɑː	1.0
ʍ	w	1.0
ɣ	ɡ	1.0
ɡʷː	ˈyː	1.0
ɡʷ	ɡ	1.0
ɡ_s	ɡ̊	1.0
ɔː	ə	1.0
ŋ	ŋ	1.0
ð_j	tː	1.0
ð	t	1.0
z	-	1.0
x	ɡ̊	1.0
w	w	1.0
t_s	s̻	1.0
s_k	ʃ	1.0
r_n	r_n	1.0
r	r	1.0
oː	oː	1.0
m	m	1.0
lː	lː	1.0
l_s	ə_l	1.0
l	l	1.0
k_s	ʃː	1.0
k_j	xː	1.0
i	-	1.0
h_s	x	1.0
f_s	b̥	1.0
e	ə	1.0
d_u	d̥	1.0
d_s	d̥	1.0
d	t	1.0
aː	ə	1.0
a_x	i	1.0
a	ə	0.98
n	n	0.949
ˈoː	ˈuə̯	0.904
b	b	0.883
ˈa	ˈɑ	0.811
ɡ	ɡ	0.804
p	f	0.781
h	h	0.739
ˈi	ˈi	0.719
j	-	0.713
f	v	0.712
u	ə	0.706
ˈu	ˈu	0.611
ˈiu̯	ˈiə̯	0.611
θ	d	0.603
iː	ə	0.6
s_t	s_t	0.573
nː	-	0.559
ˈɔ	ˈo	0.452
k	xː	0.444
nː	nː	0.441
s_t	ʃ_t	0.427
iː	-	0.4
ˈiu̯	ˈyː	0.389
k	x	0.363
ˈɔː	ˈoː	0.322
ˈɔ	ˈu	0.301
s	r	0.297
u	-	0.294
f	f	0.288
j	j	0.287
t	s̻ː	0.267
h	x	0.261
t	t	0.256
ˈu	ˈo	0.243
θ	d̥	0.233
ˈɔː	ˈøː	0.219
ˈɔː	-	0.219
s	ʃ	0.219
p	p͡f	0.219
t	ʦ	0.206
ɡ	-	0.196
s	s	0.195
k	k	0.193
ˈa	ˈe	0.189
t	s̻	0.17
ˈɔː	ˈou̯	0.167
ˈɔ	ˈoː	0.166
θ	t	0.164
ˈu	-	0.146
ˈi	ˈɛ	0.143
ˈi	-	0.138
s	-	0.126
b	b̥	0.117
t	ʦː	0.101
ˈoː	ˈyə̯	0.096
ˈɔ	ˈøy̯	0.08
ˈɔː	ou̯	0.073
s	ˈi	0.064
s	ɡ̊	0.053
