West Frisian	Old Norse	probability
b	b	0.927
d	d	0.486
d	ð	0.333
d	θ	0.181
f	f	0.777
f	v	0.112
h	h	0.863
h	ç	0.128
j	-	0.56
j	j	0.252
j	l̥	0.06
k	k	0.412
k	c	0.254
k	kʰ	0.196
k	kː	0.063
l	l	0.81
l	lː	0.11
l	-	0.075
m	m	0.865
m	-	0.109
n	n	0.634
n	-	0.176
n	nː	0.143
p	p	0.767
p	v	0.146
p	-	0.063
r	r	0.826
r	ð_r	0.053
s	s	0.891
s	sː	0.062
t	t	0.49
t	ð	0.186
t	θ	0.097
t	tʰ	0.088
t	-	0.064
v	v	0.807
v	x	0.109
v	-	0.084
z	s	0.689
z	r	0.156
z	ʝː	0.156
ŋ	ŋ	0.996
ɕ	s	1.0
ə	ɑ	0.377
ə	-	0.293
ə	i	0.13
ə	a	0.103
ə	u	0.055
ɡ	ɡ	0.667
ɡ	ɟ	0.333
ɣ	ɟː	0.362
ɣ	ɡ	0.212
ɣ	ɟ	0.192
ɣ	ɡː	0.175
ɪ	u	0.543
ɪ	ɑː	0.216
ɪ	ɑ	0.145
ɪ	i	0.096
ʋ	v	0.682
ʋ	w	0.131
ʋ	ˈo	0.07
ʋ	ˈyː	0.068
ʦ	θ	0.854
ʦ	tʰ	0.146
ˈa	ˈɑ	0.592
ˈa	ˈe	0.121
ˈa	ˈɑː	0.105
ˈa	ˈa	0.088
ˈaː	ˈɑ	0.327
ˈaː	ˈe	0.257
ˈaː	ˈɑː	0.135
ˈaː	ˈɛ	0.11
ˈaː	ˈɛi̯	0.079
ˈaː	ˈɔ	0.056
ˈeː	j	0.505
ˈeː	ˈo	0.26
ˈeː	ˈɑː	0.11
ˈeː	ˈi	0.068
ˈi	ˈiː	0.412
ˈi	ˈi	0.17
ˈi	ˈeː	0.136
ˈi	ˈɔ	0.106
ˈi	ˈɛi̯	0.075
ˈi	ˈøː	0.068
ˈiə̯	ˈɛi̯	0.298
ˈiə̯	ˈɑː	0.201
ˈiə̯	ˈøː	0.124
ˈiə̯	ˈoː	0.093
ˈiə̯	ˈyː	0.081
ˈiə̯	u	0.057
ˈiː	ˈi	0.483
ˈiː	ˈiː	0.277
ˈiː	ˈɔ	0.109
ˈiː	ˈɛi̯	0.074
ˈiː	ˈuː	0.058
ˈoə̯	ˈo	0.496
ˈoə̯	ˈɑː	0.215
ˈoə̯	ˈy	0.174
ˈoə̯	ɑ	0.072
ˈoː	ˈuː	0.542
ˈoː	ˈɔː	0.289
ˈoː	ˈyː	0.169
ˈu	ˈu	0.977
ˈuə̯	ˈoː	0.453
ˈuə̯	-	0.188
ˈuə̯	ˈuː	0.123
ˈuə̯	ˈo	0.103
ˈuː	ˈuː	0.387
ˈuː	ˈu	0.383
ˈuː	ˈiː	0.135
ˈuː	ˈo	0.095
ˈy	ˈu	0.93
ˈy	ˈy	0.07
ˈyː	ˈo	0.355
ˈyː	ˈuː	0.355
ˈyː	ˈyː	0.29
ˈø	ˈy	0.478
ˈø	ˈe	0.261
ˈø	ˈɑː	0.261
ˈøə̯	ˈɛ	1.0
ˈɔ	ˈu	0.325
ˈɔ	ˈy	0.253
ˈɔ	ˈo	0.147
ˈɔ	ˈeː	0.1
ˈɔ	ˈoː	0.074
ˈɔ	ˈɔ	0.051
ˈɔu̯	ˈoː	0.552
ˈɔu̯	lː	0.448
ˈɔː	ˈɑ	0.453
ˈɔː	ˈɔ	0.325
ˈɔː	ˈɑu̯	0.113
ˈɔː	ˈa	0.109
ˈɛ	ˈɑ	0.5
ˈɛ	ˈyː	0.159
ˈɛ	ˈiː	0.135
ˈɛ	ˈe	0.095
ˈɛ	ˈɑu̯	0.061
ˈɛ	ˈɛ	0.051
ˈɛi̯	ˈe	0.584
ˈɛi̯	ˈɛi̯	0.173
ˈɛi̯	ˈɑ	0.169
ˈɛi̯	ˈu	0.074
ˈɛː	ˈɑ	0.671
ˈɛː	ˈy	0.219
ˈɛː	r_ˈɑ	0.109
ˈɪ	ˈi	0.308
ˈɪ	ˈeː	0.234
ˈɪ	ˈu	0.135
ˈɪ	-	0.079
ˈɪ	ˈøː	0.057
ˈɪə̯	j	0.26
ˈɪə̯	ˈɑ	0.236
ˈɪə̯	ˈɑu̯	0.161
ˈɪə̯	ˈøy̯	0.151
ˈɪə̯	ˈoː	0.073
ˈɵ	ˈøː	1.0
χ	tː	0.459
χ	ɣ	0.32
χ	-	0.096
χ	rː	0.051
