Swedish	Afrikaans	probability
b	b	1.0
jː	ˈɛː	1.0
mː	m	1.0
p	p	1.0
pʰ	p	1.0
pː	p	1.0
rː	r	1.0
sː	s	1.0
t	t	1.0
ŋː	ŋ	1.0
ɔ	i	1.0
ɧ	s	1.0
ɳ	r	1.0
ɳː	r	1.0
ʂ	r	1.0
ʈ	s	1.0
ʈː	r_t	1.0
a	-	0.351
kʰ	k	0.931
lː	ɫ	0.671
nː	ˈœu̯	0.151
tː	t	0.751
v	w	0.11
ɡ	k	0.061
ˈa	ˈa	0.811
ˈoː	ˈɪø̯	0.191
ˈoː	ˈɑː	0.561
ˈuː	ˈɑː	0.101
ˈøː	ˈɛ	0.121
ˈœ	-	0.1
ˈœː	ˈʊə̯	0.491
ˈʊ	ˈœ	0.11
tʰ	d	0.592
ŋ	ˈʊə̯	0.062
ŋ	ɡ̊	0.132
ɕ	d	0.142
ɛ	ə	0.792
ɪ	ə	0.722
ˈyː	ˈyː	0.562
ˈøː	ˈʊə̯	0.302
ˈɔ	ˈɔ	0.62
ˈɛː	ˈʊə̯	0.072
ˈɵ	ˈɔ	0.462
d	d̥	0.473
j	ˈæ	0.13
l	ɫ	0.93
tʰ	b	0.063
v	v̥	0.073
ɕ	w	0.063
ɡ	χ	0.843
ɡː	χ	0.623
ɵ	-	0.253
ʊ	-	0.33
ˈa	ˈœu̯	0.053
ˈoː	ˈʊə̯	0.093
ˈæː	ˈæː	0.113
ˈæː	ˈɛ	0.223
ˈɑː	-	0.123
ˈɛ	ˈə	0.053
ˈɵ	v_ˈɔ	0.133
ˈʏ	ˈæ	0.163
kː	k	0.54
m	-	0.084
r	-	0.074
s	s	0.994
ɖ	d	0.244
ʊ	ə	0.334
ˈeː	ˈɪə̯	0.584
ˈiː	ˈə	0.064
ˈuː	ˈu	0.674
ˈɔ	ˈʊə̯	0.164
ˈɛ	ˈæ	0.084
ˈɛ	-	0.094
ˈʏ	ˈœɪ̯	0.104
k	χ	0.085
tʰ	t	0.345
ˈiː	ˈəɪ̯	0.875
ˈoː	ˈa	0.105
ˈuː	ˈʊə̯	0.225
ˈæ	ˈæ	0.205
ˈæ	ˈa	0.795
ˈɛː	ˈəɪ̯	0.155
ˈɪ	ˈɛ	0.065
ˈʉː	ˈɪə̯	0.075
ˈʉː	ˈœɪ̯	0.25
ˈʏ	ˈœ	0.585
d	d	0.326
f	v	0.076
kː	ŋ_k	0.46
m	m	0.916
ŋ	-	0.36
ŋ	ŋ	0.446
ɕ	k	0.796
ɖ	r_d̥	0.756
ɡ	-	0.096
ʊ	n	0.336
ˈæː	ˈi	0.426
ˈøː	w	0.056
ˈøː	ˈu	0.306
ˈɑː	ˈɔː	0.056
ˈɔ	ˈa	0.106
ˈɛ	ˈæː	0.06
ˈɛ	ˈa	0.206
ˈɛ	ˈɪə̯	0.226
ˈɛː	ˈɪə̯	0.396
ˈɪ	r	0.116
a	j	0.57
k	k	0.827
l	-	0.07
n	-	0.057
v	v	0.567
ɡː	-	0.377
ɵ	ə	0.747
ˈæː	ˈɑː	0.237
ˈœ	ˈʊə̯	0.497
ˈɑː	ˈa	0.17
ˈɛ	ˈəɪ̯	0.077
ˈɪ	ˈə	0.757
ˈʉː	ˈi	0.467
d	-	0.18
h	ɦ	0.978
k	-	0.088
ɛ	-	0.208
ɪ	-	0.278
ˈa	ˈɑː	0.088
ˈeː	ˈə	0.068
ˈeː	ˈi	0.118
ˈyː	ˈi	0.438
ˈøː	ˈɪə̯	0.108
ˈɛ	ˈɛ	0.128
ˈɛː	ˈi	0.138
ˈɵ	ˈœ	0.068
ˈɵ	-	0.08
ˈɵ	ˈə	0.08
ˈɵ	ˈʊə̯	0.08
ˈʏ	ˈœu̯	0.148
a	ə	0.079
f	f	0.909
j	-	0.329
j	χ	0.499
kʰ	-	0.069
lː	d̥	0.329
n	n	0.919
nː	n	0.849
r	r	0.909
tː	χ	0.249
v	f	0.219
ˈeː	ˈəɪ̯	0.199
ˈøː	ˈoːɪ̯	0.059
ˈœ	ˈɪ	0.079
ˈœ	ˈœɪ̯	0.079
ˈœ	ˈu	0.079
ˈœ	ˈɔ	0.119
ˈœː	ˈə	0.509
ˈɑː	ˈɑː	0.619
ˈɛː	ˈæ	0.09
ˈɛː	ˈɪø̯	0.099
ˈɵ	ˈœɪ̯	0.079
ˈʊ	ˈɔ	0.89
