Swedish	East Low German	probability
ˈʏ_ɡː	ˈʏ_ç	1.0
ˈʏ	ˈyː	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɔ	ˈɔ	1.0
ˈæː	ˈiː	1.0
ˈyː_r	ˈyː_æ	1.0
ˈyː	ˈiː	1.0
ˈoː_#>	ˈɒː_n_#>	1.0
ˈiː	ˈiː	1.0
ˈa_r	ˈaː	1.0
ʊ	n	1.0
ʈː	t	1.0
ɡː	-	1.0
ɡ_a	ŋ	1.0
ɡ	ɡ	1.0
ɕ	kʰ	1.0
ŋː_ɛ	ŋ	1.0
ŋː_#>	ŋ_#>	1.0
ŋ	ɪ_ç	1.0
v_a_#>	m_#>	1.0
v_#>	f_#>	1.0
tː_#>	t_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈɛ	r_ˈʏ	1.0
r_a	æ	1.0
r_#>	æ_#>	1.0
pː_#>	p_#>	1.0
p_#>	p_#>	1.0
p	p	1.0
nː_#>	n_#>	1.0
n_d	n	1.0
n_#>	n_#>	1.0
mː_a	m	1.0
mː	-	1.0
m_#>	m_#>	1.0
lː_#>	l_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
a_#>	n_#>	1.0
<#_ˈɵ	<#_v_ˈʊ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɕ	<#_d	1.0
<#_v	<#_v	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ɛ	-	0.875
ˈa	ˈa	0.857
<#_j	<#	0.818
ˈuː	ˈaʊ̯	0.8
<#_ɡ	<#_ɡ	0.778
n	n	0.737
a	-	0.733
ˈeː	ˈae̯	0.692
ɡ_#>	ç_#>	0.667
r	r	0.667
ˈoː	ˈɒː	0.636
kː	-	0.6
k	-	0.6
d	-	0.6
<#_ˈɛ	<#	0.6
<#_tʰ	<#_d	0.6
ˈʉː	ˈuː	0.588
d_#>	d_#>	0.545
<#_ɧ	<#_ʃ	0.545
<#_s	<#_z	0.519
ˈœ	ˈɔʏ̯	0.5
ˈœ	ˈɔ	0.5
ɳ	æ_n	0.5
ɳ	æ	0.5
v	w	0.5
v	-	0.5
tː	t	0.5
nː	n	0.5
nː	-	0.5
j	ˈɛ	0.5
j	-	0.5
<#	v_<#	0.5
<#	<#_j	0.5
<#_s	<#_ʃ	0.481
ˈɵ	ˈʊ	0.455
ˈɑː	ˈa	0.455
d_#>	t_#>	0.455
<#_ɧ	<#_z	0.455
ˈʉː	ˈae̯	0.412
#>	ç_#>	0.412
kː	ŋ_k	0.4
k	k	0.4
d	d	0.4
<#_ˈɛ	<#_ˈae̯	0.4
<#_tʰ	<#_tʰ	0.4
ˈøː	ˈaʊ̯	0.375
ˈɑː	ˈɒː	0.364
ˈɛ	ˈɛ	0.357
ɡ_#>	x_#>	0.333
ˈøː	ˈɔʏ̯	0.312
#>	m_#>	0.294
#>	k_#>	0.294
a	ŋ	0.267
tː	x_t	0.25
tː	-	0.25
<#_ɡ	<#_j	0.222
ˈɛ	ˈɪ	0.214
ˈuː	ˈaʊ̯_ɾ	0.2
r	æ	0.19
ˈøː	ˈoː	0.188
ˈɵ	ˈʏ	0.182
ˈɵ	ˈuː	0.182
ˈɵ	-	0.182
ˈɑː	ˈaː	0.182
ˈoː	ˈoː	0.182
ˈoː	ˈaʊ̯	0.182
<#_j	<#_l	0.182
n	-	0.158
ˈeː	ˈɪ	0.154
ˈeː	n	0.154
ˈɛ	ˈɛː	0.143
ˈɛ	ˈae̯	0.143
ˈɛ	-	0.143
ˈa	ˈɒː	0.143
r	-	0.143
ˈøː	ˈœː	0.125
ɛ	ɾ	0.125
n	æ	0.105
