Nynorsk Norwegian	Bavarian	probability
b	b̥	1.0
d	d̥	0.752
d	t	0.191
d	d	0.053
e	-	0.736
e	a	0.095
e	ˈau̯	0.095
e	ɪ	0.044
e	ə	0.039
e_ɾ	a	1.0
f	f	1.0
h	h	0.94
h	-	0.061
j	-	0.32
j	ɡ̊	0.295
j	ˈe	0.218
j	d̥	0.125
k	x	0.514
k	ç	0.324
k	ɡ̊	0.125
kʰ	kʰ	0.743
kʰ	f	0.163
kʰ	-	0.076
kʰ_ʋ	ʋ	1.0
l	l	0.56
l	j	0.405
l	-	0.035
lː	j	0.686
lː	a	0.147
lː	i	0.094
m	m	0.947
m	f	0.055
m_j	m	1.0
n	n	0.592
n	-	0.222
n	a	0.109
n	r	0.046
n	d̥	0.037
nː	n	0.465
nː	n_d̥	0.277
nː	-	0.118
nː	l	0.065
nː	r	0.062
p	f	0.889
p	p͡f	0.065
s	s	0.621
s	ʃ	0.35
s	-	0.035
s_k	ʃ	1.0
sː	s	0.486
t	s	0.631
t	t	0.194
t	ʦ	0.163
tʰ	d̥	0.367
tʰ	ʦ	0.359
tʰ	ʦ_ʋ	0.231
tʰ	b̥	0.037
v	ʋ	1.0
ç	ç	0.232
ç	d̥	0.232
ç	kʰ	0.232
ç	t	0.14
ç	k	0.09
çː	ʦ	0.486
ŋ	i	0.486
ŋː	ŋ	1.0
ɑ	n	0.453
ɑ	-	0.239
ɑ	a	0.15
ɑ	d̥_n	0.07
ɑ	ŋ	0.04
ə	a	0.179
ə	ə	0.087
ɛ	-	0.574
ɛ	a	0.279
ɡ	ɡ̊	0.78
ɡ	ŋ	0.106
ɡ	x	0.054
ɡ	ç	0.05
ɡː	ɡ̊	0.776
ɡː	-	0.118
ɲ	ŋ	0.236
ɾ	r	0.477
ɾ	ɐ	0.218
ɾ	-	0.127
ɾ	d̥_a	0.092
ɾ	a	0.065
ɾ_e	a	0.486
ʃ	ʃ	0.663
ʃ	s	0.12
ʃ	m	0.09
ʉ	-	1.0
ʋ	ʋ	0.305
ʋ	-	0.296
ʋ	f	0.236
ʋ	p	0.06
ʋ	p͡f	0.051
ʰkː	k	0.66
ʰkː	ŋ	0.156
ʰtː	x_t	1.0
ˈeː	ˈɛ	0.267
ˈeː	ˈeː	0.233
ˈeː	ˈi	0.179
ˈeː	ˈai̯	0.11
ˈeː	ˈiɐ̯	0.077
ˈeː_ɡ	ˈi	1.0
ˈiː	ˈai̯	0.498
ˈiː	ˈi	0.253
ˈiː	ˈai̯_t	0.068
ˈiː	ˈoɐ̯	0.066
ˈiː	ˈeː	0.043
ˈoː	ˈɔ	0.52
ˈoː	ˈaː	0.168
ˈoː	ˈoɐ̯	0.117
ˈoː	ˈy	0.078
ˈoː	ˈɒː	0.056
ˈuː	ˈuɐ̯	0.566
ˈuː	-	0.174
ˈuː	ˈoɐ̯	0.151
ˈuː	ˈeɐ̯	0.1
ˈyː	ˈai̯	0.654
ˈyː	ˈiː	0.143
ˈyː	ˈiɐ̯	0.125
ˈæ	ˈɛ	0.486
ˈæɪ̯	ˈoɐ̯	0.775
ˈæɪ̯	ˈo	0.092
ˈæɪ̯	ˈai̯	0.078
ˈæʉ̯	ˈou̯	0.279
ˈæʉ̯	ˈaː	0.243
ˈæʉ̯	ˈau̯	0.184
ˈæʉ̯	ˈa	0.118
ˈæʉ̯	ˈoɐ̯	0.118
ˈæːɪ̯	ˈoɐ̯	1.0
ˈøː	ˈiɐ̯	0.267
ˈøː	ˈeː	0.202
ˈøː	ˈɛː	0.167
ˈøː	ˈe	0.109
ˈøː	ˈeɐ̯	0.103
ˈœ	ˈu	0.574
ˈœ	ˈɛ	0.279
ˈœʏ̯	ˈaː	0.488
ˈœʏ̯	ˈe	0.133
ˈœʏ̯	ˈoɐ̯	0.133
ˈɑ	ˈa	0.232
ˈɑ	ˈo	0.187
ˈɑ	ˈɔ	0.13
ˈɑ	ˈoɐ̯	0.13
ˈɑ	ˈɒ	0.099
ˈɑː	ˈoː	0.489
ˈɑː	ˈɒ	0.162
ˈɑː	ˈa	0.162
ˈɑː	ˈo	0.107
ˈɑː	ˈɒː	0.06
ˈɔ	ˈu	0.398
ˈɔ	ˈɒ	0.169
ˈɔ	ˈɔ	0.13
ˈɔ	ˈoː	0.114
ˈɔ	ˈɛ	0.114
ˈɛ	ˈe	0.257
ˈɛ	ˈɛ	0.19
ˈɛ	ˈai̯	0.165
ˈɛ	ˈɒ	0.109
ˈɛ	ˈeː	0.082
ˈɛː	ˈe	0.5
ˈɛː	ˈɛ	0.5
ˈɪ	ˈi	0.761
ˈɪ	ˈiː	0.152
ˈɪ	-	0.07
ˈʉ	ˈo	0.71
ˈʉ	ˈoː	0.094
ˈʉ	ˈau̯	0.094
ˈʉː	ˈau̯	0.438
ˈʉː	ˈe	0.176
ˈʉː	ˈiɐ̯	0.101
ˈʉː	ˈɔ	0.076
ˈʉː	ˈuɐ̯	0.074
ˈʊ	ˈu	0.74
ˈʊ	ˈi	0.191
ˈʊ_ɾ	ˈoɐ̯	1.0
ˈʏ	ˈu	0.338
ˈʏ	ˈi	0.287
ˈʏ	ˈai̯	0.122
ˈʏ	ʋ	0.09
ˈʏ	ˈʏ	0.066
