Romagnol	Logudorese	probability
ˈɛ̃	ˈɛ	1.0
ˈɛ_ð	ˈɛ_ɣ	1.0
ˈɔə̯_v	ˈo_u	1.0
ˈou̯_n	ˈu_n	1.0
ˈe	ˈi	1.0
ˈa	ˈa	1.0
ʤ	-	1.0
ɐ_r	ɾ	1.0
ɐ_m	a_m	1.0
ŋ	m	1.0
w	t_ˈu	1.0
v_ɐ	ɛ	1.0
p	p	1.0
o	u_z	1.0
n_ɐ	n_a	1.0
m_b	m	1.0
k_v	b	1.0
k	k	1.0
j̃	n_ɛ	1.0
f	f	1.0
e	e	1.0
d_ɐ	ð_a	1.0
a	a	1.0
s	s	0.966
ˈʌ̃	ˈa	0.848
m	m	0.807
b	b	0.804
r	ɾ	0.792
t	t	0.789
ɲ	n_ʣ	0.762
ˈu	ˈu	0.756
ˈo	ˈu	0.71
n	n	0.705
l_ɐ	l_a	0.703
θ	k	0.691
ˈẽ	ˈi	0.663
ð	-	0.652
ɐ	a	0.64
ʧ	j_u	0.631
ˈɛə̯	ˈe	0.63
i	i	0.63
ˈeə̯	ˈa	0.626
ˈɔ	ˈɔ	0.575
ˈeː	ˈɛ	0.567
ˈɔə̯	ˈɔ	0.561
v	b	0.548
l	l	0.546
ˈɛ	ˈi	0.542
ˈõũ̯	ˈɔ_n	0.538
ˈou̯	ˈɔ	0.514
d	d	0.492
ˈi	ˈi	0.469
u	o	0.446
z	-	0.437
ˈou̯	ˈu	0.421
j	j	0.403
z	ɣ_ɛ	0.374
ˈɛə̯	ˈɛ	0.37
ʧ	k_ɾ	0.369
ɡ	ɣ_u	0.353
ð	ɡ	0.348
ˈẽ	ˈɛ	0.337
ˈeə̯	ˈa_ɾ	0.327
d	ð	0.319
ˈeː	ˈi	0.298
l_ɐ	a	0.297
ˈo	ˈɔ	0.29
u	ɔ	0.289
l	ɖː	0.287
ˈɔə̯	ˈo	0.277
ˈɛ	ˈe	0.266
ˈɔ	ˈu	0.255
ˈu	ˈo	0.244
ɲ	ɲ	0.238
ɡ	b	0.236
ˈõũ̯	ˈo_n	0.235
ˈõũ̯	n	0.227
ɐ	ɛ	0.227
ˈi	ɾ	0.224
v	β	0.22
θ	t_u	0.215
n	nː	0.213
ɡ	ɣ	0.205
ɡ	-	0.205
j	ʣ_u	0.196
b	-	0.196
m	m_i	0.193
ˈi	ˈɛ	0.19
i	ɔ̆	0.19
z	ɣ	0.188
d	-	0.188
t	ð	0.186
i	-	0.181
j	-	0.18
ˈɔ	ˈo	0.17
l	-	0.167
ˈɔə̯	u	0.162
j	ɾ	0.156
u	ˈɔ	0.154
ˈʌ̃	ˈa_n	0.152
ˈɛ	ˈɛ	0.149
r	r	0.144
ˈeː	ˈi_ɛ	0.135
ˈi	ˈi_ɾ	0.118
v	ɛ	0.117
v	-	0.115
u	-	0.111
θ	ʦ	0.094
n	ŋ	0.082
ɐ	e	0.07
j	ˈi	0.066
ˈou̯	ˈo	0.065
r	ɛ_ɾ	0.063
ɐ	u	0.062
