Westphalian	Westphalian	probability
ˈɪə̯	ˈɪə̯	1.0
ˈɛː	-	1.0
ˈɔ_l	ˈœu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɑː	1.0
ˈœː	ˈʊə̯	1.0
ˈyːœ̯	ˈʊə̯	1.0
ˈyə̯	ˈa	1.0
ˈuə̯	-	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈiː	ˈəɪ̯	1.0
ˈiɛ̯	-	1.0
ɪ	ə	1.0
ɣ	χ	1.0
ɡ_l	ɫ	1.0
ɡ	χ	1.0
ə	-	1.0
ç	χ	1.0
z̥	s	1.0
z	s	1.0
x	χ	1.0
v̥	v̥	1.0
v_ə_#>	v̥_#>	1.0
v_#>	v̥_#>	1.0
s_t	r_s	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
j	-	1.0
h	ɦ	1.0
f	v̥	1.0
d_n	d̥	1.0
b	b	1.0
aɪ̯	i	1.0
<#_r	<#_r	1.0
#>	χ_#>	1.0
t	t	0.927
v	v	0.909
d	d	0.903
s	s	0.895
ˈa	ˈa	0.893
ˈɪ	ˈə	0.875
ˈaɪ̯	ˈi	0.867
d̥	d̥	0.862
ˈɔː	ˈɑː	0.857
ŋ	ŋ	0.846
ˈʊ	ˈɔ	0.8
k	k	0.788
ˈoː	ˈu	0.778
ˈøː	ˈu	0.75
ʃ	s	0.731
ˈaʊ̯	ˈʊə̯	0.714
ˈʏ	ˈœ	0.667
ˈeː	ˈɪə̯	0.667
ʋ	v	0.667
ˈuː	ˈœɪ̯	0.571
ˈɪɛ̯	ˈɪə̯	0.545
n	n	0.544
ɐ	r	0.516
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈuːə̯	ˈɔ	0.5
ˈuːə̯	-	0.5
ˈaː	ˈɑː	0.5
ˈaː	-	0.5
n_n	n_d̥	0.5
n_n	n	0.5
ɐ	ə_r	0.484
ˈɪɛ̯	-	0.455
ˈɛ	ˈɛ	0.455
ˈuː	-	0.429
ˈɛ	ˈæ	0.364
ˈʏ	-	0.333
ˈeː	-	0.333
ʋ	v̥	0.333
n	-	0.329
ˈaʊ̯	-	0.286
ʃ	s_k	0.269
ˈøː	-	0.25
ˈoː	-	0.222
k	-	0.212
ˈʊ	ˈœɪ̯	0.2
ˈɛ	-	0.182
ŋ	-	0.154
ˈɔː	-	0.143
d̥	-	0.138
ˈaɪ̯	-	0.133
ˈɪ	-	0.125
ˈa	-	0.107
s	n_s	0.105
d	-	0.097
v	-	0.091
t	r_t	0.073
n	n_d	0.063
