Bokmål Norwegian	Alsatian	probability
ˈʊ	ˈu	1.0
ˈɑ_ɾ	ˈɒː_ʁ	1.0
ˈœʏ̯	ˈʊː	1.0
ˈøː_j	ˈœ	1.0
ˈæ	ˈæ	1.0
ʈ	-	1.0
ɾ_ˈɛ	ʁ_ˈi	1.0
ɳ	ʁ_n	1.0
ɪ	i	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	kʰ	1.0
sː	-	1.0
s_ˈɑ	s_ˈɒ	1.0
s_k	ʃ	1.0
pː	f	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
j	-	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d_ə	p͡f	1.0
b	b̥	1.0
m	m	0.937
ɾ	ʁ	0.898
ˈɪ	ˈi	0.863
n	n	0.845
ˈɑ	ˈɒ	0.836
ˈyː	ˈiː	0.825
ˈʉ	ˈu	0.796
p	f	0.794
ɾ_ə	ʁ	0.761
ˈoː	ˈoː	0.739
ˈæɪ̯	ˈəi̯	0.729
t	s	0.669
ʂ	ʃ	0.661
ə	ə	0.66
ɡː	k	0.657
ˈuː	ˈʊː	0.642
ɡ	ɡ̊	0.625
tʰ	d̥	0.622
ˈeː	-	0.604
ˈʏ	ˈu	0.603
d	d̥	0.602
ˈiː	ˈiː	0.6
ˈʉː	ˈyː	0.59
ʋ	ʋ	0.575
s	s	0.574
nː	n	0.529
ˈɑː	ˈɒː	0.523
ˈæː	-	0.523
k	ʃ	0.497
ˈɑː	ˈɒ_t	0.477
ˈæː	ˈe	0.477
ˈɔ	ˈu	0.471
nː	n_d̥	0.471
s	ʃ	0.426
tː	ʦ	0.411
ˈiː	ˈi	0.4
d	t	0.398
ˈʏ	-	0.397
tʰ	ʦ	0.378
ɡ	-	0.375
ˈuː	ˈo	0.358
ˈœ	-	0.349
ɡː	-	0.343
ˈʉː	-	0.339
ʂ	s	0.339
tː	s	0.334
t	t	0.331
ə	-	0.319
ʋ	-	0.303
ˈɔ	ˈe	0.293
k	-	0.288
ˈøː	-	0.271
ˈæɪ̯	-	0.271
ˈɛ	ˈe	0.267
ˈoː	-	0.261
ˈɛ	ˈəi̯	0.259
tː	x_t	0.256
ɾ_ə	ə_ʁ	0.239
ˈɔ	ˈɒ	0.236
ˈøː	ˈoː	0.22
k	i_ʃ	0.215
ˈœ	ˈu	0.211
p	p	0.206
ˈʉ	ˈo	0.204
ˈøː	ˈoː_t	0.199
ˈøː	ˈeː	0.199
ˈeː	ˈæ	0.199
ˈeː	ˈei̯	0.197
ˈɛ	ˈi	0.191
ˈœ	ˈi	0.191
ˈɛ	-	0.186
ˈyː	-	0.175
ˈɑ	ˈɒː	0.164
n	-	0.155
ˈœ	ˈiː	0.154
ˈɪ	ˈiː	0.137
ʋ	w	0.122
ˈøː	ˈʊː	0.11
ɾ	ə_ʁ	0.102
ˈɛ	ˈeː	0.097
ˈœ	ˈai̯	0.095
ˈʉː	ˈøi̯	0.071
m	e	0.063
