Bokmål Norwegian	English	probability
b	b	1.0
d	d	0.866
d	t	0.056
e	ˈiː	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.489
j	-	0.378
j	ˈaɪ̯	0.27
j	ˈɛ	0.087
j	ɡ	0.085
j	ˈəʊ̯	0.083
j	h	0.063
k	k	0.657
k	ʧ	0.195
k	-	0.129
kʰ	kʰ	0.872
kʰ	-	0.11
kː	ŋ_k	0.629
kː	k	0.361
l	l	0.61
l	ɫ	0.354
lː	ɫ	0.486
lː	ɫ_d	0.224
lː	ə	0.107
lː	l	0.075
lː	k	0.052
m	m	0.917
m	v	0.082
mː	m	0.489
n	n	0.842
n	-	0.15
nː	n	0.379
nː	n_d	0.349
nː	θ	0.147
nː	t	0.058
nː_ə	n	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	0.977
s_k	ʃ	1.0
s_ə	z	1.0
sː	s	1.0
t	t	1.0
tʰ	tʰ	0.453
tʰ	θ	0.412
tʰ	b	0.064
tʰ	d	0.064
tː	t	1.0
ç	θ	0.53
ç	ʧ	0.298
ŋ	-	0.488
ŋ	ŋ	0.239
ŋ	n	0.075
ŋː	ŋ	1.0
ə	-	0.888
ə	ə	0.051
ə_ɾ	ə	1.0
ɡ	ɡ	0.434
ɡ	-	0.361
ɡ	f	0.097
ɡ	j	0.097
ɡː	ʤ	0.715
ɡː	ɡ	0.196
ɪ	ɪ	1.0
ɳ	n	0.603
ɳ	-	0.389
ɾ	ɹ	0.539
ɾ	-	0.138
ɾ	ə	0.138
ɾ	ð	0.126
ɾ	θ	0.053
ɾ_m	m	1.0
ɾ_ə	ə	1.0
ʂ	s	1.0
ʃ	ʃ	0.239
ʈ	t	1.0
ʈː	t	0.239
ʋ	w	0.583
ʋ	f	0.158
ʋ	v	0.152
ʋ	-	0.082
ˈeː	ˈiː	0.397
ˈeː	ˈɪ	0.168
ˈeː	ˈe	0.096
ˈeː	ˈɐ	0.096
ˈeː	ˈəʊ̯	0.076
ˈeː	ˈɑː	0.075
ˈeː	ˈɒ	0.075
ˈiː	ˈaɪ̯	0.537
ˈiː	ˈɪ	0.186
ˈiː	ˈiː	0.083
ˈiː	ˈeɪ̯	0.073
ˈiː	ˈe	0.072
ˈoː	ˈiː	0.257
ˈoː	ˈuː	0.237
ˈoː	ˈeɪ̯	0.101
ˈoː	ˈɛ	0.101
ˈoː	ˈɪ	0.101
ˈoː	ˈəʊ̯	0.098
ˈoː	ˈe	0.078
ˈuː	ˈuː	0.246
ˈuː	ˈɔː	0.222
ˈuː	ˈɐ	0.183
ˈuː	ˈʊ	0.155
ˈuː	w	0.066
ˈuː	ˈe	0.066
ˈuː	ˈɜː	0.055
ˈyː	ˈɪ	0.349
ˈyː	ˈaɪ̯	0.274
ˈyː	ˈiː	0.274
ˈyː	j	0.088
ˈæ	-	0.574
ˈæ	ˈæ	0.281
ˈæɪ̯	ˈəʊ̯	0.52
ˈæɪ̯	ˈeɪ̯	0.343
ˈæɪ̯	ˈiː	0.111
ˈæː	ˈe	0.53
ˈæː	ˈɑː	0.196
ˈæː	ˈɪ	0.11
ˈøː	ˈiː	0.316
ˈøː	ˈe	0.162
ˈøː	-	0.11
ˈøː	ˈe_d	0.11
ˈøː	ˈɪ	0.11
ˈøː	ˈəʊ̯	0.084
ˈøː	ə	0.067
ˈœ	ˈɪ	0.365
ˈœ	ˈiː	0.336
ˈœ	-	0.098
ˈœ	ˈɐ	0.095
ˈœ	ˈɒ	0.071
ˈœʏ̯	ˈiː	0.239
ˈɑ	ˈæ	0.304
ˈɑ	ˈɔː	0.249
ˈɑ	ˈɒ	0.161
ˈɑ	ˈɑː	0.11
ˈɑ	ˈuː	0.052
ˈɑ_ɾ	ˈɑː	0.239
ˈɑː	ˈeɪ̯	0.635
ˈɑː	ˈɑː	0.201
ˈɑː	ˈæ	0.093
ˈɔ	ˈɐ	0.367
ˈɔ	ˈeɪ̯	0.242
ˈɔ	ˈe	0.156
ˈɔ	ˈɔː	0.148
ˈɛ	ˈaɪ̯	0.231
ˈɛ	ˈe	0.231
ˈɛ	ˈɪ	0.154
ˈɛ	ˈɑː	0.094
ˈɛ	ˈæ	0.077
ˈɛ	ˈɔː	0.077
ˈɛ	-	0.062
ˈɛ	ˈəʊ̯	0.051
ˈɛː	ˈɔː	1.0
ˈɪ	ˈɪ	0.525
ˈɪ	ˈaɪ̯	0.272
ˈɪ	ˈiː	0.076
ˈɪ	ˈe	0.059
ˈɪ	ˈɜː	0.058
ˈʉ	w_ˈʊ	0.237
ˈʉ	ˈaʊ̯	0.179
ˈʉ	ˈɐ	0.149
ˈʉ	ˈəʊ̯	0.136
ˈʉ	ˈɪ	0.136
ˈʉ	ˈʊ	0.098
ˈʉː	ˈaʊ̯	0.602
ˈʉː	ˈaɪ̯	0.193
ˈʉː	ˈe	0.102
ˈʉː	ˈɒ	0.078
ˈʊ	ˈɐ	0.583
ˈʊ	ˈɪ	0.142
ˈʊ	ˈaʊ̯	0.136
ˈʊ	ˈɜː	0.059
ˈʏ	ˈɪ	0.778
ˈʏ	ˈe	0.214
