Alsatian	East Franconian	probability
ˈɛ	ˈeː	1.0
ˈəi̯	ˈaː	1.0
ˈɔi̯	ˈaː	1.0
ˈœ	ˈaː	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈø	ˈuː	1.0
ˈyː	ˈaʊ̯	1.0
ˈu_ʁ	ˈɔ_ɐ	1.0
ˈaː	-	1.0
ˈai̯	ˈɛː	1.0
ʦ	ʦ	1.0
ʁ_n	ɐ_n	1.0
ə_ʁ	ɐ	1.0
ə_t	ə	1.0
ŋ	ŋ	1.0
w	v	1.0
t_ə	ɾ	1.0
t	d̥	1.0
s_ə	z̥_n	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
n_s	n_s	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
j_ə	ŋ	1.0
j	j	1.0
i_ʃ	ç	1.0
h	h	1.0
eː_n	eː	1.0
e	m	1.0
b̥	b̥	1.0
f	f	0.969
l	l	0.959
d̥	d̥	0.937
ˈɒ	ˈɒ	0.828
ˈe	ˈɛ	0.825
ɡ̊	ɡ̊	0.81
ˈo	ˈɔ	0.79
ˈu	ˈʊ	0.787
ʋ	v	0.775
ʃ	ʃ	0.749
ˈi	ˈɪ	0.742
x	x	0.714
ˈɒː	ˈoː	0.711
s	s	0.707
ˈʊː	ˈuː	0.633
ˈei̯	ˈaɪ̯	0.631
ˈeː	ˈiː	0.556
ˈoː	ˈoː	0.554
ˈæ	ˈeː	0.549
ʁ	ɐ	0.542
ˈiː	ˈiː	0.515
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
k	ɡ̊_n	0.5
k	ɡ̊	0.5
ˈiː	ˈaɪ̯	0.485
i	-	0.478
ˈæ	ˈɛ	0.451
ˈoː	ˈuː	0.446
ˈeː	-	0.444
ə	a	0.409
ʁ	r	0.383
ˈei̯	ˈaː	0.369
ˈʊː	ˈaː	0.367
i	i	0.348
ə	n	0.324
s	z̥	0.293
ˈɒː	ˈɒ	0.289
x	-	0.286
ˈo	-	0.21
ˈi	ˈaɪ̯	0.192
ɡ̊	ɣ̊	0.19
ʋ	-	0.188
ˈe	-	0.175
i	ɪ	0.174
ə	-	0.149
ʃ	-	0.126
ˈɒ	ˈoː	0.097
ˈu	ˈɪ	0.087
ʃ	ç	0.085
ˈu	-	0.078
ʁ	-	0.075
ˈɒ	-	0.074
ˈi	ˈiː	0.066
d̥	ɾ	0.063
ə	ŋ	0.059
ə	m	0.059
