West Frisian	West Frisian	probability
ˈɪə̯_#>	ˈoː_d_#>	1.0
ˈɛ_j_#>	ˈɛɪ̯_#>	1.0
ˈøə̯	ˈyː	1.0
ˈø	-	1.0
ˈu̯o	ˈɛɪ̯	1.0
ˈu	ˈʊ	1.0
ˈoː	-	1.0
ˈiə̯_r	ˈiː_r	1.0
ˈi_l	ˈiː_l	1.0
ˈaː_j	ˈɔːɪ̯	1.0
ʋ	v	1.0
ɪ	-	1.0
ɣ_ə	x	1.0
ɣ	ɣ	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ɕ	s_j	1.0
z	z	1.0
v_ə	ə	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_ə	l_ə	1.0
k	k	1.0
j_ɪ	i	1.0
h	h	1.0
b	b	1.0
<#_ˈɪə̯	<#_ˈoː	1.0
<#_ˈyː	<#_ˈuː	1.0
<#_r	<#_r	1.0
<#_d	<#	1.0
s	s	0.97
t	t	0.968
n	n	0.938
f	f	0.931
d	d	0.913
χ	x	0.889
ə	ə	0.871
d̥	d	0.867
v	v	0.846
ŋ	ŋ	0.833
l	l	0.829
ˈi	ˈi	0.727
ˈɪə̯	ˈoː	0.706
ɡ	ɣ	0.7
j	j	0.692
ˈɔu̯	ˈoːu̯	0.667
ˈiː	ˈiː	0.636
ˈuː	ˈuː	0.615
ˈɔː	ˈoːu̯	0.6
ˈuə̯	ˈoːu̯	0.6
<#	<#_d	0.6
ˈɛi̯	ˈaːi̯	0.571
ˈɛː	ˈɛː	0.556
ˈiə̯	ˈɛɪ̯	0.5
ʦ	t	0.5
ʦ	s	0.5
ˈɔ	ˈʊ	0.474
ˈɛi̯	-	0.429
ˈɔː	-	0.4
ˈuə̯	ˈuː	0.4
<#	<#_ˈa	0.4
ˈɪ	ˈɪ	0.364
ˈɔu̯	ˈaːu̯	0.333
ˈiə̯	ˈeː	0.333
ˈeː	ˈoː	0.333
ˈeː	ˈeː	0.333
ˈaː	ˈɔː	0.333
ˈaː	-	0.333
ˈɛ	ˈɛ	0.308
ˈɛ	-	0.308
ˈuː	-	0.308
ˈoə̯	-	0.308
j	-	0.308
ˈa	ˈɔː	0.278
ˈi	-	0.273
ˈaː	ˈoː	0.25
ˈɛ	ˈiː	0.231
ˈoə̯	ˈoːu̯	0.231
ˈɛː	ˈɛɪ̯_d	0.222
ˈɛː	ˈaː	0.222
ɡ	j	0.2
ˈiː	ˈi	0.182
ˈiː	-	0.182
ˈɪə̯	-	0.176
ˈiə̯	ˈoː	0.167
ˈeː	ˈœː	0.167
ˈeː	ˈiːu̯	0.167
ˈa	ˈɛ	0.167
ˈa	ˈɔ	0.167
ˈa	ˈa	0.167
ŋ	-	0.167
ˈɔ	ˈɔ	0.158
ˈɔ	ˈuː	0.158
ˈɛ	ˈɛː	0.154
ˈoə̯	ˈuː	0.154
ˈoə̯	ˈoːu̯_d	0.154
ˈoə̯	ˈoː	0.154
v	-	0.154
ˈɪ	-	0.152
d̥	l_d	0.133
ˈɪ	ˈɛː	0.121
ˈɪ	ˈi	0.121
ˈɪə̯	ˈeː	0.118
χ	ɣ_ə	0.111
ˈa	ˈaː	0.111
ˈa	-	0.111
ˈɔ	ˈɔː	0.105
ˈɔ	ˈoːu̯	0.105
ɡ	ɡ	0.1
d	-	0.087
ə	-	0.086
ˈaː	ˈeːu̯	0.083
ˈuː	ˈøː	0.077
l	l_j	0.073
f	-	0.069
n	-	0.062
ˈɪ	ˈɔː	0.061
ˈɪ	ˈɔ	0.061
ˈɪ	ˈoː	0.061
ˈɪ	ˈeː	0.061
