Old Frisian	Wymysorys	probability
ˈuː	ˈɑi̯	1.0
ˈe_l	ˈɘ̟_w	1.0
ˈe_j	ˈa	1.0
ˈa_r	ˈi̯ø	1.0
ʦ	k_ˈɘ̟	1.0
ɣ_ə	ɡ̊	1.0
ɡː	k	1.0
ə_x	ɪ_k	1.0
ŋ	ŋ	1.0
ð	d	1.0
v	-	1.0
tː	ʦ	1.0
t_ə	t_ɛ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
r_t	ʦ	1.0
pː	p	1.0
p_ə	f_a	1.0
nː_ə	n	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	w	1.0
kː	x	1.0
k_j	ʧ	1.0
j_ə	a	1.0
iː_n	ɑ	1.0
i	ˈɘ̟	1.0
e	-	1.0
dː	t	1.0
bː	n	1.0
b	b	1.0
a	a	1.0
f	f	0.917
n	n	0.881
h	h	0.851
x	x	0.848
θ	d	0.839
l	w	0.838
ˈu	ˈu	0.812
w	v	0.809
r	r	0.771
ˈa	ˈɑ	0.68
ˈi	ˈɘ̟	0.654
ˈiː	ˈai̯	0.648
ɡ	ɡ	0.645
z	s	0.634
t	s	0.61
ˈoː	ˈʏ	0.607
j	-	0.604
s	z	0.563
v_ə	v_ɛ	0.559
ˈi̯uː	ˈɑi̯_ɛ	0.545
d	t	0.542
ɣ	ɟ	0.531
ˈɛː	ˈa	0.523
ˈi̯aː	ˈi	0.523
ˈeː	-	0.509
ɣ	ɡ	0.469
ˈo	-	0.463
ˈi̯uː	-	0.455
ˈɔː	ˈɑ	0.441
v_ə	n	0.441
s	ʃ	0.437
ə	-	0.408
j	ɡ	0.396
ˈi̯aː	-	0.392
k	x	0.383
ˈɔː	-	0.382
k	k	0.379
z	z	0.366
ˈa	ˈɔ	0.32
ˈe	ˈɑ	0.318
ˈo	ˈu	0.313
d	d̥	0.296
ˈeː	ˈi	0.292
ˈaː	-	0.285
ˈaː	ˈʏ	0.284
ˈaː	ˈu	0.276
ˈɛː	ˈei̯	0.269
ˈoː	-	0.259
ˈe	-	0.259
ə	a	0.256
ɡ	ɡ̊	0.243
t	t	0.239
ˈo	ˈʏ	0.224
ˈɛː	-	0.209
ə	ɛ	0.202
k	ç	0.202
ˈeː	ˈø	0.198
ˈu	ˈɘ̟	0.188
ˈiː	-	0.183
ˈɔː	ˈø	0.177
ˈiː	ˈi_r	0.169
l	l	0.162
θ	-	0.161
d	d	0.161
ˈe	ˈɔ	0.159
x	ɡ̊	0.152
t	ʦ	0.151
h	-	0.149
ˈe	ˈɛ	0.145
ˈi	-	0.141
ˈoː	ˈɑ_n	0.135
r	ˈʏ	0.134
ə	ə	0.125
w	-	0.121
ˈe	ˈɘ̟	0.12
n	-	0.119
ɡ	ɟ	0.112
ˈaː	ˈa	0.11
ˈi̯aː	ˈɪ	0.085
f	b̥	0.083
w	v_ˈɛ	0.07
ˈi	ˈɑ	0.069
ˈi	ˈei̯	0.068
ˈi	ˈai̯	0.068
r	-	0.064
