Pennsylvania German	North Frisian	probability
b	b	1.0
d	d	0.556
d	t	0.259
d	tʲ	0.087
d	dʲ	0.053
d	-	0.049
f	f	0.621
f	p	0.194
f	v_ə	0.109
f	ə_v	0.039
f	v	0.037
h	h	1.0
j	j	0.422
j	ˈiː	0.242
j	n	0.158
j	-	0.097
k	-	0.406
k	k	0.388
k	w	0.2
kʰ	k	0.692
kʰ	-	0.099
kʰ	s	0.099
kʰ	ʃ	0.07
l	l	0.938
l	-	0.03
l	lʲ	0.03
l	j	0.03
l_t	lʲ	1.0
m	m	0.959
m	-	0.045
n	n	0.848
n	-	0.151
n_t	nʲ	1.0
p	f	0.361
p	p	0.267
p	d	0.108
p	-	0.105
p	v	0.105
p͡f	p	0.244
s	s	0.576
s	t	0.174
s	z	0.093
s	tʲ	0.084
s	d	0.045
t	t	0.382
t	d	0.293
t	-	0.126
t	dʲ	0.1
t	s	0.04
v	v	0.883
v	-	0.088
x	x	0.509
x	k	0.486
ç	k	0.354
ç	-	0.306
ç	x	0.219
ç	ŋ	0.098
ŋ	ŋ	1.0
ɑ	ə	0.496
ɑ	r	0.484
ɑ	j	0.033
ə	ə	0.758
ə	-	0.207
ə	j	0.032
ɡ	ɡ	0.881
ɡ	j	0.113
ɣ	j	0.517
ɣ	nʲ	0.137
ɣ	d	0.137
ɪ	i	0.69
ɪ	-	0.185
ɪ	j	0.099
ɾ	r	0.892
ɾ	z	0.039
ɾ	-	0.039
ɾ	j	0.036
ʃ	s	0.636
ʃ	ʃ	0.361
ʋ	v	0.814
ʋ	-	0.117
ʋ	ˈuː	0.065
ʋ_ˈɔ	ˈʊ	1.0
ʦ	t	1.0
ˈa	ˈɒ	0.212
ˈa	ˈɒː	0.185
ˈa	ˈœ	0.158
ˈa	ˈʊ	0.1
ˈa	ˈɔ_r	0.064
ˈaɪ̯	ˈi	0.4
ˈaɪ̯	ˈyː	0.223
ˈaɪ̯	ˈøː	0.078
ˈaɪ̯	ˈiː	0.068
ˈaɪ̯	ˈɒ	0.059
ˈaʊ̯	ˈyː	0.645
ˈaʊ̯	ˈiː	0.108
ˈaʊ̯	ˈuː	0.105
ˈaʊ̯	ˈøː	0.102
ˈaː	ˈɔ	0.341
ˈaː	ˈa	0.22
ˈaː	ˈœ	0.145
ˈaː	r	0.13
ˈaː	ˈeː	0.106
ˈeː	ˈiː	0.429
ˈeː	ˈiː_nʲ	0.105
ˈeː	ˈɒː	0.06
ˈeː	ˈɔu̯	0.06
ˈeː	ˈai̯	0.06
ˈiː	ˈiː	0.632
ˈiː	ˈɛi̯	0.129
ˈiː	ˈɛ	0.11
ˈiː	ˈɔu̯	0.065
ˈoː	ˈyː	0.301
ˈoː	ˈuː	0.203
ˈoː	ˈɛi̯	0.198
ˈoː	ˈɛː	0.091
ˈoː	ˈaː	0.072
ˈuː	ˈœ	0.638
ˈuː	ˈyː	0.201
ˈuː	ˈɔu̯	0.153
ˈɔ	ˈɔː	0.316
ˈɔ	ˈɔ	0.168
ˈɔ	ˈʏ	0.168
ˈɔ	ˈʊ	0.114
ˈɔ	ˈøː	0.084
ˈɔɪ̯	ˈɔi̯	1.0
ˈɔː	ˈuː	0.246
ˈɔː	ˈɔː	0.138
ˈɔː	ˈɒː	0.094
ˈɔː	ˈeː	0.094
ˈɔː	ˈɛi̯	0.079
ˈɛ	ˈeː	0.306
ˈɛ	ˈa	0.191
ˈɛ	ˈɛː	0.186
ˈɛ	ˈi	0.085
ˈɛ	ˈʊ	0.081
ˈɛː	ˈa	0.346
ˈɛː	ˈeː	0.173
ˈɛː	ˈɛ	0.122
ˈɛː	ˈɛi̯	0.118
ˈɛː	ˈœ	0.083
ˈɪ	ˈa	0.203
ˈɪ	ˈʊ	0.185
ˈɪ	ˈi	0.161
ˈɪ	ˈai̯	0.074
ˈɪ	ˈeː	0.074
ˈʊ	ˈʊ	0.428
ˈʊ	ˈyː	0.253
ˈʊ	ˈøː	0.091
ˈʊ	ˈɔː	0.091
ˈʊ	ˈa	0.073
