Pennsylvania German	North Frisian	probability
b	b	0.978
b̥	f	0.743
b̥	ə_v	0.153
b̥	v	0.104
d	d	0.525
d	t	0.258
d	dʲ	0.088
d	-	0.076
d	tʲ	0.052
d̥	d	0.565
d̥	dʲ	0.221
d̥	s	0.081
d̥	t	0.053
eː	ɛi̯	1.0
f	f	0.625
f	p	0.232
f	v	0.082
h	h	1.0
j	ˈi	0.418
j	j	0.313
j	ˈiː	0.172
j	-	0.097
k	-	0.395
k	k	0.36
k	j	0.183
k	w	0.062
kʰ	k	0.731
kʰ	s	0.129
kʰ	ʃ	0.129
l	l	0.886
l	lʲ	0.056
m	m	0.944
m	-	0.056
n	n	0.786
n	nʲ	0.108
n	r_n	0.06
p	p	0.701
p	-	0.199
p	d	0.1
p͡f	p	1.0
s	s	0.587
s	tʲ	0.148
s	t	0.131
s	d	0.062
t	t	0.87
t	-	0.073
t	tʲ	0.056
v	v	0.827
v	-	0.173
x	x	0.493
x	k	0.383
x	w	0.124
ç	k	0.693
ç	x	0.211
ç	ŋ	0.096
ŋ	ŋ	1.0
ɑ	r	0.532
ɑ	ə_r	0.407
ɑ	ˈa	0.05
ə	ə	0.798
ə	-	0.202
ɡ	ɡ	0.804
ɡ	j	0.111
ɡ	k	0.053
ɡ̊	f	0.67
ɡ̊	w	0.33
ɣ	j	0.694
ɣ	d	0.189
ɣ	nʲ	0.116
ɪ	i	0.568
ɪ	-	0.288
ɪ	j	0.144
ɾ	r	0.984
ʃ	s	0.53
ʃ	ʃ	0.459
ʋ	v	0.809
ʋ	ˈuː	0.126
ʦ	t	1.0
ˈa	ˈœ	0.274
ˈa	ˈɒ	0.147
ˈa	ˈʊ	0.136
ˈa	ˈɒː	0.117
ˈa	ˈuː	0.105
ˈa	ˈɔː	0.068
ˈa	ˈɔ	0.057
ˈaɪ̯	ˈi	0.415
ˈaɪ̯	ˈyː	0.254
ˈaɪ̯	ˈøː	0.1
ˈaɪ̯	ˈa	0.089
ˈaɪ̯	ˈiː	0.066
ˈaʊ̯	ˈyː	0.52
ˈaʊ̯	ˈøː	0.182
ˈaʊ̯	ˈɔu̯	0.099
ˈaʊ̯	ˈʏ	0.076
ˈaʊ̯	ˈuː	0.071
ˈaʊ̯	ˈiː	0.052
ˈaː	ˈɔ	0.42
ˈaː	r	0.255
ˈaː	ˈœ	0.164
ˈaː	ˈa	0.083
ˈaː	-	0.053
ˈeː	ˈiː	0.633
ˈeː	-	0.06
ˈiː	ˈiː	0.533
ˈiː	ˈɛi̯	0.197
ˈiː	ˈɛ	0.109
ˈiː	j	0.083
ˈoː	ˈyː	0.333
ˈoː	ˈɔu̯	0.247
ˈoː	ˈɛi̯	0.152
ˈoː	ˈuː	0.089
ˈoː	ˈeː	0.074
ˈoː	ˈaː	0.062
ˈuː	ˈœ	0.493
ˈuː	ˈœi̯	0.165
ˈuː	ˈyː	0.135
ˈuː	ˈɔu̯	0.116
ˈuː	ˈɛ	0.091
ˈɔ	ˈɔː	0.203
ˈɔ	ˈaː	0.149
ˈɔ	ˈøː	0.149
ˈɔ	ˈœ	0.149
ˈɔ	ˈɔ	0.109
ˈɔ	ˈʊ	0.109
ˈɔ	ˈʏ	0.109
ˈɔɪ̯	ˈɔi̯	1.0
ˈɔː	ˈuː	0.277
ˈɔː	ˈɔː	0.152
ˈɔː	ˈiː	0.116
ˈɔː	ˈɛi̯	0.091
ˈɔː	ˈɒː	0.069
ˈɔː	ˈeː	0.062
ˈɛ	ˈeː	0.326
ˈɛ	ˈa	0.173
ˈɛ	ˈɛː	0.134
ˈɛ	-	0.088
ˈɛ	ˈɔː	0.086
ˈɛ	ˈɒ	0.054
ˈɛː	ˈa	0.243
ˈɛː	ˈœ	0.207
ˈɛː	ˈɛ	0.207
ˈɛː	ˈɛi̯	0.118
ˈɛː	-	0.078
ˈɛː	ˈeː	0.074
ˈɛː	ˈɔː	0.074
ˈɪ	ˈa	0.171
ˈɪ	ˈʊ	0.147
ˈɪ	ˈi	0.13
ˈɪ	ˈai̯	0.107
ˈɪ	ˈeː	0.096
ˈɪ	ˈiː	0.087
ˈɪ	ˈɛ	0.057
ˈʊ	ˈʊ	0.537
ˈʊ	ˈyː	0.181
ˈʊ	ˈa	0.097
ˈʊ	ˈaː	0.084
ˈʊ	ˈœ	0.051
