Standard German	Standard German	probability
ˈɪ_ç_#>	ˈeː_#>	1.0
ˈɛː	-	1.0
ˈɛ_s	ˈeː_ʰt	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈuː_t	ˈɔːu̯_w	1.0
ˈiː_ɐ	ˈɛːa̯_ɹ	1.0
ˈaɪ̯_t	ˈʊ̯iː	1.0
ˈa_ɐ	ˈa_ɹ	1.0
ʁ_ə	ɹ	1.0
ɪ	ŋ	1.0
ɡ̊	ʊ_ɹ	1.0
ɐ_n	t͡n̥	1.0
ŋ_k	ʰk	1.0
ç_t	ʰt_ʊ	1.0
z̥_#>	s_#>	1.0
x_t	ʰt	1.0
tʰ	d̥	1.0
t_ɐ	ɪ_ɹ	1.0
t_#>	#>	1.0
s_ə	t_ʊ	1.0
s_ɐ	ʰt͡n̥	1.0
s_t	s_t	1.0
n_d	nː	1.0
j	-	1.0
h	h	1.0
f_#>	#>	1.0
eː	ʰt_a	1.0
d̥_#>	#>	1.0
b̥	v_ʊ	1.0
b_n	v_a	1.0
a	a_v	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.926
ŋ	ŋ	0.889
z	s	0.864
b	b̥	0.864
kʰ	kʰ	0.818
ə_n	a	0.8
v	v	0.8
k	-	0.8
s	t	0.769
ʁ	ɹ	0.765
ˈʏ	ˈɪ	0.714
l	l	0.706
ˈʊ	ˈʊ	0.615
f	f	0.613
d	tʰ	0.588
d̥	d̥_ʊ	0.571
ʦ	tʰ	0.562
ˈɪ	ˈɪ	0.55
ˈɔʏ̯	ˈʊ̯iː	0.5
ˈɔʏ̯	ˈʊ	0.5
ˈyː	ˈøː	0.5
ˈyː	-	0.5
ˈuː	ˈɔːu̯	0.5
ʃ	s	0.5
x	k	0.5
x	-	0.5
#>	ʊ_ɹ_#>	0.482
ˈoː	-	0.462
ə	a	0.462
d̥	d̥	0.429
ɡ	ɡ̊	0.417
ˈaʊ̯	ˈʉːu̯	0.412
#>	ɹ_#>	0.386
ə	-	0.385
t	t	0.385
ˈaː	ˈɛːa̯	0.368
ɐ	ɹ	0.364
n	a	0.362
ˈaɪ̯	ˈʊ̯iː	0.36
n	n	0.348
ˈa	ˈa	0.346
ˈɛ	ˈɛ	0.333
ɡ	-	0.333
ʃ	ʃ	0.318
ˈaː	ˈɔ̯aː	0.316
ʦ	-	0.312
ˈoː	ˈɛːi̯	0.308
ˈʏ	ˈʊ	0.286
ˈaɪ̯	ˈai̯	0.28
ˈiː	ˈʊ̯iː	0.273
ˈiː	ˈʉːu̯	0.273
ˈiː	ˈɔːu̯	0.273
ˈa	ˈɔ	0.269
ˈɛ	-	0.267
ˈɔ	ˈʊ	0.25
ˈɔ	-	0.25
ˈuː	ˈøː	0.25
ˈuː	-	0.25
ɡ	ʤ̊	0.25
ç	k_ʊ	0.25
ç	-	0.25
ˈaʊ̯	ˈɛːi̯	0.235
ʁ	-	0.235
ˈʊ	ˈɔ	0.231
ˈoː	ˈɔ̯aː	0.231
ˈeː	ˈɛ	0.231
ˈeː	ˈeː	0.231
ˈeː	-	0.231
ˈa	ˈɛːa̯	0.231
t	ɹ	0.231
t	-	0.231
s	ʰt	0.231
ˈaː	-	0.211
ˈɪ	ˈiː	0.2
ə_n	ʤ̊ː_a	0.2
k	ʰʧ	0.2
ˈɔ	ˈɔ	0.188
ˈɔ	ˈoː	0.188
ˈiː	-	0.182
ʃ	s_k	0.182
kʰ	ʧʰ	0.182
l	t͡l̥	0.176
d	d̥	0.176
ç	ʊ	0.167
ç	ɡ̊_ʊ	0.167
ç	k	0.167
f	v	0.161
f	p	0.161
ˈaɪ̯	ˈaːi̯	0.16
ˈʊ	-	0.154
ˈeː	ˈʊ	0.154
ˈeː	ˈɔ̯aː	0.154
t	j_ʊ	0.154
ɐ	ɹ_ʊ	0.152
ɐ	ɪ_ɹ	0.152
ˈɪ	-	0.15
z	ʃ	0.136
b	v	0.136
ˈɛ	ˈɔ	0.133
ˈɛ	ˈøː	0.133
ˈɛ	j	0.133
ˈɔ	ˈœ	0.125
ʦ	ʈ	0.125
ɐ	ʊ	0.121
ˈaɪ̯	ˈɛ	0.12
v	kʰ_v	0.12
ˈaʊ̯	ˈʊ	0.118
ˈaʊ̯	ˈɪ_ɡ̊	0.118
ˈaʊ̯	ˈɪ	0.118
l	l̥	0.118
d	ʧʰ	0.118
d	-	0.118
n	-	0.116
ŋ	ɲ	0.111
ˈaː	ˈa	0.105
n	nː	0.101
ˈɪ	ˈœ	0.1
ɐ	ɹ_a	0.091
ˈaɪ̯	-	0.08
v	-	0.08
ˈa	ˈɛ	0.077
ˈa	ˈœ	0.077
ə	ʊ	0.077
ə	ɡ̊_a	0.077
m	mː	0.074
f	-	0.065
ɐ	ɹ_ɪ	0.061
ɐ	ɡ̊_ʊ	0.061
#>	a_#>	0.06
