Old Church Slavonic	Lithuanian	probability
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʃ	k	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ɛ	1.0
ɔ_r	rʲ	1.0
æ_ˈ	̂	1.0
rʲ	rʲ_oː	1.0
r_ɪ	ɪ	1.0
p	pʲ	1.0
nʲ	nʲ	1.0
l_ɪ	ɪ	1.0
j	-	1.0
i_ˈ	ɛɪ̯	1.0
i	iː	1.0
k	k	0.753
z	ʑ	0.705
ɯ	uː	0.686
v	vʲ	0.671
b	b	0.616
ʊ	ɐ	0.583
ɛ̃	-	0.579
n	n	0.562
m	mʲ	0.533
ɪ	ɪ_ˈ	0.526
ʧ	-	0.524
l	ɫ	0.504
l	lʲ	0.496
ʧ	kʲ	0.476
n	-	0.438
ɛ	-	0.432
d	dʲ	0.432
ɛ̃	ɛ	0.421
t	tʲ	0.409
ɔ̃	ɐ	0.407
u	ʊ	0.4
u	ɐʊ̯	0.4
r	r	0.392
b	bʲ	0.384
ˈ	̌	0.38
d	d	0.377
æ	eː	0.375
x	ʃ	0.367
x	-	0.367
ɔ	ɐ	0.347
æ	-	0.343
s	sʲ	0.324
ɔ̃	aː	0.315
r	rʲ	0.315
ɯ	-	0.314
m	m	0.314
ˈ	-	0.31
ɔ	aː	0.303
z	ʒ	0.295
ɛ	æː	0.291
ɑ	ɐ	0.288
ɪ	rʲ	0.278
ɔ̃	ɐ_ŋ	0.278
s	ɕ	0.277
x	sʲ	0.265
s	ʃ	0.264
ɑ	oː	0.263
k	kʲ	0.247
æ	iə̯	0.228
v	v	0.228
t	t	0.224
u	ɛʊ̯	0.2
ˈ	̂	0.197
ɪ	ɪ	0.197
ɑ	uə̯	0.197
d	-	0.191
t	-	0.188
ɛ	ɛ	0.185
r	ɪ	0.17
m	nʲ	0.154
ʊ	-	0.14
s	s	0.136
r	-	0.124
ɑ	eː	0.12
ɑ	-	0.114
ˈ	ˈ	0.113
ɔ	æː	0.106
t	m_t	0.102
v	-	0.101
ɔ	-	0.097
ʊ	ʊ	0.094
ɛ	aː	0.092
ɔ	ɪ_ˈ	0.084
t	ŋʲ	0.078
ʊ	ʊ_ˈ	0.077
ɔ	ɪ	0.063
ʊ	ɪ_s	0.055
æ	ɐɪ̯	0.055
ʊ	ɪ	0.051
