Luxembourgish	Luxembourgish	probability
χ	-	1.0
ˈʊ	ˈoː	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	-	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_l	ˈa_l	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯	ˈiː	1.0
ˈæ	ˈa	1.0
ˈuː	ˈɔ	1.0
ˈuə̯	ˈɔː	1.0
ˈiə̯	ˈa	1.0
ˈi	-	1.0
ˈe	-	1.0
ʦ	t	1.0
ʃ_w	s_w	1.0
ʀ	r	1.0
ɡ̊	ɡ_s	1.0
ɡ	ɡ	1.0
ə_f	f	1.0
ɕ_t	h_t	1.0
z̥	s	1.0
w	w	1.0
v̥	f_s	1.0
s	t	1.0
p	p	1.0
m	m	1.0
j	j	1.0
h	h	1.0
d	d	1.0
b	b	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_z	<#_s	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_θ	1.0
<#	<#_h	1.0
ˈə	ˈi	0.867
#>	s_#>	0.848
n	n	0.831
l	l	0.815
ˈeː	ˈɛː	0.8
v	w	0.722
t	t	0.7
ˈɑɪ̯	-	0.667
f	f	0.65
ˈo	ˈu	0.636
ʃ	s	0.6
ɕ	k	0.6
ə	a	0.559
ˈɜɪ̯	ˈiu̯	0.545
ˈɑ	ˈi	0.5
ˈoː	ˈeː	0.5
ˈoː	ˈa	0.5
ˈaː	ˈa	0.5
d̥	θ	0.5
ɐ	r	0.444
ŋ	ŋ	0.444
ˈəʊ̯	ˈɔː	0.429
ʃ	s_k	0.4
ˈiː	ˈɛ	0.375
ˈiː	-	0.375
f	p	0.35
ˈɑɪ̯	ɡʷː	0.333
ˈu	ˈoː	0.333
ˈu	ˈa	0.333
ˈu	-	0.333
ŋ	ŋ_ɡ	0.333
ˈɑ	ˈa	0.312
t	-	0.3
ˈəʊ̯	ˈɔ	0.286
ˈəʊ̯	ˈeː	0.286
ˈɜɪ̯	ˈɔː	0.273
ˈiː	ˈa	0.25
ŋ	-	0.222
ˈeː	ˈi_ɡ	0.2
ɕ	x	0.2
ɕ	-	0.2
ˈɑ	-	0.188
ˈaː	ˈɔː	0.188
ˈaː	ˈa_r	0.188
ɐ	a_r	0.185
ˈɜɪ̯	ˈɛː_w	0.182
ˈo	ˈi	0.182
ˈo	-	0.182
v	β	0.167
d̥	d_s	0.167
ɐ	s	0.148
ˈə	ˈu	0.133
ˈaː	ˈɔ	0.125
ə	-	0.118
v	ʍ	0.111
l	lː	0.111
d̥	θ_u	0.111
d̥	t	0.111
d̥	d_u	0.111
#>	a_#>	0.106
ə	u	0.088
ə	j_a	0.088
ɐ	r_u	0.074
ɐ	oː	0.074
ɐ	a	0.074
l	l_θ	0.074
n	nː	0.062
ə	j	0.059
ə	i	0.059
