German	West Flemish	probability
eː	iə̯	1.0
j	j	1.0
ŋ	ŋ	1.0
ɐ	ɾ	1.0
ɡ̊	ɦ̥	1.0
ʦ	t	1.0
ˈuː	ˈuə̯	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈɔ	1.0
ˈɛː	ˈɒː	1.0
d	-	0.051
d̥	-	0.051
t	d	0.11
z	s	0.081
z	z̥	0.081
ç	-	0.081
ç	ŋ	0.121
ʁ	-	0.061
ˈaʊ̯	ˈu	0.171
ˈɛ	ˈeː	0.131
ˈɪ	ˈæ	0.121
ˈʊ	ˈu	0.591
h	ɦ	0.092
p	v̥	0.2
ə	ə	0.732
ˈiː	ˈi	0.152
ˈɛ	ˈɛ	0.072
p͡f	v̥	0.073
tʰ	t	0.083
x	h	0.693
ç	h	0.233
ɡ	ɦ	0.933
ˈa	ˈu	0.073
ˈaɪ̯	ˈi	0.413
ˈaː	ˈɒː	0.543
ˈeː	ˈiə̯	0.333
ˈiː	ˈeː	0.073
ˈoː	ˈøː	0.163
ˈoː	ˈoː	0.563
ˈyː	ˈøː	0.063
ˈyː	ˈoː	0.123
ˈyː	ˈuə̯	0.813
ˈɪ	ˈɪ	0.753
f	v	0.734
h	-	0.834
n	-	0.064
s	s	0.424
ç	ç	0.054
ç	k	0.454
ˈaʊ̯	ˈyː	0.344
ˈaʊ̯	ˈoː	0.4
ˈaː	ˈɛ	0.064
ˈɪ	ˈɛ	0.064
k	k	0.715
l	-	0.055
m	-	0.065
m	m	0.935
t	d̥	0.335
v	ʋ	0.95
ɪ	ə	0.325
ʁ	ɾ	0.895
ʃ	s	0.475
ˈaɪ̯	ˈeː	0.215
ˈeː	ˈeː	0.305
ˈiː	ˈiə̯	0.775
ˈoː	ˈɒː	0.115
ˈɔ	ˈu	0.055
ˈɔ	ˈœ	0.205
ˈɔʏ̯	ˈyː	0.175
ˈɛ	ˈɪ	0.095
b	b	0.746
b̥	v̥	0.966
f	p	0.266
k	ɦ	0.26
l	l	0.716
n	n	0.936
s	t	0.546
ç	ɦ̥	0.056
ʃ	z	0.126
ˈa	ˈɑ	0.736
ˈaɪ̯	ˈɛ	0.06
ˈaʊ̯	ˈɔ	0.086
ˈeː	ˈɒː	0.106
ˈɔ	ˈɔ	0.236
kʰ	k	0.987
p͡f	p	0.927
t	t	0.467
tʰ	d	0.917
z	z	0.837
ə	-	0.217
ɡ	-	0.067
ɪ	m	0.247
ˈaː	ˈɑ	0.347
ˈɔʏ̯	ˈiə̯	0.447
ˈɛ	ˈæ	0.577
b	v	0.248
p	p	0.8
x	k	0.268
ɪ	ɪ	0.428
ˈaɪ̯	ˈɛː	0.188
ˈeː	ˈæ	0.068
ˈeː	ˈɛː	0.188
ˈɔʏ̯	ˈeː	0.378
ˈʏ	ˈœ	0.588
d	d	0.949
d̥	d̥	0.949
h	k	0.059
l	w	0.229
t	-	0.089
ʃ	ʃ	0.399
ˈa	ˈɒː	0.089
ˈoː	ˈɛː	0.159
ˈɔ	ˈoː	0.459
ˈʊ	ˈɔ	0.339
ˈʏ	ˈɪ	0.379
