Eastphalian	Nynorsk Norwegian	probability
b	b	0.84
b	-	0.093
b	p	0.061
d	d	0.514
d	tʰ	0.299
d	-	0.159
d	ç	0.031
d_ɐ	ɾ	1.0
f	f	0.769
f	ʋ	0.16
f	-	0.064
h	h	0.911
h	-	0.088
j	ɡ	0.462
j	-	0.298
j	j	0.226
k	k	0.347
k	kʰ	0.306
k	ç	0.209
k	ɡː	0.061
k	ɡ	0.06
l	l	0.832
l	lː	0.081
l	nː	0.036
l	-	0.034
l	j	0.029
l_d	lː	1.0
m	m	0.83
m	ɑ	0.134
m	mː	0.04
m_ə	m	1.0
n	n	0.47
n	ɑ	0.271
n	-	0.164
n	nː	0.076
n_d	nː	1.0
n_ə	nː	1.0
p	p	1.0
r	ɾ	0.956
r	-	0.047
s	s	1.0
t	t	0.464
t	-	0.259
t	tʰ	0.088
t	d	0.083
t	ç	0.037
t_v	tʰ	1.0
t_ə	t	1.0
v	ʋ	0.435
v	-	0.429
v	kʰ_ʋ	0.102
v	v	0.036
w	ˈʏ	0.5
w	ʋ	0.5
x	ɡ	0.61
x	ʰtː	0.151
x	-	0.151
x_t	ʰtː	1.0
z	s	0.787
z	ʃ	0.143
z	-	0.065
ç	ɡ	0.308
ç	-	0.234
ç	s	0.083
ç_t	ʰtː	1.0
ŋ	ŋː	0.839
ŋ	ɑ	0.105
ŋ	ɲ	0.037
ŋ_k	ʰkː	1.0
ɐ	ɾ	0.732
ɐ	e_ɾ	0.104
ɐ	-	0.043
ɐ	ɾ_e	0.043
ɐ	ɛ	0.041
ə	e	0.513
ə	-	0.336
ə	ɑ	0.105
ə	ɾ	0.041
ɡ	j	0.229
ɣ	ɡ	0.718
ɣ	-	0.106
ɣ	j	0.063
ɣ	ɡː	0.063
ɪ	e	0.363
ɪ	ɑ	0.083
ʃ	s_k	0.461
ʃ	ʃ	0.358
ʃ	k	0.122
ʃ	sː	0.048
ˈa	ˈɑ	0.652
ˈa	ˈɑː	0.084
ˈa	ˈɛ	0.064
ˈa	ˈɔ	0.055
ˈa	ˈæ	0.048
ˈaʊ̯	ˈuː	0.746
ˈaʊ̯	ˈʉː	0.126
ˈaʊ̯	ˈoː	0.126
ˈaː	ˈɑː	0.45
ˈaː	ˈoː	0.297
ˈaː	ˈɑ	0.177
ˈeo̯	ˈæʉ̯	0.598
ˈeo̯	ˈoː	0.174
ˈeo̯	ˈœʏ̯	0.151
ˈeː	j	0.377
ˈeː	ˈʉː	0.217
ˈeː	ˈeː	0.094
ˈeː	ˈoː	0.091
ˈeː	ˈɛ	0.054
ˈiː	ˈiː	0.751
ˈiː	ˈyː	0.09
ˈiː	ˈeː	0.08
ˈiː	ˈɛ	0.068
ˈoː	ˈɔ	0.466
ˈoː	ˈæʉ̯	0.183
ˈoː	ˈuː	0.183
ˈoː	ˈoː	0.076
ˈoː	ˈʊ	0.05
ˈuː	ˈʉː	0.62
ˈuː	ˈʉ	0.212
ˈuː	ˈʊ	0.14
ˈyː	ˈyː	0.354
ˈyː	ˈɛ	0.129
ˈyː	ˈʉ	0.053
ˈøː	ˈœʏ̯	0.574
ˈøː	ˈʉ	0.275
ˈœ	ˈɔ	0.488
ˈœ	ˈʉ	0.129
ˈœ	ˈɛ	0.129
ˈɒː	ˈoː	0.407
ˈɒː	ˈɑː	0.354
ˈɒː	ˈɑ	0.187
ˈɔ	ˈɑ	0.296
ˈɔ	ˈʉ	0.17
ˈɔ	ˈʉː	0.17
ˈɔ	ˈɔ	0.142
ˈɔ	ˈʏ	0.134
ˈɔʏ̯	ˈøː	0.758
ˈɔʏ̯	ˈœʏ̯	0.177
ˈɛ	ˈɛ	0.17
ˈɛ	ˈeː	0.138
ˈɛ	ˈøː	0.112
ˈɛ	-	0.112
ˈɛ	ˈæɪ̯	0.112
ˈɛə̯	ˈɑː	1.0
ˈɛɪ̯	ˈyː	0.223
ˈɛɪ̯	ˈæɪ̯	0.21
ˈɛɪ̯	ˈʉː	0.128
ˈɛɪ̯	ˈiː	0.089
ˈɛɪ̯	ˈeː	0.079
ˈɛː	ˈʏ	0.197
ˈɛː	ˈɑ	0.164
ˈɛː	ˈɛ	0.139
ˈɛː	ˈɑː	0.108
ˈɛː	ˈœ	0.074
ˈɪ	ˈɪ	0.493
ˈɪ	ˈiː	0.137
ˈɪ	ˈɛ	0.126
ˈɪ	-	0.073
ˈɪ	ˈʉː	0.058
ˈʊ	ˈʉ	0.459
ˈʊ	ˈʊ	0.329
ˈʊ	ˈuː	0.195
ˈʏ	ˈʏ	0.719
ˈʏ	ˈɛ	0.202
ˈʏ	ˈɔ	0.056
