North Frisian	Scots	probability
ˈʏ	ˈɪ	1.0
ˈʊ_l	ˈuː	1.0
ˈɛi̯	ˈi	1.0
ˈɛ	ˈi	1.0
ˈɔu̯_d	ˈɪ_ð	1.0
ˈɔ	ˈo	1.0
ˈɒ_l	ˈɑː	1.0
ˈyː_#>	ˈuː_#>	1.0
ˈuː_l	ˈɑː_f	1.0
ˈu	ˈɪ	1.0
ˈiː_ə	ˈiː	1.0
ˈiː_nʲ	ˈe_n	1.0
ˈaː	ˈɪ	1.0
ˈai̯	ˈɪ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
v_ə	v	1.0
tʲ	t	1.0
t_ə	t	1.0
t_r	θ_r	1.0
r_t	r	1.0
r_n	r_n	1.0
r	r	1.0
nʲ	n_d	1.0
m	m	1.0
l_ˈa	l_ˈɪ	1.0
l	l	1.0
k_ə	k	1.0
h	h	1.0
f	f	1.0
dʲ	d	1.0
d_r	d_r	1.0
b	b	1.0
<#_r	<#_r	1.0
#>	ˈuː_#>	1.0
s	s	0.941
p	p	0.818
n	n	0.8
ʃ	ʃ	0.786
x	ç	0.778
d	d	0.724
ˈøː	ˈu	0.714
j	-	0.714
ˈɔː	ˈo	0.667
t	t	0.66
ˈi	ˈəi̯	0.615
v	w	0.6
n_ə	n	0.6
ˈa	ˈɪ	0.533
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈɔu̯	ˈʌu̯	0.5
ˈɔu̯	ˈø	0.5
ə	-	0.5
lʲ	l_d	0.5
lʲ	l	0.5
k	kʰ	0.5
k	k	0.5
i	i	0.5
i	-	0.5
ə	ə	0.46
ˈʊ	ˈʌ	0.438
ˈyː	ˈu	0.4
ˈuː	ˈiː	0.4
n_ə	n_d	0.4
ˈœ	ˈɪ	0.385
ˈi	ˈɪ	0.385
ˈɒː	ˈɛ	0.375
ˈɒː	ˈe	0.375
ˈɔː	ˈeː	0.333
ˈiː	ˈiː	0.333
ˈʊ	ˈɪ	0.312
ˈœ	ˈɑː	0.308
ˈœ	ˈø	0.308
ˈuː	ˈi	0.3
ˈuː	w	0.3
ˈøː	-	0.286
j	j	0.286
ˈyː	ˈəi̯	0.267
ˈɒː	ˈa	0.25
ˈɒ	ˈɪ	0.25
ˈɒ	ˈɛ	0.25
ˈɒ	ˈɑː	0.25
ˈɒ	ˈa	0.25
ˈiː	ˈi	0.25
ˈiː	ˈe	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈa	0.25
v	-	0.229
x	x	0.222
ʃ	s	0.214
t	tʰ	0.213
ˈyː	ˈe	0.2
ˈa	ˈeː	0.2
p	pʰ	0.182
ˈeː	ˈɪ	0.167
ˈeː	ˈiː	0.167
ˈeː	ˈi	0.167
ˈyː	ˈeː	0.133
ˈa	ˈʌ	0.133
ˈa	-	0.133
t	θ	0.128
ˈʊ	ˈa	0.125
ˈʊ	-	0.125
n	-	0.111
d	θ	0.103
d	ð	0.103
n	n_d	0.089
v	ʍ	0.086
v	v	0.086
ˈiː	ˈɪ	0.083
ˈiː	ˈɑː	0.083
d	t	0.069
s	θ	0.059
