Sicilian	Sicilian	probability
ˈɔ_n	ˈõũ̯	1.0
ˈu_n	ˈõũ̯	1.0
ˈi_ɖː	l	1.0
ˈe	ˈɛ	1.0
ˈa_w	ˈɔə̯	1.0
ˈa_r	ˈeə̯	1.0
ˈa_n	ˈʌ̃	1.0
ʧː	θ	1.0
ʦː	θ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʐː	r	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ_ɽ	r	1.0
ʃː	s	1.0
ʃ	s	1.0
ɾ_ɪ_#>	#>	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɟ	ʤ	1.0
ɖː	l	1.0
ɕ_ɪ	z	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
z	z	1.0
v_ɪ	v_ɐ	1.0
tː	t	1.0
t_ɪ	t_ɐ	1.0
t_a	d_ɐ	1.0
sː	s	1.0
s	s	1.0
p_ˈu	p_ˈo	1.0
nː_ɪ	n_d	1.0
n_ɪ	j̃	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	k	1.0
k_ˈu	k_ˈu	1.0
k_ɾ	k_r	1.0
fː	f	1.0
f	f	1.0
dː	d	1.0
d	d	1.0
cː	ʧ	1.0
c	p_j	1.0
bː	b	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
#>	t_ɐ_r_#>	1.0
a	ɐ	0.973
v	v	0.893
r	r	0.857
p	p	0.853
t	t	0.852
ɾ	r	0.767
k	k	0.765
ɕ	θ	0.733
ɟː	j	0.714
u	u	0.714
ɪ	ɐ	0.692
ʤ	ð	0.667
ˈa_ɾ	ˈeə̯	0.625
nː	n	0.6
w	v	0.545
ˈɛ	ˈɛə̯	0.5
ˈo	ˈo	0.5
ˈo	-	0.5
ˈa_p	ˈeə̯_v	0.5
ˈa_p	v	0.5
ɪ_ɾ	ɐ_r	0.5
ɪ_ɾ	r	0.5
ˈu	ˈou̯	0.441
i	-	0.412
nː	-	0.4
ˈu	ˈo	0.382
ˈa	ˈʌ̃	0.378
ˈa_ɾ	ˈeə̯_r	0.375
<#_ˈɔ	<#_ˈɔə̯	0.375
<#_ˈɔ	<#_ˈɔ	0.375
ˈɔ	ˈɔə̯	0.357
ˈa	ˈeə̯	0.356
i	i	0.353
ˈi	ˈɛ	0.352
ʤ	-	0.333
ʊ	v	0.333
ʊ	l	0.333
ʊ	-	0.333
<#_a	<#_ɐ	0.333
<#_a	<#_u	0.333
<#_a	<#_a	0.333
ˈɔ	ˈɔ	0.286
ɟː	-	0.286
u	-	0.286
ˈi	ˈi	0.278
j	ʤ	0.25
j	j_ˈeː	0.25
j	j	0.25
j	-	0.25
<#_ˈɔ	<#_ˈo	0.25
k	ɡ	0.235
ˈa	ˈa	0.2
w	ɐ	0.182
w	l	0.182
i	ɐ	0.176
ɾ	d	0.167
ɪ	i	0.154
ɪ	-	0.154
t	d	0.148
ˈɔ	ˈu	0.143
r	-	0.143
ˈɛ	ˈɛ	0.139
ˈɛ	ˈeː	0.139
ɕ	ð	0.133
ɕ	z	0.133
ˈi	ˈẽ	0.13
ˈi	ˈeː	0.13
ˈɛ	ˈi	0.111
ˈɔ	ˈo	0.107
ˈɔ	-	0.107
v	b	0.107
w	w	0.091
ˈu	ˈu	0.088
ˈu	u	0.088
p	v	0.088
ˈɛ	ˈẽ	0.083
ˈi	j	0.074
ɾ	r_ɐ	0.067
p	-	0.059
i	e	0.059
