Aragonese	Aragonese	probability
β_ˈa	ˈa	1.0
β_j	j	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈɔ_ɾ	1.0
ˈe_θ	ɣ_ɛ	1.0
ˈe_ʎ	j	1.0
ˈe_r	r	1.0
ˈe_n	n_t	1.0
ˈa	ˈa	1.0
ʃ_ˈe	k_ɛ	1.0
ɾ_β	ɾ_b	1.0
ɾ_n	r	1.0
ɾ_e	ɾ_u	1.0
ɾ_a	ɾ_a	1.0
ŋ_k	m_b	1.0
z	z_u	1.0
w_#>	ɛ_#>	1.0
t_a	t_a	1.0
t_#>	ð_ɛ_#>	1.0
p_l	p_j	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
o_l	ɔ_l	1.0
m_b	m	1.0
m	m	1.0
k_ˈo	k_ˈɔ	1.0
k_l	k_ɾ	1.0
j_t	t	1.0
j_#>	t_ɛ_#>	1.0
f	f	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#	<#_i	1.0
k	k	0.939
n	n	0.911
#>	ɛ_#>	0.882
ɾ	ɾ	0.881
d	d	0.867
a	a	0.848
t	t	0.846
ˈi	ˈi	0.844
o	u	0.843
ɣ	ɣ	0.727
ʝ	-	0.714
i	-	0.714
l	l	0.705
ʧ	b	0.667
ð	ð	0.632
s	s	0.6
j_ˈe	ˈɛ	0.571
<#_a	<#_a	0.571
w_ˈe	ˈo	0.538
ŋ	ŋ	0.5
ŋ	m	0.5
w	ˈɔ	0.5
w	-	0.5
l_ˈe	l_ˈi	0.5
l_ˈe	l	0.5
b_ɾ	ɛ_n	0.5
b_ɾ	i_n	0.5
w_ˈe	ˈɔ	0.462
β	β	0.429
u	u	0.429
j_ˈe	ˈe	0.429
<#_a	<#	0.429
e	ɛ	0.412
θ	k	0.409
ɡ	b	0.4
ɲ	nː	0.375
ɲ	n_ʣ	0.375
β	-	0.357
j	-	0.357
ʧ	ɡ	0.333
ʎ	ʣ	0.333
ʎ	ɖː	0.333
ˈe	ˈi	0.325
θ	ɣ	0.318
ˈo	ˈɔ	0.318
ˈo	ˈu	0.318
ɡ	ɡ	0.3
ɡ	-	0.3
ʝ	ˈɛ	0.286
u	j	0.286
u	-	0.286
j	ˈɛ	0.286
i	ˈi	0.286
ˈe	ˈɛ	0.275
ˈo	ˈo	0.273
ɣ	-	0.273
e	i	0.265
ð	-	0.263
ɲ	ɲ	0.25
β	ɛ	0.214
j	ˈe	0.214
l	ɾ	0.205
ʎ	-	0.2
s	z	0.2
θ	-	0.182
ˈe	ˈe	0.15
ˈe	ɛ	0.15
e	e	0.147
s	z_ɔ̆	0.143
j	ɣ	0.143
ʎ	j	0.133
d	-	0.133
#>	u_#>	0.118
ð	d	0.105
a	-	0.101
o	ɔ	0.096
ˈi	i	0.094
θ	k_i	0.091
ˈo	-	0.091
l	ɖː	0.091
ɾ	ɛ_ɾ	0.09
n	-	0.089
t	ð	0.077
t	-	0.077
ˈi	ɾ	0.062
k	-	0.061
e	ˈi	0.059
e	a	0.059
e	-	0.059
s	z_ɛ̆	0.057
a	ˈa	0.051
