Asturian	Asturian	probability
β_u	u	1.0
β_e	i	1.0
ˈu	ˈu	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_ʎ	ɖː	1.0
ˈe_ɾ_#>	ˈi_#>	1.0
ˈe_ɾ	l	1.0
ˈe_s	sː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ʎ_ˈe	l_ˈɛ	1.0
ɾ_t	l_t	1.0
ɾ_n	rː	1.0
ɾ_a	r_a	1.0
ɾ_#>	#>	1.0
ɣ_ˈo	ɡ_ˈɔ	1.0
u_#>	#>	1.0
t_ɾ	l_t	1.0
s_ˈo	j_ˈa	1.0
s_#>	#>	1.0
p	p	1.0
o_s	i	1.0
n_u	n_u	1.0
n	n	1.0
l_u	l_u	1.0
l_#>	l_i_#>	1.0
i	i	1.0
e_s	s	1.0
d	d	1.0
a_θ	a	1.0
a_ð	a_t	1.0
a_#>	#>	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_ɟ	1.0
a	a	0.966
f	f	0.952
k	k	0.927
ˈi	ˈi	0.92
#>	i_#>	0.905
u	u	0.869
m	m	0.815
θ	ʧ	0.81
t	t	0.792
ɲ	ɲː	0.778
s	s	0.778
o	u	0.769
ɡ	ɡ	0.75
l	l	0.75
w_ˈe	ˈɔ	0.722
ð	t	0.636
ɾ_u	r_u	0.625
ʃ	ɟ	0.6
ɾ	r	0.571
ɣ	k	0.571
w	ˈɔ	0.545
ŋ	n	0.538
b	b	0.517
ʎ	ɖː	0.5
ʎ	c	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈe	0.5
e	i	0.5
b	v	0.483
j	-	0.467
ŋ	ŋ	0.462
w	-	0.455
ɣ	ɡ	0.429
ˈo	ˈu	0.4
ʃ	-	0.4
β	p	0.375
ɾ_u	u	0.375
ʝ	cː	0.364
ð	-	0.364
j	ˈɛ	0.333
ˈo	ˈo	0.286
ˈe	ˈɛ	0.286
w_ˈe	ˈo	0.278
ʝ	-	0.273
ˈe	ˈi	0.262
ˈo	ˈɔ	0.257
β	b	0.25
β	-	0.25
ɡ	-	0.25
l	ɖː_i	0.25
o	o	0.231
ɲ	nː	0.222
e	u	0.217
t	tː	0.208
j	ˈe	0.2
θ	-	0.19
ˈe	ˈe	0.19
ɾ	l	0.19
m	mː	0.185
ʝ	ɟː	0.182
ʝ	ɖː	0.182
ˈe	ˈa	0.167
s	z	0.148
β	pː	0.125
e	-	0.109
#>	u_#>	0.095
e	a	0.087
ˈi	-	0.08
s	j	0.074
k	-	0.073
ɾ	ˈe	0.071
ɾ	a_r	0.071
ˈo	-	0.057
