Franco-Provençal	Valencian	probability
d	d	1.0
e	e_s	1.0
i	ɐ	1.0
k	k	1.0
m	m	1.0
p	p	1.0
u	u	1.0
ɔ	u	1.0
ɛ	e	1.0
ɲ	ɲ	1.0
ʒ	ʤ	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi	1.0
ˈɑː	ˈa	1.0
j	i	0.091
w	w	0.141
ð	ʤ	0.321
ə	-	0.061
ə	ɜ	0.21
ʃ	k	0.761
ˈa	ˈa_r	0.271
ˈa	ˈa	0.681
ˈe	ˈæ	0.151
ˈe	ˈi	0.201
ˈɑ̃	ˈa_ŋ	0.111
ˈɑ̃	ˈa	0.611
a	a	0.242
b	b	0.852
o	ɜ	0.052
o	u	0.352
ʃ	s	0.162
ˈe	ˈa_r	0.112
ˈe	ˈa	0.142
ˈi	ˈi	0.592
ˈu	ˈu	0.812
ˈɔ	ˈo	0.262
ˈɔ̃	ˈɒ_n	0.112
v	β	0.193
ˈoː	ˈo	0.063
ˈø	ˈɒ	0.813
ˈɔ̃	ˈɒ	0.093
a	ɞ	0.134
f	f	0.924
s	s	0.964
v	v	0.794
z	z	0.294
ð	-	0.084
ʎ	l	0.054
ˈi	e	0.084
ˈi	ˈe	0.184
ˈoː	ˈɒ	0.754
ˈɛ	ˈæ	0.704
ˈɛː	ˈæ	0.544
ˈɛ̃	ˈe	0.164
l	ʎ	0.615
o	ɞ	0.145
t	t	0.85
w	ˈɒ_w	0.05
w	ˈæ_w	0.055
w	ˈu	0.085
ð	ɾ	0.595
ʁ	ɾ	0.375
ʁ	r	0.485
ˈo	ˈo	0.845
ˈɛː	-	0.125
a	ɜ	0.216
f	-	0.076
l	l	0.356
o	-	0.106
o	e	0.286
z	-	0.706
ə	ɞ	0.156
ɡ	ɡ	0.926
ʁ	-	0.086
ʎ	ʎ	0.946
ˈe	-	0.106
ˈɔ̃	ˈu	0.276
ˈɛ	ˈi	0.136
ˈɛ	ˈe	0.16
n	n	0.957
ʃ	-	0.077
ˈe	ˈe	0.287
ˈo	ˈɒ	0.087
ˈoː	ˈa_l	0.137
ˈø	ˈo	0.187
ˈɛː	ˈi	0.067
b	β	0.148
ˈi	ˈæ	0.118
ˈo	ˈu	0.068
ˈu	ˈɒ	0.188
ˈɑ̃	ˈa_n	0.278
ˈɔ	ˈɒ	0.738
ˈɛ̃	ˈæ	0.168
ˈɛ̃	ɲ	0.178
a	ɐ	0.379
j	-	0.909
o	ɐ	0.059
t	s_t	0.069
w	-	0.669
ə	ɐ	0.199
ə	e	0.369
ˈɔ̃	ˈo	0.519
ˈɛː	ˈe_j	0.179
ˈɛ̃	ˈe_n	0.49
