Swabian	Swabian	probability
ˈʌ	ˈɜː	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ʕ	ˈɑː	1.0
ˈəi̯_d	ˈaɪ̯_d	1.0
ˈɔə̯	ˈuː	1.0
ˈɔ_ʕ	ˈɔː	1.0
ˈɔ	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈeə̯	ˈe	1.0
ˈe	ˈɪ	1.0
ˈa_l	ˈɑː	1.0
ʣ	t	1.0
ʌ_#>	#>	1.0
ʌ	ə	1.0
ʃ_d	s_t	1.0
ʁ_ˈae̯	ɜː	1.0
ɪ	ɪ	1.0
ɡ_a_#>	#>	1.0
ɡ_#>	#>	1.0
ç_d	t	1.0
x_d	t	1.0
t	d	1.0
s_a	t	1.0
p͡f	pʰ	1.0
j	j	1.0
i	ŋ	1.0
h	h	1.0
f_a	p	1.0
eə̯	ˈiː_n	1.0
b_a	v	1.0
b_#>	f_#>	1.0
<#_d	<#_θ	1.0
#>	n_#>	1.0
m	m	0.92
ʁ	ɹ	0.917
ʋ	w	0.885
b	b	0.81
d	d	0.808
ˈəi̯	ˈaɪ̯	0.8
a	-	0.8
ŋ	ŋ	0.778
n	n	0.778
kʰ	kʰ	0.778
ˈɔː	-	0.714
f	f	0.71
ˈɛː	-	0.667
ˈiə̯	ˈiː	0.667
ˈaː	-	0.667
ç	k	0.667
s	s	0.63
ʃ	ʃ	0.619
ˈiː	-	0.6
ʦ	tʰ	0.6
ɡ_a	k	0.6
x	k	0.6
l	l	0.595
ˈɔe̯	ˈəʊ̯	0.538
ɡ	ɡ	0.524
ˈɛ	ˈe	0.5
ˈa_ʕ	ˈɔː	0.5
ˈa_ʕ	ˈɑː	0.5
ˈao̯	ˈaʊ̯	0.471
ˈuə̯	-	0.444
ˈu	ˈɐ	0.444
ˈo	ˈɐ	0.444
ˈeː	ˈɪ	0.429
ʕ	ˈɪ_ə	0.429
l	ɫ	0.405
ˈiː	ˈiː	0.4
ʦ	t	0.4
ɡ_a	ˈaɪ̯	0.4
x	-	0.4
ˈo	-	0.389
ʃ	s	0.381
ˈi	ˈɪ	0.375
ˈae̯	ˈəʊ̯	0.364
ˈɛː	ˈɪ	0.333
ˈuə̯	ˈʊ	0.333
ˈu	-	0.333
ˈiə̯	ˈaɪ̯	0.333
ˈaː	ˈeɪ̯	0.333
ç	ʧ	0.333
ˈɛ	-	0.312
ˈoː	ˈɐ	0.308
ˈoː	ˈe	0.308
s	t	0.304
ˈa	ˈæ	0.3
ˈɔː	ˈiː	0.286
ˈeː	ˈiː	0.286
ˈeː	-	0.286
ʕ	ˈɛ_ə	0.286
ʕ	-	0.286
ˈae̯	ˈaɪ̯	0.273
ɡ	k	0.238
ˈao̯	-	0.235
ˈɔe̯	ˈe	0.231
ˈɔe̯	-	0.231
ˈoː	-	0.231
ˈuə̯	ˈɐ	0.222
ˈu	ˈɪ	0.222
ŋ	ŋ_ɡ	0.222
kʰ	ʧ	0.222
ˈəi̯	ˈɪ	0.2
ˈa	ˈeɪ̯	0.2
f	p	0.194
b	v	0.19
ˈɛ	ˈaɪ̯	0.188
ˈi	ˈiː	0.188
ˈi	ˈaɪ̯	0.188
ˈae̯	ˈiː	0.182
ˈae̯	-	0.182
ˈao̯	ˈɐ	0.176
ˈo	ˈʊ	0.167
n	-	0.167
ˈoː	ˈiː	0.154
ˈa	ˈəʊ̯	0.15
ˈa	ˈɒ	0.15
ɡ	ʤ	0.143
d	ð	0.135
ˈi	ˈɔː	0.125
ˈi	-	0.125
a	n	0.12
ˈao̯	ˈiː	0.118
ʋ	-	0.115
ˈa	ˈɑː	0.1
ˈa	-	0.1
f	v	0.097
ɡ	ˈeɪ̯	0.095
ʁ	-	0.083
m	-	0.08
a	ə_n	0.08
s	z	0.065
d	θ	0.058
n	ˈe_n	0.056
