Swabian	Northern Low Saxon	probability
a	n	0.659
a	-	0.202
a	m	0.14
b	b	0.716
b	f	0.18
b	v	0.095
b̥	p	1.0
b̥͡f	b	1.0
d	d	0.776
d	-	0.122
d	t	0.087
e	ɐ	1.0
eə̯	aɪ̯	1.0
f	f	0.679
f	b	0.251
h	h	0.952
i	ɪ	1.0
j	ʒ	1.0
k	s	1.0
kʰ	kʰ	1.0
l	l	0.989
m	m	0.874
m	v	0.081
n	n	0.989
p͡f	b	1.0
s	z	0.362
s	d	0.319
s	s	0.301
t	d	0.777
t	t	0.223
x	x	0.536
x	ɡ	0.301
x	ç	0.163
ç	ɡ	1.0
ŋ	ŋ	0.936
ŋ	-	0.064
ɐ	n	1.0
ə	-	1.0
ɡ	ɡ	0.742
ɡ	ç	0.126
ɡ	x	0.073
ɪ	ɪ	1.0
ʁ	r	0.895
ʁ	-	0.105
ʃ	ʃ	0.811
ʃ	s	0.189
ʋ	v	0.947
ʋ	-	0.053
ʌ	ɐ	0.809
ʌ	-	0.15
ʕ	-	0.973
ʦ	tʰ	0.596
ʦ	d	0.347
ʦ	t	0.057
ˈa	ˈa	0.578
ˈa	ˈoː	0.169
ˈa	ˈɪ	0.07
ˈa	ˈaː	0.057
ˈa	ˈaʊ̯	0.054
ˈae̯	ˈeː	0.231
ˈae̯	ˈuː	0.131
ˈae̯	ˈyː	0.13
ˈae̯	ˈʏ	0.125
ˈae̯	ˈɔʏ̯	0.082
ˈae̯	ˈœ	0.082
ˈae̯	ˈɪ	0.082
ˈae̯	ˈaʊ̯	0.071
ˈae̯	ˈaɪ̯	0.067
ˈao̯	ˈuː	0.626
ˈao̯	ˈaʊ̯	0.264
ˈaː	ˈoː	0.364
ˈaː	ˈa	0.31
ˈaː	ˈaʊ̯	0.162
ˈaː	ˈɛ	0.112
ˈaː	ˈeː	0.051
ˈe	ˈɪ	0.601
ˈe	ˈø	0.327
ˈeə̯	ˈaɪ̯	0.5
ˈeə̯	ˈɔʏ̯	0.259
ˈeə̯	ˈeː	0.241
ˈeː	ˈɔʏ̯	0.656
ˈeː	ˈɪ	0.135
ˈeː	ˈaɪ̯	0.088
ˈeː	ˈeɪ̯	0.085
ˈi	ˈɪ	0.532
ˈi	ˈiː	0.208
ˈi	ˈøː	0.066
ˈi	ˈɛ	0.065
ˈi	ˈeː	0.065
ˈi	ɐ	0.064
ˈiə̯	ˈaɪ̯	0.702
ˈiə̯	ˈɔʏ̯	0.298
ˈiː	ɐ	0.518
ˈiː	ˈøː	0.224
ˈiː	ˈɔʏ̯	0.132
ˈiː	ˈʏ	0.077
ˈo	ˈʊ	0.732
ˈo	ˈoː	0.086
ˈo	ˈʏ	0.06
ˈoː	ˈaʊ̯	0.528
ˈoː	ˈoː	0.216
ˈoː	ˈʏ	0.169
ˈoː	ˈøː	0.088
ˈu	ˈɔ	0.508
ˈu	ˈʏ	0.372
ˈu	ˈaʊ̯	0.12
ˈuə̯	ˈaʊ̯	0.677
ˈuə̯	ˈɔʏ̯	0.253
ˈuə̯	ˈuː	0.07
ˈuː	ˈaʊ̯	0.779
ˈuː	ˈuː	0.221
ˈɔ	ˈɔ	0.315
ˈɔ	ˈoː	0.307
ˈɔ	ˈaʊ̯	0.215
ˈɔ	ˈɔʏ̯	0.163
ˈɔe̯	ˈaɪ̯_n	0.331
ˈɔe̯	ˈaɪ̯	0.238
ˈɔe̯	ˈeɪ̯	0.2
ˈɔe̯	ˈɪ	0.2
ˈɔə̯	ˈaʊ̯	1.0
ˈɔː	ˈoː	0.836
ˈɔː	ˈøː	0.123
ˈəi̯	ˈiː	0.584
ˈəi̯	ˈyː	0.253
ˈəi̯	ˈɪ	0.163
ˈɛ	ˈeː	0.297
ˈɛ	ˈɛ	0.197
ˈɛ	ˈa	0.114
ˈɛ	ˈʏ	0.096
ˈɛ	ˈiː	0.072
ˈɛ	ˈɛɪ̯	0.063
ˈɛː	ˈoː	0.362
ˈɛː	ˈɛ	0.283
ˈɛː	ˈɛɪ̯	0.214
ˈɛː	ˈeː	0.141
ˈɪ	ˈɪ	0.822
ˈɪ	ˈʏ	0.178
ˈʌ	ˈaː	1.0
