Sicilian	Walloon	probability
b	b	1.0
c	-	1.0
cː	-	1.0
f	f	1.0
kː	-	1.0
nː	-	1.0
o	ɔ	1.0
u	ɔ	1.0
z	-	1.0
ç	f	1.0
ŋ	-	1.0
ɖː	-	1.0
ɟː	-	1.0
ɲː	-	1.0
ɽ	-	1.0
ʃ	s	1.0
ʃː	ʃ	1.0
ʈ	-	1.0
ʐ	-	1.0
ʐː	-	1.0
ʤ	ʤ	1.0
ʤː	-	1.0
ʦː	-	1.0
ʧː	t	1.0
ˈe	w	1.0
ˈo	ˈɔ̃	1.0
d	-	0.131
i	ɛ	0.271
ʊ	ˈoː	0.351
ˈa	ˈiː	0.261
ˈi	ˈɛ̃ː	0.081
ˈɛ	-	0.151
a	a	0.192
a	-	0.512
j	-	0.612
k	k	0.162
n	n	0.442
ɡ	-	0.462
ɪ	ˈe	0.162
ɪ	-	0.502
ɾ	-	0.582
ˈa	ˈɛ	0.062
ˈu	ˈɔ̃	0.052
ˈu	ˈøː	0.272
ˈɛ	j	0.122
m	-	0.13
p	v	0.053
r	-	0.453
tː	t	0.333
w	w	0.513
ʊ	-	0.073
ʊ	j	0.13
ˈa	ˈɔː	0.083
ˈi	ˈɛ	0.373
j	ʤ	0.344
l	-	0.284
mː	-	0.4
n	-	0.54
ɕ	ʒ	0.084
ɕ	s	0.704
ɪ	ˈɛ	0.14
ɪ	j	0.154
ˈa	ˈɛ̃	0.094
ˈɔ	w_ˈa	0.14
ˈɛ	j_ˈɛ	0.064
ˈɛ	ˈiː	0.604
t	t	0.305
t	-	0.695
ˈu	ˈy	0.175
ˈɔ	ˈɔ	0.165
ˈɔ	ˈuː	0.485
i	-	0.686
l	l	0.716
mː	m	0.6
ɕ	ʧ	0.136
ʊ	ˈa	0.446
ˈa	ˈa	0.196
ˈi	ˈi	0.096
ˈi	ˈẽ	0.106
ˈɛ	ˈi	0.06
m	m	0.87
p	p	0.887
r	ʀ	0.547
tː	-	0.667
w	ɔ	0.117
ɕ	-	0.077
ˈa	-	0.087
ˈi	w_ˈɛ	0.07
ˈɔ	-	0.097
a	j	0.28
s	ʃ	0.098
ɡ	ɡ	0.538
ɾ	ʀ	0.418
ˈa	ˈɑ̃	0.158
ˈi	-	0.108
ˈu	ˈɔ	0.198
d	d	0.869
k	ʧ	0.379
k	-	0.459
s	s	0.859
v	-	0.099
v	v	0.859
w	-	0.369
ˈu	ˈu	0.239
ˈɔ	ˈɔ̃	0.069
