East Franconian	Old English	probability
β	-	1.0
ˈʊ_n	ˈuː	1.0
ˈɛː	ˈiːy̯	1.0
ˈɘ	r	1.0
ˈɒː	ˈɑ	1.0
ˈɒ_x	ˈi_ç	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈæɑ̯	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ	iː	1.0
ɣ	j	1.0
ɡ̊_s	k_s	1.0
ɡ̊_n	ʤ	1.0
ə	e	1.0
ç_d̥	x_t	1.0
v̥	p_ɑ	1.0
v_ˈɔ	w	1.0
v_ˈɒ	w	1.0
v	w	1.0
r	r	1.0
l_d̥	ɫ_d	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eː	iːy̯	1.0
d̥_ˈiː	d_ˈeːo̯	1.0
d̥_r	d_r	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
a	ɑ	1.0
f	f	0.881
m	m	0.875
s	s	0.867
ˈʊ	ˈu	0.77
ˈɪ	ˈi	0.713
l	l	0.712
ˈɔ	ˈo	0.695
ʦ	t	0.692
ˈeː	-	0.656
kʰ	k	0.629
ˈaɪ̯	ˈiː	0.586
ˈaː	ˈɑː	0.584
x	x	0.578
z̥	t_ɑ	0.573
ɐ	r	0.567
n	n	0.55
ˈuː	ˈoː	0.54
d̥	d	0.524
ɾ	ð	0.5
ɾ	d_e	0.5
ʃ	ʃ	0.462
ˈɛ	ˈe	0.449
ç	ʧ	0.449
ɡ̊	ɡ	0.43
x	ʧ	0.422
ʃ	s	0.409
ˈɒ	ˈɑ	0.391
ˈiː	ˈeːo̯	0.386
kʰ	ʧ	0.371
d̥	θ	0.363
ˈuː	ˈæːɑ̯	0.361
ɣ̊	ɣ	0.353
ç	j	0.347
ˈeː	ˈe	0.344
ɣ̊	ɣ̊	0.333
ŋ	ŋ_ɡ	0.318
ɣ̊	xː	0.314
ʦ	tː	0.308
ɡ̊	ʧː	0.306
ˈɔ	ˈu	0.305
ˈɒ	ˈæɑ̯	0.295
ˈɛ	ˈeo̯	0.29
z̥	z	0.285
ˈaː	ˈæːɑ̯	0.282
l	ɫ	0.266
ŋ	ŋ	0.258
ˈaɪ̯	ˈeːo̯	0.252
ˈiː	ˈeː	0.238
ˈoː	ˈoː	0.236
ˈɛ	-	0.229
ˈoː	ˈæ	0.216
ˈoː	ˈæː	0.209
ˈoː	ˈæːɑ̯	0.205
ç	ɣ̊	0.204
ŋ	ɣ_ɑ	0.193
ˈɒ	ˈæ	0.191
n	-	0.188
ˈiː	ˈi	0.159
ˈɪ	-	0.154
z̥	t	0.142
ɡ̊	j	0.134
ˈɪ	ˈy	0.133
ˈoː	-	0.133
s	t	0.133
ʃ	ʃː	0.129
ŋ	k	0.128
ˈɒ	ˈoː	0.123
f	p	0.119
ɐ	ɑ	0.117
n	ɑ_n	0.117
ɐ	o_r	0.115
ɐ	e_r	0.113
ŋ	-	0.103
ˈuː	ˈu	0.099
ˈʊ	-	0.095
ˈiː	-	0.092
n	e	0.087
d̥	t	0.082
ˈaɪ̯	ˈyː	0.081
ˈaɪ̯	-	0.08
m	mː	0.07
ˈʊ	ˈy	0.068
ˈʊ	ˈo	0.068
ˈaː	-	0.067
ɡ̊	k	0.067
ˈaː	bː	0.066
ˈiː	ˈeːo̯_w	0.064
ɡ̊	kː	0.063
ˈiː	ˈɑː_w	0.061
n	n_d	0.057
m	v_ɑ	0.055
ɐ	r_e	0.051
